drug,cdi,moa,n_targets,target_mut_freq,target_expr_var,target_expr_mean
Budesonide,0.4495769439974158,,1,0.0,0.0948668203865954,4.5468175314673065
Selinexor,0.3992372419791907,,1,0.0,0.005841679805870087,4.711912128540899
Dexamethasone,0.3975166969409817,,1,0.0,0.0948668203865954,4.5468175314673065
Betamethasone dipropionate,0.3911097647726119,,1,0.0,0.0948668203865954,4.5468175314673065
Binimetinib,0.3848074334222673,,2,0.02,0.009788219305853848,4.39545176283465
Clobetasol propionate,0.3725653466790747,,2,0.0,0.16800820853874188,2.441259138976081
Almonertinib (hydrochloride),0.3683580554372474,,1,0.08,0.03938794441741245,4.73702816613291
Dinaciclib,0.3601617414932491,,4,0.0,0.05026379820626266,3.8548389019341203
Panobinostat,0.3553582179627483,,7,0.0,0.0263969201903542,4.2130539748264715
Trametinib (DMSO_TF solvate),0.3543138144952392,,2,0.02,0.009788219305853848,4.39545176283465
Bortezomib,0.35031294477595,,1,0.0,0.004943497848039448,4.278076033571266
Rapamycin,0.3484016053820072,,2,0.02,0.0088393540601923,4.374775195559964
Ixazomib citrate,0.3462456732551651,,3,0.0,0.0052781141295274205,4.3695116440697035
Cobimetinib,0.3422264980411186,,1,0.04,0.012313400207734453,4.623030025800821
Sinomenine,0.341786471862648,,1,0.0,0.045218696666245874,2.354027827459877
Triamcinolone,0.3406921375285276,,1,0.0,0.0948668203865954,4.5468175314673065
Lenalidomide (hemihydrate),0.3382035256146623,,3,0.0,0.25245594809029637,2.8757643579946026
Trametinib,0.3293549490436646,,2,0.02,0.009788219305853848,4.39545176283465
Tofacitinib (citrate),0.3274677707085384,,3,0.013333333333333334,0.1840955720809573,4.053394109750031
Trimetrexate,0.3271763742267508,,1,0.0,0.0032197503390806303,4.346988212980816
Medroxyprogesterone acetate,0.3250988736245974,,1,0.0,0.4511017412945027,2.1055645937208105
Ponatinib,0.3246619391014468,,6,0.006666666666666667,0.38036740935370233,3.203071801078577
Neratinib (maleate),0.3205733533346395,,2,0.07,0.04934680323550705,4.429522107752083
Tofacitinib,0.316336135618073,,3,0.013333333333333334,0.1840955720809573,4.053394109750031
Aliskiren,0.312875085265519,,1,0.0,0.31426775806424684,1.679434085083827
Relugolix,0.3109098352191842,,1,0.0,0.05794505793490327,2.193322863728555
Gemfibrozil,0.3106193868606245,,5,0.0,0.2205016051730176,1.5895661206925213
4EGI-1,0.308688596261458,,1,0.0,0.01059473601340443,4.36422658009025
Sulfisoxazole,0.3035559353520838,,2,0.0,0.7044828817813176,2.410371618113935
Vilanterol,0.2985526735122087,,1,0.0,0.6644709429713714,2.8778780071369368
Amsacrine,0.2981284912666531,,1,0.0,0.01027853855499154,4.694148901372842
Thymol,0.2978727245692736,,1,0.0,0.38925099119007994,3.0276978016492877
Radotinib,0.2977010583946747,,1,0.04,0.014003782330415174,4.572441967571391
Resveratrol,0.2958718935794377,,1,0.0,0.010907455333862701,4.407691623773235
Clotrimazole,0.294409483863466,,2,0.0,0.039080744795602466,2.3692090477232637
Goserelin (acetate),0.2881460825872575,,1,0.0,0.05794505793490327,2.193322863728555
Capmatinib,0.2834840028412546,,1,0.06,0.04991946660930168,4.6228820436166975
(R)-Verapamil (hydrochloride),0.2798092632809399,,1,0.0,0.24372633524566797,3.3473067034270803
Larotrectinib,0.2781657865712094,,3,0.0,0.31871118139861293,2.7050667040522534
Tucidinostat,0.2781412798468287,,6,0.0,0.02882315142683171,4.223025907008874
Tazarotene,0.2762998251300536,,3,0.0,0.13039045744021013,3.8952272884128796
BI-3406,0.2760873092962015,,2,0.25,0.010998279455901715,4.612789469401252
Elimusertib hydrochloride,0.274935931212029,,1,0.0,0.008539117270808087,4.469297444828179
Everolimus,0.273896263535926,,2,0.02,0.0088393540601923,4.374775195559964
AZD-8055,0.2736367213990865,,1,0.04,0.009394665625205188,4.306759566709168
HI-TOPK-032,0.2692635994042676,,1,0.0,0.05148651408073889,4.13079323046194
Balsalazide (sodium hydrate),0.2683007805789635,,2,0.0,0.17573884855986907,4.212483221999356
Norepinephrine (hydrochloride),0.2679465616082073,,7,0.0,0.5705713018598063,1.7855067757320424
Mitoxantrone (dihydrochloride),0.2666013575814575,,3,0.0,0.0170525056554088,4.6701559691564904
c-Kit-IN-1,0.2621698621331386,,5,0.012,0.5545622101027022,2.7333310926373846
Furosemide,0.2614939309088651,,2,0.0,0.08452205271391933,3.1398885086195643
Lumateperone (tosylate),0.2602670600038875,,2,0.0,0.46767164369298,1.6995834758705497
Temsirolimus,0.2568429063910092,,1,0.04,0.009394665625205188,4.306759566709168
Sodium Salicylate,0.2564661631080465,,1,0.0,0.2178087595470829,4.099292348684719
Neratinib,0.2556238565171351,,2,0.07,0.04934680323550705,4.429522107752083
Atazanavir (sulfate),0.2553484182927323,,1,0.0,0.17577695153395642,0.94681272430004
Pasireotide (acetate),0.2522275374663455,,4,0.0,0.484601232423375,0.9551627458685444
Bexarotene,0.251098794614028,,3,0.0,0.18611575992517324,3.052350564426311
Peretinoin,0.246263875572847,,3,0.0,0.18611575992517324,3.052350564426311
Tolcapone,0.2462098698924239,,1,0.0,0.038972856830423785,4.190992010244901
Elagolix sodium,0.2460219414752653,,1,0.0,0.05794505793490327,2.193322863728555
EX229,0.245182575595197,,1,0.0,0.008666267774340502,4.446426129834071
RMC-6236,0.2450659259456857,,1,0.48,0.014669483798447139,4.502414052618064
Retinoic acid,0.2444175203361265,,4,0.0,0.10543321076196126,4.051155711290344
Adenosine,0.2434519035357794,,4,0.0,0.22647381981986356,2.6137942257997304
Belumosudil (mesylate),0.2429563091105516,,2,0.0,0.013662154498562111,4.683267474413933
Vemurafenib,0.2391922783715059,,1,0.18,0.00673003945323886,4.718053959585722
Raltitrexed,0.2391105292385727,,1,0.0,0.03129200166553565,4.185018458613248
Capivasertib,0.2376858434524096,,7,0.002857142857142857,0.02751341547559389,4.374856089076871
Topotecan (hydrochloride),0.235866486973399,,1,0.0,0.010973134824705163,4.7410385367501195
venetoclax,0.2352948122335691,,1,0.0,0.15962973283472043,3.841158018306938
5-Fluorouracil,0.2337689796939038,,1,0.0,0.03129200166553565,4.185018458613248
Terfenadine,0.2331039430740712,,1,0.0,0.07300881196748357,4.421634184958427
Belumosudil,0.2325150189223674,,2,0.0,0.013662154498562111,4.683267474413933
Vandetanib,0.2296178355687652,,2,0.04,0.47841358877558987,3.1477941934975733
5-Azacytidine,0.2290569612179412,,1,0.0,0.010723194807914007,4.430198102302131
Pentagastrin,0.2287517927212435,,1,0.0,0.14866219745760254,0.472648048287351
Belinostat,0.2283161883096705,,1,0.0,0.011839532771489138,4.153222381732059
Ixazomib,0.2282926164980274,,1,0.0,0.004943497848039448,4.278076033571266
Naproxen,0.2268472757657622,,2,0.0,0.31638818919110934,3.6003058728616613
Proglumide,0.2267840936333991,,2,0.0,0.27131762313770447,0.4453883643319429
Almonertinib (mesylate),0.2265038028930771,,1,0.08,0.03938794441741245,4.73702816613291
Lidocaine (hydrochloride),0.226333996320984,,3,0.02,0.01073267072481906,4.579069974737631
Darolutamide,0.2257353579434322,,1,0.0,0.5438319965359807,3.288932643961204
ULK-101,0.2243522577313549,,2,0.0,0.10790801693009913,4.132580372870461
