axis,frac,effect,sd
cells,1.0,-0.10065743327140808,0.0
cells,0.5,-0.10183688377340634,0.005859395627251291
cells,0.25,-0.10262552524606387,0.006554493229056971
cells,0.1,-0.10108615458011627,0.007270030975622934
cells,0.05,-0.1011736790339152,0.013981442650800686
cells,0.02,-0.10242393240332603,0.01852218318624126
contexts,1.0,-0.10065743327140808,0.0
contexts,0.5,-0.09620536077353689,0.030609558266849832
contexts,0.25,-0.09536816821330124,0.05462359392409647
contexts,0.1,-0.11015381974478562,0.0751212569118033
