drug,n_lines,cdi,r_cross,r_replicate,transfer,n_pairs,moa-fine
(R)-Verapamil (hydrochloride),48,0.27469670391028617,0.1226654201745987,0.235029436647892,0.5219151350746297,288,unclear
18β-Glycyrrhetinic acid,48,0.3542728963418797,0.12573951482772827,0.2092132344841957,0.6010112846719877,288,unclear
8-Hydroxyquinoline,48,0.1825439652940101,0.2805163860321045,0.3711908757686615,0.7557200468659462,288,unclear
Acetohexamide,48,0.30340449850113116,0.11761210858821869,0.1955399513244629,0.6014735494797319,285,unclear
Adagrasib,48,0.17128040639484732,0.14096538722515106,0.17783623933792114,0.7926696366835065,5594,RAS inhibitor
Adenine,48,0.22837903281842656,0.19882433116436005,0.2778282165527344,0.715637647001277,285,unclear
Adenosine,48,0.2226028158536627,0.20906312763690948,0.2961249053478241,0.7059964354951737,285,unclear
Afatinib,48,0.0,0.011341468896716833,0.008684984408318996,,1569,EGFR/ERBB inhibitor
Aliskiren,48,0.29338322896725033,0.17539869248867035,0.26522277295589447,0.6613259130573922,288,unclear
Allantoin,48,0.1978345030903412,0.2261553257703781,0.2977164387702942,0.7596333165360422,288,unclear
Almonertinib (hydrochloride),48,0.3524224598717067,0.13550956547260284,0.21402306109666824,0.6331540385332446,288,EGFR/ERBB inhibitor
Almonertinib (mesylate),48,0.0,-0.004035188816487789,0.0015848285984247923,,566,EGFR/ERBB inhibitor
Amsacrine,48,0.28241935423060827,0.22681406885385513,0.38497303426265717,0.5891687174616644,288,DNA synthesis/repair inhibitor
Anethole trithione,48,0.1643269794893978,0.28808170557022095,0.3724278062582016,0.773523621838526,288,unclear
Artesunate,48,0.23396754068108508,0.24970482289791107,0.388948991894722,0.6419988947175352,288,JAK/STAT inhibitor
Azithromycin (hydrate),48,0.32789779452148426,0.16491562873125076,0.263445183634758,0.625995990725307,288,unclear
Baicalin,48,0.22623007687163027,0.2718140780925751,0.3764988034963608,0.7219520369477148,288,unclear
Balsalazide (sodium hydrate),48,0.24811616462010722,0.20078766345977783,0.28677523136138916,0.7001569225717011,288,JAK/STAT inhibitor
Belumosudil,48,0.0,0.007972598541527987,0.023620499297976494,,564,unclear
Berbamine,48,0.12780577128228604,0.01195820840075612,0.014014206361025572,,480,unclear
Berbamine (dihydrochloride),48,0.0,0.03753470070660114,0.05116894096136093,0.7335446073614191,563,unclear
Berberine (chloride hydrate),48,0.22651692950727187,0.19667129963636398,0.2997939884662628,0.6560214921003872,288,unclear
