quantity,value
PRISM replicate ceiling,0.6851403493236164
GDSC1 vs GDSC2 ceiling,0.36520587265229976
cross-lab PRISM vs GDSC (all ID-matched),0.28963157132780326
cross-lab PRISM vs GDSC (identity-validated),0.5505364201016375
reproducible fraction (all),0.57901158299697
"reproducible fraction (identity-validated, MATCHED ceiling)",0.9803980301671545
reproducible fraction (reliability-selected control),0.4934256055363321
share of loss from changing assay within a lab,0.8089187761964248
share of loss from changing laboratory,0.19108122380357515
reproducible fraction (all) CI low,0.4894367303269998
reproducible fraction (all) CI high,0.7714280118307704
reproducible fraction (validated) CI low,0.45430330272113045
reproducible fraction (validated) CI high,1.1692058026525252
laboratory share of loss CI low,-0.04877171647498782
laboratory share of loss CI high,0.37328031172609
