n_ctx,n_pert,n_rep,pairs_per_cond,n_pairs,mean_share,se,n_draws,permuted
5,10,2,1,50,0.34745294094142337,0.13441084031630168,40,False
5,10,3,3,150,0.419251982390179,0.08069759279863127,39,False
5,25,2,1,125,0.3506383178260177,0.1311443740246602,40,False
5,25,3,3,375,0.4221593814833975,0.06128872197182528,39,False
5,50,2,1,250,0.38791667826037735,0.08809757989626306,40,False
5,50,3,3,750,0.41135909789605035,0.06959024597793212,39,False
5,100,2,1,500,0.4043010037709678,0.047450822958147315,40,False
5,100,3,3,1500,0.42840961710890246,0.03873870211612506,36,False
5,200,2,1,1000,0.39833829738789067,0.04313936358536538,39,False
5,200,3,3,3000,0.42884817577819206,0.03837932563411108,37,False
5,400,2,1,2000,0.3948813586241666,0.0374157657275934,39,False
5,400,3,3,6000,0.4109836099115164,0.03211544384240178,38,False
10,10,2,1,100,0.37351796894032496,0.11868728084651625,40,False
10,10,3,3,300,0.36259987837638685,0.11460321522350646,40,False
10,25,2,1,250,0.37131089213899765,0.07872495890811464,40,False
10,25,3,3,750,0.39997255759178163,0.06782064526077082,40,False
10,50,2,1,500,0.36191763166655083,0.05832631665493652,40,False
10,50,3,3,1500,0.40262416041534826,0.04983369993801309,40,False
10,100,2,1,1000,0.37506243427899655,0.04123714605602679,40,False
10,100,3,3,3000,0.40201597864222266,0.04196980901415546,40,False
10,200,2,1,2000,0.3746955124650061,0.034748584236167994,40,False
10,200,3,3,6000,0.4075861001708422,0.02630919643277358,40,False
10,400,2,1,4000,0.3817496734676521,0.024940859268263223,40,False
10,400,3,3,12000,0.40382228520440383,0.022597164820914485,40,False
20,10,2,1,200,0.37269673869716846,0.07325739754764361,40,False
20,10,3,3,600,0.39497623387082303,0.08840085348307725,40,False
20,25,2,1,500,0.36901641577478017,0.0703838113664802,40,False
20,25,3,3,1500,0.3890436238817404,0.0632424654979332,40,False
20,50,2,1,1000,0.3645208384637268,0.046094075677682915,40,False
20,50,3,3,3000,0.41412836908534195,0.03455177575256557,40,False
20,100,2,1,2000,0.36956858634013556,0.035291877468143676,40,False
20,100,3,3,6000,0.40111208979318735,0.02862578948222432,40,False
20,200,2,1,4000,0.3729032664152891,0.02695047716881542,40,False
20,200,3,3,12000,0.4046484192865842,0.02231885752595859,40,False
20,400,2,1,8000,0.36681334133065585,0.018926523746329357,40,False
20,400,3,3,24000,0.39638023394337374,0.01906132810398353,40,False
40,10,2,1,400,0.36262786971032196,0.08200274675570189,40,False
40,10,3,3,1200,0.39581963270015186,0.06174829898656607,40,False
40,25,2,1,1000,0.3772160637172954,0.04508215650016867,40,False
40,25,3,3,3000,0.3848201713046344,0.050789866737589166,40,False
40,50,2,1,2000,0.36691680398829085,0.04314894011893762,40,False
40,50,3,3,6000,0.39607529742748193,0.030426199968698105,40,False
40,100,2,1,4000,0.371153771563608,0.027291293548509753,40,False
40,100,3,3,12000,0.39167685755544396,0.026930382103039864,40,False
40,200,2,1,8000,0.3658638712495795,0.020394839575404142,40,False
40,200,3,3,24000,0.39752626468643,0.020162807406008523,40,False
40,400,2,1,16000,0.3632234113062364,0.01912004840506391,40,False
40,400,3,3,48000,0.394229844697149,0.015920114322015996,40,False
80,10,2,1,800,0.3572419318190596,0.0884464418799207,40,False
