compound,n_lines,r2_lineage,r2_nonsyn,r2_expression,r2_expr_lineage,r2_cnv,r2_expr_on_cnv_lines,r2_cnv_expr,n_lines_cnv,r2_protein,n_lines_rppa
abemaciclib,724,0.07273033195740719,-0.010152900282491606,0.16311056448719086,0.16120570018255376,0.12198352875738028,0.20652272697611151,0.191803119646627,722,0.11597988664591263,656
aminoglutethimide,724,0.028962204780545564,-0.01346166582856334,0.07463016288822455,0.07840332330056254,0.00946238846355818,0.08607115715011615,0.07586629395674238,722,0.08605343657716191,656
batimastat,724,0.007834531036736259,-0.022105053806836805,0.10568435783348817,0.1052725268860244,0.02875552817724425,0.13162200374294664,0.11181093842706002,722,0.05320238974338598,656
belinostat,724,-0.001982230334887314,0.019163779153924643,0.08405482049271218,0.08394251261893915,0.0035873533239945132,0.0684447109817965,0.04858425127227728,722,0.022050723199586453,656
bexarotene,724,0.036620560964631954,0.023739497167215906,0.10498808227959644,0.10554798165178991,0.015002117911963375,0.09184743343464763,0.08572051150814508,722,0.10083630336927296,656
capecitabine,724,0.030549611841508062,0.0021877626377190262,0.06360264253884629,0.06605459664825497,0.000839152342059446,0.06962812813408625,0.05294942479440223,722,0.05913341052118637,656
carfilzomib,724,0.10111346862722115,0.00564686874725584,0.15514972192719823,0.16042662588364964,0.05086563065868477,0.1503852458182886,0.15387218707875672,722,0.11135635274761368,656
cinacalcet,724,0.016142544016842897,-0.007473850708368701,0.0713810888684343,0.07247573928243167,0.02941358761225632,0.0728454135896589,0.07955412329988454,722,0.01614278421516291,656
erlotinib,724,0.0756621639129118,0.006353559558695432,0.15271845269152706,0.15449679067698896,0.05576194148474556,0.1485330163673375,0.13907228512997083,722,0.16072615720521222,656
estramustine,724,0.03406985837040377,-0.018198568880652743,0.06401824557945479,0.06367968871445162,-0.008802305608877514,0.06247894910322482,0.0398107891625632,722,0.042856361818994104,656
everolimus,724,0.07732147574386627,0.005695130423094663,0.16306581989624291,0.16332632967965977,0.04934013168374585,0.18064498668293938,0.15301896018796302,722,0.15512967343477124,656
floxuridine,724,0.009695652264237964,-0.0008977873595403807,0.07183866387450932,0.07606603497954456,-0.019862773743493767,0.08691844917029412,0.046334082304066326,722,0.03177518004230295,656
homoharringtonine,724,0.033096341907778215,0.013482389806126038,0.16361038750212997,0.16292368202909402,0.061803404599504175,0.16718052827834184,0.17165835583485978,722,0.1489217937237608,656
ibrutinib,724,0.1077168225828421,-0.0014393013497588925,0.23573304283160257,0.23519711469344695,0.08848180201536493,0.23438074754251548,0.23218998149543002,722,0.2418974923131768,656
icotinib,724,0.010587724129710208,0.007182004541611664,0.08314673879986745,0.08728691151650392,0.007249274172620779,0.0749040409344145,0.06244684594418526,722,0.09395686299239592,656
imiquimod,724,0.016253588002948516,-0.009525541604787913,0.09951548767438412,0.10254321800433852,-0.003627851511479374,0.07534871334541016,0.06355581544928768,722,0.08260444064033734,656
lenvatinib,724,0.10043434714592325,-0.013411559786657312,0.12142542046077265,0.12235416116676101,0.053081494890640624,0.14955511631570484,0.15947240088540837,722,0.09205862107495877,656
methotrexate,724,0.005032565573459213,0.004000347600589649,0.08113109026609755,0.08058584068872077,0.0007503772310024637,0.0933938109820508,0.060507196425627185,722,0.01959595201156139,656
osimertinib,724,0.07400952155256302,-0.0021386078680185605,0.17250162555917026,0.17103317778575777,0.04423297734861331,0.16854233575008915,0.15518264721182484,722,0.1576724426390339,656
palbociclib,724,0.05146684290364878,0.012014606386590465,0.15895858283287334,0.15662870857742395,0.06416136027932173,0.15978945595130933,0.13001094639655897,722,0.14374398474988725,656
pevonedistat,724,0.015425583214732974,-0.002815683148855941,0.11556110854588308,0.11591137919582717,-0.0005931457517700522,0.10451402317748137,0.0749607487389069,722,0.05691353720352399,656
ponatinib,724,0.02157328536749692,-0.010972708799619424,0.09209672250381251,0.09239124013741651,-0.022828237812981156,0.10328602594931446,0.05373800583301236,722,0.03493140017841845,656
poziotinib,724,0.1907599847335787,0.021191093436910724,0.323920294397128,0.3211023404296446,0.15035173759388598,0.33702029846515247,0.33487075083604556,722,0.3028614022592525,656
ruxolitinib,724,0.025854827771162103,-0.0011212684737069711,0.10449178136972104,0.10602122651171186,0.008787504340441399,0.11889525967842862,0.09523014864756929,722,0.06715397149832292,656
talazoparib,724,0.027947987517647155,0.016803538577940147,0.17570465546211078,0.17360415267763374,0.023164247784132175,0.16180853471629975,0.12257169114921285,722,0.05263107679051737,656
teniposide,724,0.01045345689705679,0.022527461475211674,0.09945518788197294,0.10037149145229673,0.04006720553403609,0.12886563539650808,0.13105877396152754,722,0.10800741454568652,656
trametinib,724,0.14982439213592924,0.03310171680014573,0.3606901689352404,0.3603357882053402,-0.000682543200348773,0.3628572908841873,0.3047872110958567,722,0.2686954151190908,656
vismodegib,724,0.017934110106901158,-0.001491207617330792,0.05600180065200144,0.058570406994743585,-0.011439454094703594,0.055277437172070565,0.03133847940012269,722,0.04057221980148651,656
volasertib,724,-0.0032767357188261403,0.033281124453770405,0.13529023564894638,0.13570111633099868,0.014046407028138308,0.14159699177136287,0.11403764035119823,722,0.14656516557842303,656
2-methoxyestradiol,723,0.0129533796185749,-0.036742145136523297,0.029713938680555496,0.03237348173944521,0.00011282116107036444,0.05826009301127122,0.042454924249056725,721,0.04869038769960454,654
3-amino-benzamide,723,-0.010728544948273466,0.003313402443828606,0.07237757616667584,0.07322942151539169,-0.02301413127485552,0.05915961009787074,0.03189399761110312,721,0.02092512327455298,654
ARRY-334543,723,0.09564631993583883,0.0034100060742225935,0.18770098648735978,0.18670265278403353,0.06659519503582623,0.20216558215648672,0.18346625821955664,721,0.16530292601274976,654
AZD2014,723,0.015923529321921426,-0.007830347176325247,0.11071499208992941,0.10917601342587968,0.026191252422043676,0.09193226066453253,0.10023212836061512,721,0.08102053975656176,654
BMS-690514,723,0.13065779345228756,0.007130563066294782,0.2582526709714458,0.26095376351744015,0.10312307453787495,0.2683262261872932,0.2678461760129097,721,0.2843225938883003,654
ONC201,723,0.011376704521361969,-0.01680323299849884,0.07809706282555284,0.07818927731230996,-0.00753626444013511,0.08189816882828627,0.05148484498830752,721,0.02737208718710571,654
anagrelide,723,0.01026311213843989,-0.0014127556086429571,0.12949901895369298,0.1302325578482625,-0.00797294832256723,0.13492129732211233,0.09572160531558627,721,0.08180431736729143,654
atiprimod,723,0.07606999890534327,0.014589164583406755,0.1709417951096639,0.173433019923374,0.014507057672277113,0.1942492904488411,0.15076944613771892,721,0.055165575021086655,654
axitinib,723,0.04014052985318828,-0.008000952179818555,0.13829891335745392,0.13863244110526318,0.048129642511302584,0.11702498186272547,0.11877426541735436,721,0.05838638893054149,654
azacitidine,723,0.006920869335022672,0.007149739207567785,0.06806856591555988,0.06727057653995816,0.026246660118321774,0.06852567199911574,0.08071977889917725,721,0.07756229015827498,654
barasertib,723,-0.0013713471064566995,0.011704765176874576,0.07113987125620647,0.07011139688746149,0.013930785366706111,0.08652332201504898,0.07631215023865812,721,0.04992014695264846,654
brigatinib,723,0.05621603056738489,0.014382990190622946,0.2058332101759368,0.2036687601020276,0.0067118280193331215,0.20200649344289934,0.16315750386963168,721,0.09105192151808295,654
canertinib,723,0.11751097399068833,0.004113596015412502,0.22388817950876572,0.22490527094573487,0.07644074076709362,0.19576645214693356,0.21119225523058172,721,0.23618697704537717,654
