compound,n_contexts,n_profiles,n_pairs,share,se_empirical,se_predicted,fold
(+)-3-(1-propyl-piperidin-3-yl)-phenol,3,18,48,0.05370722098807025,0.014361453249160654,0.12000056805137077,0
"(+/-)-7-hydroxy-2-(N,N-di-n-propylamino)tetralin",3,18,48,0.07747187086909774,0.0063745300125977915,0.12000056805137077,1
"1,2,3,4,5,6-hexabromocyclohexane",9,37,66,0.06886003384598723,0.012310478986534978,0.10233682828652971,0
"1,2,3,4-tetrahydroisoquinoline",3,18,48,0.08571893857100378,0.007166232660206859,0.12000056805137077,1
"1,2-dichlorobenzene",13,71,209,0.04904501097901218,0.006538058998782929,0.05750833282526153,0
1-benzylimidazole,9,49,141,0.07299349298974075,0.015664049782330505,0.07001552735422285,1
1-methylisoquinoline,3,18,48,0.057228171520912245,0.00753863654599175,0.12000056805137077,0
1-monopalmitin,9,34,56,0.027121890931159333,0.011083081832227287,0.11109893788608294,1
1-phenylbiguanide,8,27,45,0.20657822978905058,0.06724856751476835,0.12393605375957034,0
10-DEBC,53,186,436,0.062476992004071155,0.00546282073257947,0.03981627945974733,1
10-hydroxycamptothecin,9,37,66,0.05833972703412968,0.00983475331616225,0.10233682828652971,0
10H-phenothiazin-10-yl)(p-tolyl)methanone,8,56,193,0.03685983608233423,0.00416344342975546,0.059844641003395496,1
15-delta-prostaglandin-j2,57,362,3722,0.07543537140626491,0.002377991005854338,0.013627485737858618,0
"16,16-dimethylprostaglandin-e2",51,169,403,0.06285326394656243,0.015426284455451123,0.041414402260071405,1
17-beta-estradiol,8,90,588,0.07824524704343759,0.004344751514536466,0.034285876586105934,0
17-hydroxyprogesterone-caproate,9,51,153,0.04602028892581884,0.007571727320116829,0.06721376220575295,1
1B Parent,3,22,40,0.08946671463105282,0.00816462816270285,0.13145403607033904,0
1B-NR,3,24,48,0.07102055181440385,0.007869578971931144,0.12000056805137077,1
"2',5'-dideoxyadenosine",51,174,406,0.05270920590847842,0.012881671853258645,0.0412611096837349,0
2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol,9,48,137,0.044830128101202744,0.005731017500727868,0.07103029804693967,1
2-(biphenyl-4-ylsulfonamido)pentanedioic-acid,8,56,199,0.04004417113721917,0.00413773186225806,0.058935555638583256,0
2-aminobenzenesulfonamide,2,11,25,0.12466154833792294,0.012950804015237042,0.1662776646416806,1
2-aminopurine,14,67,171,0.0685065845288418,0.010333512060340957,0.06357785410009052,0
2-aminotetralin,3,17,42,0.07049705889532763,0.015497379216027387,0.12828600339042298,1
2-fluoropalmitic-acid,51,173,397,0.04553805675404306,0.0055252761765142025,0.041726183842446,0
"3,3'-diindolylmethane",15,121,508,0.041465229737132056,0.004514598066351112,0.036886892022576216,1
"3,6-dimethoxyflavone",9,34,57,0.04855059177999203,0.007491661426040082,0.11012007353755805,0
3-amino-benzamide,51,279,3742,0.014865381198806699,0.001199940392932166,0.013591019293742694,1
3-matida,9,37,66,0.03503163367205254,0.010208662666887152,0.10233682828652971,0
3-methyl-GABA,9,37,66,0.05058929137070296,0.011359750891878576,0.10233682828652971,1
"4,5,6,7-tetrabromobenzotriazole",13,66,163,0.030265642408295743,0.005433143531218139,0.06511935921509471,0
4-(2-amino-ethyl)-benzenesulfonamide,9,51,152,0.04223101442004049,0.005321258094767697,0.06743449765119443,1
4-carboxy-3-hydroxyphenylglycine-(RS),9,37,66,0.04847469418646161,0.0112879670430528,0.10233682828652971,0
4-hydroxy-2-nonenal,9,34,60,0.11484634108919232,0.01812927641039279,0.1073317710005818,1
4-hydroxyretinoic-acid,15,84,237,0.08469253604114238,0.009879461714224927,0.054004474887538886,0
4-iodo-6-phenylpyrimidine,51,169,395,0.022411478034013062,0.004849281897396316,0.041831686372022954,1
5'-guanidinonaltrindole,8,52,167,0.047831178510480875,0.013411411584092864,0.06433475997562621,0
5-FP,7,37,104,0.040683693093319914,0.004851695596677864,0.0815243323733237,1
5-aminolevulinic-acid,8,44,138,0.13143862987391686,0.009748230284643488,0.07077247397277182,0
5-hydroxytryptophan,3,18,48,0.0873636025893727,0.013989102851532442,0.12000056805137077,1
5-iodotubercidin,14,51,111,0.16760918679010528,0.010815059683026942,0.07891188745485186,0
5-methoxy-alpha-methyltryptamine,3,18,48,0.08433981989128721,0.00683957811187528,0.12000056805137077,1
5-methoxytryptamine,13,86,330,0.021585180541938597,0.0038601557059993593,0.04576642093008075,0
5-methylhydantoin,9,37,66,0.04109654681151433,0.009739933004811043,0.10233682828652971,1
5-nonyloxytryptamine,9,42,111,0.12977273249688873,0.008030907663354214,0.07891188745485186,0
6-aminochrysene,13,67,178,0.02802198344158695,0.006044892340493049,0.062315189410583144,1
6-benzylaminopurine,8,62,282,0.033449174451467764,0.005895955061422657,0.04950845418052319,0
6-hydroxytropinone,9,32,57,0.02367933268674937,0.011140897397347228,0.11012007353755805,1
6-nitrodopamine,3,18,48,0.06964615849343667,0.008628279831711334,0.12000056805137077,0
6-nitronorepinephrine,3,18,48,0.0870670034843926,0.008875286018001409,0.12000056805137077,1
"7,4'-dihydroxyflavone",9,37,66,0.053704916369873186,0.008441682952877519,0.10233682828652971,0
"7,8-dihydro-L-biopterin",14,66,168,0.04269220495876424,0.006157195993898429,0.06414300169521149,1
7-hydroxy-PIPAT,15,88,284,0.04551781824315877,0.006706518248671267,0.04933382064101379,0
7-nitroindazole,51,219,976,0.022891946706586168,0.003267564862532398,0.0266120917290615,1
7b-cis,51,174,406,0.12014762120717018,0.007473289632535914,0.0412611096837349,0
"9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide",51,174,406,0.02685815438541446,0.0034975307447493815,0.0412611096837349,1
A-23187,7,48,202,0.21557891379451458,0.007378336853371348,0.05849627829268667,0
A-443644,19,198,1909,0.10340691182036364,0.003875265214798578,0.01902834234635588,1
ABC-294640,3,18,45,0.08530605930077093,0.01707407325333062,0.12393605375957034,0
ABT-737,55,295,1868,0.03506924752942383,0.0018884648038443922,0.019236031723583392,1
ABT-751,51,173,396,0.10044645223519309,0.006787205941777747,0.04177883519946965,0
AC-55649,51,165,400,0.029020919807343205,0.011054814048633923,0.04156941616042015,1
AF-DX-116,7,37,104,0.08505892988842456,0.011238553830999852,0.0815243323733237,0
AG-14361,51,338,5363,0.04499091048215706,0.0012935724059190742,0.01135272249420577,1
AG-370,13,65,156,0.07105874431846523,0.0077305098101302615,0.06656433864523432,0
AG-490,13,153,1215,0.03397888152919779,0.0032658228141710906,0.023851504666795958,1
AG-494,13,71,204,0.062243368547374237,0.007030246080531517,0.05820882555410844,0
AG-592,13,69,194,0.16668540011758068,0.01447364901138503,0.05969020296269939,1
AG-957,13,81,269,0.11440571246169397,0.00859145457160755,0.05069064071049454,0
AG-99,8,52,164,0.03762734027167158,0.004135539752011283,0.06492052101285829,1
AGK-2,54,209,598,0.025728896685049893,0.0036292476899198803,0.033997996792435606,0
AICA-ribonucleotide,51,173,405,0.02245938467489113,0.0036533126907324037,0.04131201791985678,1
AKT-inhibitor-1-2,54,312,2840,0.04664455772052599,0.00138776029159742,0.015600723890383158,0
AKT-inhibitor-IV,48,251,3598,0.06371123485115451,0.002005780091190309,0.01386032267798942,1
ALW-II-38-3,18,242,2728,0.030473803888457655,0.001807664089524082,0.015917752128758025,0
ALW-II-49-7,18,241,2701,0.02971750273301778,0.0015601712735572155,0.015997113585989067,1
ALX-5407,8,53,172,0.03233449972090104,0.0061873218513866434,0.06339276534025146,0
AM-251,13,115,622,0.026101263811506275,0.0030919858320614005,0.0333356346893279,1
AM-281,8,52,164,0.03973541913116249,0.004690456062831888,0.06492052101285829,0
AM-404,13,107,614,0.03963603264859825,0.004088586320258837,0.03355210212415859,1
AM-580,58,381,6765,0.048407818407617625,0.00130263376160039,0.010108111412585231,0
AM-630,13,63,142,0.034443547619203006,0.010905705582070203,0.06976855823420344,1
AM-92016,13,64,154,0.04346977165963304,0.00556943492216071,0.06699518028638862,0
AMG-9810,13,83,301,0.1119360275356961,0.017980032878985266,0.047920426288851486,1
AMN-082,13,65,151,0.037117694408584125,0.007226286819838494,0.06765742221841048,0
APEC,3,17,42,0.08563531898312517,0.017646750871101236,0.12828600339042298,1
APHA-compound-8,14,66,167,0.08681510077176068,0.007999224957665162,0.06433475997562621,0
APO-866,51,169,403,0.028111514851792724,0.002883113043861602,0.041414402260071405,1
AQ-RA741,13,71,204,0.07054057351027147,0.02434760221497343,0.05820882555410844,0
AR-A014418,16,123,507,0.06793761231543557,0.00498365140508938,0.03692325170811408,1
AR-C133057XX,51,163,398,0.018905156496828824,0.0035556566028957857,0.04167373104503928,0
ARC-239,8,53,172,0.0357311883436224,0.0034020119922561045,0.06339276534025146,1
ARG-A1-2,9,45,129,0.0756560475418283,0.00977670278531987,0.0731996602677379,0
ARG-A1-22,9,46,131,0.08894011362060417,0.015376960729464038,0.07263873506478,1
ARG-CSC-18,9,50,150,0.0232344017653138,0.004850698584895297,0.06788257233228963,0
ARG-CSC-22,9,52,162,0.030519549103212782,0.004567048847656062,0.06532003568221943,1
ARG-CSC-26,9,52,162,0.03687821145065822,0.008144442466218442,0.06532003568221943,0
ARG-CSC-81,9,52,162,0.0371676368248512,0.004790191683902102,0.06532003568221943,1
ARG-CSC-91,50,166,392,0.04236550491753456,0.014037977723792417,0.04199145150999821,0
ARG-CSC2-23,13,66,175,0.023217404682252887,0.0060250531239328,0.06284704988949782,1
ARG-CSC2-40,8,45,147,0.03998348167441217,0.007758195274365424,0.06857175317221187,0
ARG-TC-41,8,102,734,0.024767198092163403,0.00304992277463978,0.030687102971505148,1
ARP-101,56,262,1738,0.10090914240551749,0.005817029195013454,0.019942474000389284,0
AS-601245,18,222,2530,0.0793367844945146,0.0032525679343610244,0.016528888879050522,1
AS-604850,14,66,168,0.02953743581099605,0.004862426345728727,0.06414300169521149,0
AS-605240,59,360,3042,0.08079746851835118,0.0024328156817411874,0.015073854388204484,1
AS-703026,14,66,163,0.08938553024140243,0.008967983380308839,0.06511935921509471,0
