m,prism,n_prism,tahoe,n_tahoe
androgen receptor antagonist,0.18282875590370906,6.0,0.1430775172665573,4.0
cdk inhibitor,0.1557885621832404,17.0,0.2068167658849004,4.0
cyclooxygenase inhibitor,0.1783105099454279,13.0,0.21322134473083615,12.0
dna methyltransferase inhibitor,0.1774630205620871,5.0,0.16505101957698126,4.0
glucocorticoid receptor agonist,0.37201531004157146,24.0,0.3911097647726119,5.0
hdac inhibitor,0.0856206020585043,23.0,0.2532287340782496,4.0
mek inhibitor,0.2749080008850485,18.0,0.3422264980411186,5.0
microtubule inhibitor,0.1306610469232431,5.0,0.2034407388030538,7.0
mtor inhibitor,0.087382546072692,16.0,0.2568429063910092,7.0
proteasome inhibitor,0.0354951310832028,7.0,0.3462456732551651,3.0
protein synthesis inhibitor,0.10411609375552461,16.0,0.22054516752541575,6.0
raf inhibitor,0.3731660012730633,9.0,0.1274204391809671,3.0
