drug,moa-fine,conc,med_e
9-ING-41,GSK3 inhibitor,0.05,0.3368673324584961
9-ING-41,GSK3 inhibitor,0.5,8.11226749420166
9-ING-41,GSK3 inhibitor,5.0,2.5228829383850098
Abemaciclib,CDK inhibitor,0.05,0.8148841857910156
Abemaciclib,CDK inhibitor,0.5,2.427746295928955
Abemaciclib,CDK inhibitor,5.0,4.396328449249268
Adagrasib,RAS inhibitor,0.05,0.186655044555664
Adagrasib,RAS inhibitor,0.5,0.9657869338989258
Adagrasib,RAS inhibitor,5.0,1.2006735801696777
Afatinib,EGFR/ERBB inhibitor,0.05,0.3160552978515625
Afatinib,EGFR/ERBB inhibitor,0.5,0.24865484237670893
Afatinib,EGFR/ERBB inhibitor,5.0,0.23618507385253906
Allopurinol,unclear,0.05,1.4058585166931152
Allopurinol,unclear,0.5,0.8109078407287598
Allopurinol,unclear,5.0,0.34343433380126953
Artesunate,JAK/STAT inhibitor,0.05,0.6377148628234863
Artesunate,JAK/STAT inhibitor,0.5,0.6186366081237793
Artesunate,JAK/STAT inhibitor,5.0,0.739206075668335
Ataluren,unclear,0.05,0.5758857727050781
Ataluren,unclear,0.5,0.11924934387207026
Ataluren,unclear,5.0,0.18486022949218744
BAY1125976,PI3K/AKT inhibitor,0.05,0.2882447242736816
BAY1125976,PI3K/AKT inhibitor,0.5,4.9237165451049805
BAY1125976,PI3K/AKT inhibitor,5.0,5.551865577697754
Belinostat,HDAC inhibitor,0.05,0.7829704284667969
Belinostat,HDAC inhibitor,0.5,1.161961555480957
Belinostat,HDAC inhibitor,5.0,8.529948234558105
Belumosudil,unclear,0.05,0.6169924736022949
Belumosudil,unclear,0.5,0.34865522384643555
Belumosudil,unclear,5.0,1.1683244705200195
Berbamine,unclear,0.05,1.292776107788086
Berbamine,unclear,0.5,0.9025542736053467
Berbamine,unclear,5.0,0.5528035163879395
Berbamine (dihydrochloride),unclear,0.05,0.6175897121429443
Berbamine (dihydrochloride),unclear,0.5,0.4483468532562256
Berbamine (dihydrochloride),unclear,5.0,1.1587185859680176
Bicalutamide,Androgen receptor antagonist,0.05,0.8479595184326172
Bicalutamide,Androgen receptor antagonist,0.5,0.1644186973571777
Bicalutamide,Androgen receptor antagonist,5.0,0.5153684616088867
Binimetinib,MEK inhibitor,0.05,1.4178540706634521
Binimetinib,MEK inhibitor,0.5,3.1268978118896484
Binimetinib,MEK inhibitor,5.0,2.2017908096313477
Bortezomib,Proteasome inhibitor,0.05,5.748837471008301
Bortezomib,Proteasome inhibitor,0.5,4.101175785064697
Bortezomib,Proteasome inhibitor,5.0,6.076649188995361
Carbamazepine,HDAC inhibitor,0.05,0.4799213409423828
Carbamazepine,HDAC inhibitor,0.5,0.20376062393188477
Carbamazepine,HDAC inhibitor,5.0,0.7312936782836914
Chlorhexidine (diacetate),unclear,0.05,0.2774972915649414
Chlorhexidine (diacetate),unclear,0.5,0.8726260662078857
Chlorhexidine (diacetate),unclear,5.0,0.5058288574218749
Clonidine (hydrochloride),Adrenoceptor agonist,0.05,1.328382968902588
Clonidine (hydrochloride),Adrenoceptor agonist,0.5,0.13888549804687494
Clonidine (hydrochloride),Adrenoceptor agonist,5.0,1.1342487335205078
Clopidogrel,unclear,0.05,1.7103667259216309
Clopidogrel,unclear,0.5,0.2749814987182617
Clopidogrel,unclear,5.0,0.994349479675293
Cytarabine,DNA synthesis/repair inhibitor,0.05,1.2506022453308105
Cytarabine,DNA synthesis/repair inhibitor,0.5,0.7292008399963379
Cytarabine,DNA synthesis/repair inhibitor,5.0,2.4543817043304443
Dabrafenib,RAF inhibitor,0.05,0.3618073463439941
Dabrafenib,RAF inhibitor,0.5,1.0760908126831055
Dabrafenib,RAF inhibitor,5.0,4.233236312866211
Daidzin,unclear,0.05,1.12520432472229
Daidzin,unclear,0.5,0.9542131423950195
Daidzin,unclear,5.0,2.1706337928771973
Dapagliflozin,Glucose transporter inhibitor,0.05,0.9496378898620605
Dapagliflozin,Glucose transporter inhibitor,0.5,0.5575933456420898
Dapagliflozin,Glucose transporter inhibitor,5.0,0.4111442565917969
Dexamethasone,Glucocorticoid receptor agonist,0.05,1.0159316062927246
Dexamethasone,Glucocorticoid receptor agonist,0.5,0.31305503845214844
Dexamethasone,Glucocorticoid receptor agonist,5.0,0.8532047271728516
Dinaciclib,CDK inhibitor,0.05,13.239346504211426
Dinaciclib,CDK inhibitor,0.5,23.367164611816406
Dinaciclib,CDK inhibitor,5.0,16.64554214477539
Entecavir (monohydrate),unclear,0.05,0.3984951972961426
Entecavir (monohydrate),unclear,0.5,0.49867725372314453
Entecavir (monohydrate),unclear,5.0,1.128706932067871
Esmolol (hydrochloride),unclear,0.05,0.6356639862060547
Esmolol (hydrochloride),unclear,0.5,0.2259531021118164
Esmolol (hydrochloride),unclear,5.0,0.41916370391845703
Everolimus,MTOR inhibitor,0.05,0.24205207824707026
Everolimus,MTOR inhibitor,0.5,0.5376834869384766
Everolimus,MTOR inhibitor,5.0,0.48725414276123047
Flumatinib (mesylate),Other TK inhibitor,0.05,0.48739004135131836
Flumatinib (mesylate),Other TK inhibitor,0.5,0.5139455795288086
Flumatinib (mesylate),Other TK inhibitor,5.0,0.8913941383361816
Fumaric acid,unclear,0.05,0.5264334678649902
Fumaric acid,unclear,0.5,0.3698558807373047
Fumaric acid,unclear,5.0,1.3761532306671143
Glasdegib,Sonic inhibitor,0.05,0.9419698715209961
Glasdegib,Sonic inhibitor,0.5,0.5099678039550781
Glasdegib,Sonic inhibitor,5.0,0.37427425384521484
Harringtonine,Protein synthesis inhibitor,0.05,1.3294401168823242
Harringtonine,Protein synthesis inhibitor,0.5,6.771667003631592
Harringtonine,Protein synthesis inhibitor,5.0,14.916008949279785
Homoharringtonine,Protein synthesis inhibitor,0.05,4.650242328643799
Homoharringtonine,Protein synthesis inhibitor,0.5,17.16620206832886
Homoharringtonine,Protein synthesis inhibitor,5.0,21.780710697174072
Malotilate,unclear,0.05,1.6945710182189941
Malotilate,unclear,0.5,1.2805709838867188
Malotilate,unclear,5.0,1.6644372940063477
Methylthiouracil,unclear,0.05,0.22195196151733396
Methylthiouracil,unclear,0.5,0.24540615081787104
Methylthiouracil,unclear,5.0,0.2028961181640625
Naproxen,Cyclooxygenase inhibitor,0.05,0.29515719413757324
Naproxen,Cyclooxygenase inhibitor,0.5,0.3709287643432617
Naproxen,Cyclooxygenase inhibitor,5.0,0.08178544044494625
Omeprazole,unclear,0.05,0.3661556243896484
Omeprazole,unclear,0.5,0.21120834350585935
Omeprazole,unclear,5.0,0.17909145355224604
PF-06260933,Other MAPK inhibitor,0.05,0.4030418395996094
PF-06260933,Other MAPK inhibitor,0.5,1.6299099922180176
PF-06260933,Other MAPK inhibitor,5.0,2.834892749786377
Paclitaxel,Microtubule inhibitor,0.05,0.9345870018005371
Paclitaxel,Microtubule inhibitor,0.5,0.7462587356567383
Paclitaxel,Microtubule inhibitor,5.0,6.3567609786987305
Panobinostat,HDAC inhibitor,0.05,2.148747444152832
Panobinostat,HDAC inhibitor,0.5,8.86404800415039
Panobinostat,HDAC inhibitor,5.0,11.021074295043945
Perindopril (erbumine),unclear,0.05,0.44518136978149414
Perindopril (erbumine),unclear,0.5,0.662147045135498
Perindopril (erbumine),unclear,5.0,0.3561916351318359
Pravastatin (sodium),unclear,0.05,0.8390185832977295
Pravastatin (sodium),unclear,0.5,0.6896796226501465
Pravastatin (sodium),unclear,5.0,1.5598092079162598
RMC-6236,RAS inhibitor,0.05,0.7532291412353516
