cell_line_id,drug,conc,plate,n_cells,e_distance,moa-fine
CVCL_1285,Chlorhexidine (diacetate),0.05,plate4,2583,0.1812982559204101,unclear
CVCL_1285,Berbamine,0.05,plate4,3190,1.3157835006713867,unclear
CVCL_1285,Retinoic acid,0.05,plate4,2636,3.3688364028930664,Retinoic receptor agonist
CVCL_1285,Tucidinostat,0.05,plate4,2627,0.3619890213012695,HDAC inhibitor
CVCL_1285,Homoharringtonine,0.05,plate4,2359,1.4114561080932615,Protein synthesis inhibitor
CVCL_1285,Artesunate,0.05,plate4,2874,0.3024463653564453,JAK/STAT inhibitor
CVCL_1285,Clonidine (hydrochloride),0.05,plate4,3487,0.8627996444702148,Adrenoceptor agonist
CVCL_1285,Adagrasib,0.05,plate4,3337,1.1891069412231443,RAS inhibitor
CVCL_1285,Chlorhexidine (diacetate),0.5,plate5,3078,0.246978759765625,unclear
CVCL_1285,Berbamine,0.5,plate5,2956,0.7501239776611328,unclear
CVCL_1285,Retinoic acid,0.5,plate5,2220,0.2911758422851562,Retinoic receptor agonist
CVCL_1285,Tucidinostat,0.5,plate5,1840,2.66422176361084,HDAC inhibitor
CVCL_1285,Homoharringtonine,0.5,plate5,1730,18.38394927978516,Protein synthesis inhibitor
CVCL_1285,Artesunate,0.5,plate5,3907,0.3531169891357422,JAK/STAT inhibitor
CVCL_1285,Clonidine (hydrochloride),0.5,plate5,3460,0.0599737167358398,Adrenoceptor agonist
CVCL_1285,Adagrasib,0.05,plate5,3021,1.6638975143432615,RAS inhibitor
CVCL_1285,Chlorhexidine (diacetate),5.0,plate6,3301,0.4887065887451172,unclear
CVCL_1285,Berbamine,5.0,plate6,3537,1.4103031158447266,unclear
CVCL_1285,Retinoic acid,5.0,plate6,2850,0.4368247985839844,Retinoic receptor agonist
CVCL_1285,Tucidinostat,5.0,plate6,1634,5.032388687133789,HDAC inhibitor
CVCL_1285,Homoharringtonine,5.0,plate6,1777,27.948381423950195,Protein synthesis inhibitor
CVCL_1285,Artesunate,5.0,plate6,3770,0.3539104461669922,JAK/STAT inhibitor
CVCL_1285,Clonidine (hydrochloride),5.0,plate6,5355,1.2163333892822266,Adrenoceptor agonist
CVCL_1285,Adagrasib,0.05,plate6,3808,1.5632190704345703,RAS inhibitor
CVCL_1285,Entecavir (monohydrate),0.05,plate7,1761,0.4070119857788086,unclear
CVCL_1285,Berbamine (dihydrochloride),0.05,plate7,1977,0.7424917221069336,unclear
CVCL_1285,Daidzin,0.05,plate7,2071,1.4164190292358398,unclear
CVCL_1285,Fumaric acid,0.05,plate7,2010,0.5598382949829102,unclear
CVCL_1285,Pravastatin (sodium),0.05,plate7,1715,0.5116739273071289,unclear
CVCL_1285,Dinaciclib,0.05,plate7,744,13.239346504211426,CDK inhibitor
CVCL_1285,Belumosudil,0.05,plate7,2213,0.7762155532836914,unclear
CVCL_1285,Flumatinib (mesylate),0.05,plate7,2132,0.3366193771362304,Other TK inhibitor
CVCL_1285,Cytarabine,0.05,plate7,2594,1.7165288925170898,DNA synthesis/repair inhibitor
CVCL_1285,Afatinib,0.05,plate7,2066,0.1696710586547851,EGFR/ERBB inhibitor
CVCL_1285,Naproxen,0.05,plate7,1204,0.3277959823608398,Cyclooxygenase inhibitor
CVCL_1285,Harringtonine,0.05,plate7,1024,0.8659639358520508,Protein synthesis inhibitor
CVCL_1285,Adagrasib,0.05,plate7,4719,0.8158807754516602,RAS inhibitor
CVCL_1285,Entecavir (monohydrate),0.5,plate8,6125,0.9152660369873048,unclear
CVCL_1285,Berbamine (dihydrochloride),0.5,plate8,5487,0.5691471099853516,unclear
CVCL_1285,Daidzin,0.5,plate8,5039,1.2183456420898438,unclear
CVCL_1285,Fumaric acid,0.5,plate8,4424,0.5557956695556641,unclear
CVCL_1285,Pravastatin (sodium),0.5,plate8,4284,0.2398052215576172,unclear
CVCL_1285,Dinaciclib,0.5,plate8,1878,23.43685340881348,CDK inhibitor
CVCL_1285,Belumosudil,0.5,plate8,4707,0.4317493438720703,unclear
CVCL_1285,Flumatinib (mesylate),0.5,plate8,4119,0.7927913665771484,Other TK inhibitor
CVCL_1285,Cytarabine,0.5,plate8,4879,0.8559131622314453,DNA synthesis/repair inhibitor
CVCL_1285,Afatinib,0.5,plate8,3886,0.1824245452880859,EGFR/ERBB inhibitor
