line,k,seed,n_conditions,r_de100
CVCL_0023,5,0,1132,0.6926676034927368
CVCL_0023,5,1,1132,0.6963034868240356
CVCL_0023,5,2,1131,0.6311476826667786
CVCL_0023,10,0,1132,0.7083390057086945
CVCL_0023,10,1,1132,0.7188873589038849
CVCL_0023,10,2,1132,0.7360634803771973
CVCL_0023,20,0,1132,0.737503707408905
CVCL_0023,20,1,1132,0.7280988395214081
CVCL_0023,20,2,1132,0.728666752576828
CVCL_0023,45,0,1132,0.7402331233024597
CVCL_0023,45,1,1132,0.7399711906909943
CVCL_0023,45,2,1132,0.7410189509391785
CVCL_0028,5,0,1126,0.3756091892719269
CVCL_0028,5,1,1126,0.3931705504655838
CVCL_0028,5,2,1126,0.3576428294181824
CVCL_0028,10,0,1126,0.3876713812351227
CVCL_0028,10,1,1126,0.39208967983722687
CVCL_0028,10,2,1126,0.39863380789756775
CVCL_0028,20,0,1126,0.4125310629606247
CVCL_0028,20,1,1126,0.41868674755096436
CVCL_0028,20,2,1126,0.41097210347652435
CVCL_0028,45,0,1126,0.42126937210559845
CVCL_0028,45,1,1126,0.4223955273628235
CVCL_0028,45,2,1126,0.4210089147090912
CVCL_0069,5,0,1130,0.5496298968791962
CVCL_0069,5,1,1130,0.6541867554187775
CVCL_0069,5,2,1130,0.6568795144557953
CVCL_0069,10,0,1130,0.6627521216869354
CVCL_0069,10,1,1130,0.6567829847335815
CVCL_0069,10,2,1130,0.6802527606487274
CVCL_0069,20,0,1130,0.6812673211097717
CVCL_0069,20,1,1130,0.6902571320533752
CVCL_0069,20,2,1130,0.6772132813930511
CVCL_0069,45,0,1130,0.6898176372051239
CVCL_0069,45,1,1130,0.6918538212776184
CVCL_0069,45,2,1130,0.6902401447296143
CVCL_0099,5,0,1130,0.4664240926504135
CVCL_0099,5,1,1130,0.5381886065006256
CVCL_0099,5,2,1130,0.5338696837425232
CVCL_0099,10,0,1130,0.5437262952327728
CVCL_0099,10,1,1130,0.5382052659988403
CVCL_0099,10,2,1130,0.5349397659301758
CVCL_0099,20,0,1130,0.5607690811157227
CVCL_0099,20,1,1130,0.5604424774646759
CVCL_0099,20,2,1130,0.5585662126541138
CVCL_0099,45,0,1130,0.5700849890708923
CVCL_0099,45,1,1130,0.5712060630321503
CVCL_0099,45,2,1130,0.5702494382858276
CVCL_0131,5,0,1132,0.6707753837108612
CVCL_0131,5,1,1131,0.6129750609397888
CVCL_0131,5,2,1132,0.6481652855873108
CVCL_0131,10,0,1132,0.733385294675827
CVCL_0131,10,1,1132,0.7221997082233429
CVCL_0131,10,2,1132,0.7128862142562866
CVCL_0131,20,0,1132,0.7339740097522736
CVCL_0131,20,1,1132,0.7378378212451935
CVCL_0131,20,2,1132,0.7265995442867279
CVCL_0131,45,0,1132,0.7348796725273132
CVCL_0131,45,1,1132,0.7336684465408325
CVCL_0131,45,2,1132,0.7336642444133759
CVCL_0152,5,0,1132,0.6780185401439667
CVCL_0152,5,1,1133,0.62668776512146
CVCL_0152,5,2,1130,0.5916869044303894
CVCL_0152,10,0,1133,0.6955680251121521
CVCL_0152,10,1,1133,0.7013100981712341
CVCL_0152,10,2,1133,0.694196879863739
CVCL_0152,20,0,1133,0.7043185830116272
CVCL_0152,20,1,1133,0.7062089443206787
CVCL_0152,20,2,1133,0.7093705534934998
CVCL_0152,45,0,1133,0.7159103751182556
CVCL_0152,45,1,1133,0.7143039107322693
CVCL_0152,45,2,1133,0.7163251042366028
CVCL_0179,5,0,1131,0.5560990571975708
CVCL_0179,5,1,1131,0.5576695203781128
CVCL_0179,5,2,1131,0.5500330924987793
CVCL_0179,10,0,1131,0.5805648565292358
CVCL_0179,10,1,1131,0.5895915031433105
CVCL_0179,10,2,1131,0.5948912501335144
CVCL_0179,20,0,1131,0.6105000972747803
CVCL_0179,20,1,1131,0.6083016991615295
CVCL_0179,20,2,1131,0.6182699799537659
CVCL_0179,45,0,1131,0.6224494576454163
CVCL_0179,45,1,1131,0.6239165663719177
CVCL_0179,45,2,1131,0.623166561126709
CVCL_0218,5,0,1129,0.564533531665802
CVCL_0218,5,1,1130,0.5252463817596436
CVCL_0218,5,2,1131,0.5729407668113708
CVCL_0218,10,0,1130,0.5773222744464874
CVCL_0218,10,1,1130,0.5586449801921844
CVCL_0218,10,2,1130,0.5675203800201416
CVCL_0218,20,0,1131,0.5967854857444763
CVCL_0218,20,1,1131,0.5850365161895752
CVCL_0218,20,2,1131,0.581580638885498
CVCL_0218,45,0,1131,0.5923265218734741
CVCL_0218,45,1,1131,0.5930759906768799
CVCL_0218,45,2,1131,0.5952404141426086
CVCL_0292,5,0,1132,0.5726300776004791
CVCL_0292,5,1,1133,0.5635681748390198
CVCL_0292,5,2,1131,0.5270172953605652
CVCL_0292,10,0,1134,0.5922257006168365
CVCL_0292,10,1,1133,0.588148832321167
CVCL_0292,10,2,1134,0.5869145095348358
CVCL_0292,20,0,1134,0.5836860835552216
CVCL_0292,20,1,1134,0.5962186455726624
CVCL_0292,20,2,1134,0.5952436923980713
CVCL_0292,45,0,1134,0.6021526753902435
CVCL_0292,45,1,1134,0.6022783517837524
CVCL_0292,45,2,1134,0.6029802560806274
CVCL_0293,5,0,1134,0.7471438050270081
CVCL_0293,5,1,1132,0.7495118379592896
CVCL_0293,5,2,1132,0.6714664697647095
CVCL_0293,10,0,1134,0.7601051330566406
CVCL_0293,10,1,1134,0.7648812532424927
CVCL_0293,10,2,1133,0.7372078895568848
CVCL_0293,20,0,1134,0.7748025953769684
CVCL_0293,20,1,1134,0.7701914608478546
CVCL_0293,20,2,1134,0.7736747860908508
CVCL_0293,45,0,1134,0.7838998436927795
CVCL_0293,45,1,1134,0.7845990359783173
CVCL_0293,45,2,1134,0.7836971282958984
CVCL_0320,5,0,1132,0.6819976568222046
CVCL_0320,5,1,1132,0.6828485131263733
CVCL_0320,5,2,1133,0.6472734808921814
CVCL_0320,10,0,1133,0.6968234181404114
CVCL_0320,10,1,1132,0.6877915859222412
CVCL_0320,10,2,1133,0.7067466378211975
CVCL_0320,20,0,1133,0.7142475247383118
CVCL_0320,20,1,1133,0.699887752532959
CVCL_0320,20,2,1133,0.7119190692901611
CVCL_0320,45,0,1133,0.7188808917999268
CVCL_0320,45,1,1133,0.7172225713729858
CVCL_0320,45,2,1133,0.7191747426986694
CVCL_0332,5,0,1132,0.696143388748169
CVCL_0332,5,1,1132,0.6870491206645966
CVCL_0332,5,2,1132,0.6531267762184143
CVCL_0332,10,0,1132,0.7061321437358856
CVCL_0332,10,1,1132,0.6991509199142456
CVCL_0332,10,2,1132,0.6897425353527069
CVCL_0332,20,0,1132,0.7169255614280701
CVCL_0332,20,1,1132,0.716284990310669
CVCL_0332,20,2,1132,0.7195158898830414
CVCL_0332,45,0,1132,0.7236286699771881
CVCL_0332,45,1,1132,0.7230056524276733
CVCL_0332,45,2,1132,0.7248462438583374
CVCL_0334,5,0,1131,0.602465033531189
CVCL_0334,5,1,1131,0.6652566194534302
CVCL_0334,5,2,1131,0.6185377240180969
CVCL_0334,10,0,1131,0.6872146129608154
CVCL_0334,10,1,1131,0.6772758364677429
CVCL_0334,10,2,1131,0.6864241361618042
CVCL_0334,20,0,1131,0.6932448148727417
CVCL_0334,20,1,1131,0.694537878036499
CVCL_0334,20,2,1131,0.6950132846832275
CVCL_0334,45,0,1131,0.6987230777740479
CVCL_0334,45,1,1131,0.6983339190483093
CVCL_0334,45,2,1131,0.6992958188056946
CVCL_0359,5,0,1132,0.7283627688884735
CVCL_0359,5,1,1132,0.7157765924930573
CVCL_0359,5,2,1132,0.7438651025295258
CVCL_0359,10,0,1132,0.7292656004428864
CVCL_0359,10,1,1132,0.7471971809864044
CVCL_0359,10,2,1132,0.7549660503864288
CVCL_0359,20,0,1132,0.7552501559257507
CVCL_0359,20,1,1132,0.7647449374198914
CVCL_0359,20,2,1132,0.7517314553260803
CVCL_0359,45,0,1132,0.7632226049900055
CVCL_0359,45,1,1132,0.7632005214691162
CVCL_0359,45,2,1132,0.7631939053535461
CVCL_0366,5,0,1132,0.6693789064884186
CVCL_0366,5,1,1132,0.6420129537582397
CVCL_0366,5,2,1132,0.6533140540122986
CVCL_0366,10,0,1132,0.6889625191688538
CVCL_0366,10,1,1132,0.6852448284626007
CVCL_0366,10,2,1132,0.7017263174057007
CVCL_0366,20,0,1132,0.7165202498435974
CVCL_0366,20,1,1132,0.7105633020401001
CVCL_0366,20,2,1132,0.7166532576084137
CVCL_0366,45,0,1132,0.7230246961116791
CVCL_0366,45,1,1132,0.7221798002719879
CVCL_0366,45,2,1132,0.7215851843357086
CVCL_0371,5,0,1132,0.6685078740119934
CVCL_0371,5,1,1131,0.6857713460922241
CVCL_0371,5,2,1132,0.7037780284881592
