cell_line_id,cell_name,organ,has_reference_tissue,top1,rho1,top2,rho2,top3,rho3,match_top1,match_top3,zmatch_top1,zmatch_top3
CVCL_0023,A549,Lung,True,Uterus|epithelial cell of uterus,0.713,Mammary|luminal epithelial cell of mammary gland,0.675,Mammary|basal cell,0.656,False,False,False,False
CVCL_0028,AN3 CA,Uterus,True,Uterus|epithelial cell of uterus,0.714,Uterus|fibroblast,0.682,Uterus|myofibroblast cell,0.678,True,True,False,False
CVCL_0069,SK-MEL-2,Skin,True,Uterus|epithelial cell of uterus,0.662,Skin|melanocyte,0.652,Uterus|myometrial cell,0.628,False,True,False,True
CVCL_0099,SNU-1,Esophagus/Stomach,True,Uterus|epithelial cell of uterus,0.713,Mammary|luminal epithelial cell of mammary gland,0.681,Lung|basal cell,0.665,False,False,False,False
CVCL_0131,A-172,CNS/Brain,True,Uterus|myofibroblast cell,0.657,Uterus|fibroblast,0.649,Uterus|epithelial cell of uterus,0.645,False,False,False,True
CVCL_0152,AsPC-1,Pancreas,True,Uterus|epithelial cell of uterus,0.738,Mammary|luminal epithelial cell of mammary gland,0.713,Bladder|bladder urothelial cell,0.699,False,False,False,False
CVCL_0179,BT-474,Breast,True,Uterus|epithelial cell of uterus,0.759,Mammary|luminal epithelial cell of mammary gland,0.756,Stomach|epithelial cell,0.708,False,True,True,True
CVCL_0218,COLO 205,Bowel,True,Large_Intestine|large intestine goblet cell,0.733,Stomach|epithelial cell,0.729,Uterus|epithelial cell of uterus,0.714,True,True,True,True
CVCL_0292,HCT15,Bowel,True,Uterus|epithelial cell of uterus,0.765,Stomach|epithelial cell,0.731,Mammary|luminal epithelial cell of mammary gland,0.727,False,False,False,False
CVCL_0293,HEC-1-A,Uterus,True,Uterus|epithelial cell of uterus,0.758,Mammary|luminal epithelial cell of mammary gland,0.703,Stomach|epithelial cell,0.69,True,True,False,True
CVCL_0320,HT-29,Bowel,True,Large_Intestine|large intestine goblet cell,0.771,Stomach|epithelial cell,0.766,Uterus|epithelial cell of uterus,0.764,True,True,True,True
CVCL_0332,HS-578T,Breast,True,Uterus|myofibroblast cell,0.698,Uterus|fibroblast,0.689,Mammary|fibroblast of breast,0.686,False,True,False,False
CVCL_0334,Hs 766T,Pancreas,True,Uterus|epithelial cell of uterus,0.694,Mammary|luminal epithelial cell of mammary gland,0.678,Uterus|endothelial cell,0.669,False,False,False,False
CVCL_0359,J82,Bladder/Urinary Tract,True,Uterus|epithelial cell of uterus,0.69,Mammary|basal cell,0.671,Mammary|luminal epithelial cell of mammary gland,0.66,False,False,False,False
CVCL_0366,SNU-423,Liver,True,Uterus|myofibroblast cell,0.681,Uterus|epithelial cell of uterus,0.672,Uterus|fibroblast,0.669,False,False,False,True
CVCL_0371,KATO III,Esophagus/Stomach,True,Stomach|epithelial cell,0.778,Uterus|epithelial cell of uterus,0.756,Large_Intestine|large intestine goblet cell,0.749,True,True,True,True
CVCL_0397,LS 180,Bowel,True,Large_Intestine|large intestine goblet cell,0.777,Stomach|epithelial cell,0.763,Uterus|epithelial cell of uterus,0.749,True,True,True,True
CVCL_0399,LoVo,Bowel,True,Large_Intestine|large intestine goblet cell,0.762,Uterus|epithelial cell of uterus,0.757,Stomach|epithelial cell,0.748,True,True,True,True
CVCL_0428,MIA PaCa-2,Pancreas,True,Uterus|epithelial cell of uterus,0.719,Mammary|luminal epithelial cell of mammary gland,0.705,Mammary|basal cell,0.678,False,False,False,False
