test,kind,r
within_line_across_drug,observed,0.07871473
within_line_across_drug,observed,0.13234475
within_line_across_drug,observed,0.51018864
within_line_across_drug,observed,0.022927968
within_line_across_drug,observed,-0.0014162973
within_line_across_drug,observed,0.0032718934
within_line_across_drug,observed,0.112190425
within_line_across_drug,observed,0.29896343
within_line_across_drug,observed,-0.064247504
within_line_across_drug,observed,0.13321225
within_line_across_drug,observed,0.019476391
within_line_across_drug,observed,-0.019910054
within_line_across_drug,observed,0.25657544
within_line_across_drug,observed,0.06935327
within_line_across_drug,observed,0.35127205
within_line_across_drug,observed,0.042438738
within_line_across_drug,observed,-0.048382074
within_line_across_drug,observed,0.19752087
within_line_across_drug,observed,0.034731165
within_line_across_drug,observed,0.00897347
within_line_across_drug,observed,0.2943617
within_line_across_drug,observed,-0.028989116
within_line_across_drug,observed,0.078808144
within_line_across_drug,observed,0.165382
within_line_across_drug,observed,0.064114906
within_line_across_drug,observed,-0.022060849
within_line_across_drug,observed,0.16582747
within_line_across_drug,observed,0.39448562
within_line_across_drug,observed,0.212929
within_line_across_drug,observed,0.15165275
within_line_across_drug,observed,0.2892217
within_line_across_drug,observed,0.03575654
within_line_across_drug,observed,0.020290818
within_line_across_drug,observed,0.024468098
within_line_across_drug,observed,0.07822779
within_line_across_drug,observed,0.04837303
within_line_across_drug,observed,0.06819913
within_line_across_drug,observed,0.23704994
within_line_across_drug,observed,0.026407827
within_line_across_drug,observed,-0.02624631
within_line_across_drug,observed,0.03902082
within_line_across_drug,observed,0.31617275
within_line_across_drug,observed,0.057969358
within_line_across_drug,observed,-0.09854981
within_line_across_drug,observed,0.004513334
within_line_across_drug,observed,-0.015768923
within_line_across_drug,observed,-0.0045122243
within_line_across_drug,observed,-0.033107452
within_line_across_drug,observed,0.03902082
within_line_across_drug,observed,-0.044455856
within_line_across_drug,observed,0.021664478
within_line_across_drug,observed,0.01071141
within_line_across_drug,observed,-0.00036376057
within_line_across_drug,observed,-0.019095022
within_line_across_drug,observed,0.008078594
within_line_across_drug,observed,0.033358615
within_line_across_drug,observed,-0.036494937
within_line_across_drug,observed,-0.033455953
within_line_across_drug,observed,0.0089313
within_line_across_drug,observed,0.057011575
within_line_across_drug,observed,-0.0051299483
within_line_across_drug,observed,-0.019078625
within_line_across_drug,observed,-0.04976091
within_line_across_drug,observed,0.049195226
within_line_across_drug,observed,-0.06426973
within_line_across_drug,observed,0.3933838
within_line_across_drug,observed,-0.0020127255
within_line_across_drug,observed,-0.043623183
within_line_across_drug,observed,-0.026924696
within_line_across_drug,observed,0.0756926
within_line_across_drug,observed,-0.051364288
within_line_across_drug,observed,-0.001577576
within_line_across_drug,observed,0.010319231
within_line_across_drug,observed,-0.03600663
within_line_across_drug,observed,-0.0031768265
within_line_across_drug,observed,-0.00042260546
within_line_across_drug,observed,0.0511163
within_line_across_drug,observed,0.12806672
within_line_across_drug,observed,0.124307305
within_line_across_drug,observed,0.08715807
within_line_across_drug,observed,0.36399162
within_line_across_drug,observed,0.004770662
within_line_across_drug,observed,0.027423233
within_line_across_drug,observed,0.1030886
within_line_across_drug,observed,-0.18414363
within_line_across_drug,observed,0.004691067
within_line_across_drug,observed,-0.058994852
within_line_across_drug,observed,0.02768843
within_line_across_drug,observed,0.009478928
within_line_across_drug,observed,0.14509545
within_line_across_drug,observed,-0.0031731287
within_line_across_drug,observed,0.05260566
within_line_across_drug,observed,0.495844
within_line_across_drug,observed,0.23506746
within_line_across_drug,observed,0.07846839
within_line_across_drug,observed,0.006251954
within_line_across_drug,observed,-0.13276121
within_line_across_drug,observed,0.29026106
within_line_across_drug,observed,-0.06676354
within_line_across_drug,observed,0.08360652
within_line_across_drug,observed,0.19597326
within_line_across_drug,observed,0.02610526
within_line_across_drug,observed,0.23628072
within_line_across_drug,observed,0.07352844
within_line_across_drug,observed,0.043348007
within_line_across_drug,observed,0.08029533
within_line_across_drug,observed,0.029952785
within_line_across_drug,observed,0.100972585
within_line_across_drug,observed,-0.0069961427
within_line_across_drug,observed,0.05626748
within_line_across_drug,observed,0.003416105
within_line_across_drug,observed,-0.05525428
within_line_across_drug,observed,0.082255825
within_line_across_drug,observed,0.06721057
within_line_across_drug,observed,0.054511156
within_line_across_drug,observed,-0.022449894
within_line_across_drug,observed,0.27207896
within_line_across_drug,observed,0.058973785
within_line_across_drug,observed,0.12889498
within_line_across_drug,observed,-0.02957056
within_line_across_drug,observed,0.04051885
within_line_across_drug,observed,-0.07817805
within_line_across_drug,observed,0.27636006
within_line_across_drug,observed,-0.046752676
within_line_across_drug,observed,0.3394096
within_line_across_drug,observed,0.23320684
within_line_across_drug,observed,-0.030499035
within_line_across_drug,observed,-0.023442306
within_line_across_drug,observed,0.27956602
within_line_across_drug,observed,-0.02579075
within_line_across_drug,observed,0.03483609
within_line_across_drug,observed,-0.010443925
within_line_across_drug,observed,0.00018672009
within_line_across_drug,observed,-0.00612545
within_line_across_drug,observed,0.051557872
within_line_across_drug,observed,0.0015043701
within_line_across_drug,observed,-0.03652818
within_line_across_drug,observed,0.02852456
within_line_across_drug,observed,0.24366683
within_line_across_drug,observed,0.04295864
within_line_across_drug,observed,0.046979982
within_line_across_drug,observed,0.010399571
within_line_across_drug,observed,0.02019089
within_line_across_drug,observed,-0.037320647
within_line_across_drug,observed,-0.06436964
within_line_across_drug,observed,0.017261824
within_line_across_drug,observed,-0.021895746
within_line_across_drug,observed,0.08437065
within_line_across_drug,observed,0.17107263
within_line_across_drug,observed,0.0433486
within_line_across_drug,observed,-0.036270063
