drug,driver_gene,n_mut,n_wt,pc1_var_frac,effect,p,q
DNA methyltransferase inhibitor,KRAS,23,25,0.3076403737068176,-0.4224931001663208,3.0622081165446555e-05,0.025263216961493407
Glucocorticoid receptor agonist,CDKN2A,21,27,0.1916694939136505,2.745211362838745,0.00041079235361122466,0.15650958617210392
HDAC inhibitor,TERT,11,37,0.13002021610736847,2.443866729736328,0.0006504559001451023,0.15650958617210392
Cyclooxygenase inhibitor,KRAS,23,25,0.22759361565113068,-0.7192840576171875,0.0011948810297364805,0.15650958617210392
Androgen receptor antagonist,KRAS,23,25,0.2500787377357483,-0.4287620186805725,0.0011948810297364805,0.15650958617210392
RAS inhibitor,SETD1B,11,37,0.09426198154687881,-1.4906255006790161,0.0013116709746070294,0.15650958617210392
Glucocorticoid receptor agonist,CTNNB1,5,43,0.1916694939136505,-2.975642204284668,0.0015721507395882973,0.15650958617210392
MEK inhibitor,KRAS,23,25,0.10747472196817398,-1.5258680582046509,0.001591015242691158,0.15650958617210392
HDAC inhibitor,KRAS,23,25,0.13002021610736847,-1.2583049535751343,0.0017073773036956792,0.15650958617210392
Glucocorticoid receptor agonist,APC,10,38,0.1916694939136505,-2.9658331871032715,0.0020393215640554106,0.1682440290345714
Multi-TK inhibitor,KRAS,23,25,0.21858257055282593,-0.6552407145500183,0.0022554044876772397,0.16915533657579299
Glucocorticoid receptor agonist,PRDM2,6,42,0.1916694939136505,-2.5966262817382812,0.003214762777398579,0.21095716418819796
RAS inhibitor,ARID1A,15,33,0.09426198154687881,-1.1585923433303833,0.003324173496298877,0.21095716418819796
Adrenoceptor agonist,KRAS,23,25,0.2427297830581665,-0.5946404933929443,0.00361546671951088,0.21305428882831973
Proteasome inhibitor,APC,10,38,0.11658956110477448,-3.97283673286438,0.004646348316705783,0.2299037287412264
EGFR/ERBB inhibitor,KRAS,23,25,0.16686606407165527,-0.7311300039291382,0.00469353281563731,0.2299037287412264
Glucocorticoid receptor agonist,ATM,9,39,0.1916694939136505,-2.280813694000244,0.005111602074476712,0.2299037287412264
Protein synthesis inhibitor,NF1,7,41,0.10040878504514694,-2.721353530883789,0.0052102517331740926,0.2299037287412264
Proteasome inhibitor,TERT,11,37,0.11658956110477448,2.8272173404693604,0.005573423727060034,0.2299037287412264
DNA methyltransferase inhibitor,TERT,11,37,0.3076403737068176,0.37343740463256836,0.005573423727060034,0.2299037287412264
JAK/STAT inhibitor,APC,10,38,0.16645890474319458,-0.9670004844665527,0.006351978824037912,0.24954202523006086
Retinoic receptor agonist,PRDM2,6,42,0.1884232610464096,-0.7027906179428101,0.006685891681481466,0.24966728385170517
Glucocorticoid receptor agonist,SETD1B,11,37,0.1916694939136505,-2.5149903297424316,0.007500685982895676,0.24966728385170517
Retinoic receptor agonist,KRAS,23,25,0.1884232610464096,-0.5634669065475464,0.008251311129278847,0.24966728385170517
Glucocorticoid receptor agonist,TGFBR2,7,41,0.1916694939136505,-2.6246416568756104,0.008762652882546178,0.24966728385170517
RAS inhibitor,CDKN2A,21,27,0.09426198154687881,1.128005027770996,0.00882876095281863,0.24966728385170517
DNA synthesis/repair inhibitor,NRAS,7,42,0.7910102605819702,0.24331402778625488,0.009156747991375704,0.24966728385170517
Retinoic receptor agonist,APC,10,38,0.1884232610464096,-0.6104193925857544,0.009265375040791717,0.24966728385170517
Glucocorticoid receptor agonist,PIK3CA,10,38,0.1916694939136505,-2.588040351867676,0.009265375040791717,0.24966728385170517
Cyclooxygenase inhibitor,TERT,11,37,0.22759361565113068,0.6418784856796265,0.009317840073711451,0.24966728385170517
Proteasome inhibitor,CDKN2A,21,27,0.11658956110477448,2.2715275287628174,0.009381437332609528,0.24966728385170517
Multi-TK inhibitor,TERT,11,37,0.21858257055282593,0.7672010660171509,0.01000555888838794,0.2579558150912516
Other TK inhibitor,APC,10,38,0.16598542034626007,-0.4529997408390045,0.010731228149320579,0.2682807037330145
Glucocorticoid receptor agonist,ACVR2A,8,40,0.1916694939136505,-2.5612640380859375,0.011225719605337017,0.27238878454126586
Microtubule inhibitor,NF1,7,41,0.146376833319664,-1.1623165607452393,0.011739764966751179,0.2767230313591349
MEK inhibitor,APC,10,38,0.10747472196817398,-1.1629388332366943,0.012399766014497795,0.2767238224592008
DNA methyltransferase inhibitor,PTEN,9,39,0.3076403737068176,0.42376136779785156,0.013030166687223147,0.2767238224592008
RAF inhibitor,TERT,11,37,0.10904422402381897,-0.27458643913269043,0.013229987552130042,0.2767238224592008
MEK inhibitor,EP300,7,41,0.10747472196817398,-1.639683723449707,0.014160520724748509,0.2767238224592008
Sonic inhibitor,TGFBR2,7,41,0.27196261286735535,0.32850760221481323,0.014160520724748509,0.2767238224592008
Multi-TK inhibitor,APC,10,38,0.21858257055282593,-0.44957035779953003,0.014294125362789813,0.2767238224592008
Glucocorticoid receptor agonist,KMT2D,14,34,0.1916694939136505,-2.262969970703125,0.014754130788079127,0.2767238224592008
PI3K/AKT inhibitor,KRAS,23,25,0.1041974425315857,-0.861344039440155,0.014882169185722107,0.2767238224592008
RAS inhibitor,KRAS,23,25,0.09426198154687881,-1.108858585357666,0.014882169185722107,0.2767238224592008
Glucocorticoid receptor agonist,BRCA2,9,39,0.1916694939136505,-2.661024808883667,0.015094026679592773,0.2767238224592008
Cyclooxygenase inhibitor,APC,10,38,0.22759361565113068,-0.5905281901359558,0.01643933306839241,0.2918909870275155
Proteasome inhibitor,KRAS,23,25,0.11658956110477448,-2.589097499847412,0.016667626444841082,0.2918909870275155
Protein synthesis inhibitor,EP300,7,41,0.10040878504514694,-1.5910969972610474,0.016982748336146356,0.2918909870275155
MEK inhibitor,TERT,11,37,0.10747472196817398,2.0312414169311523,0.017340936193060687,0.29196474202602174
JAK/STAT inhibitor,CTNNB1,5,43,0.16645890474319458,-0.9508040547370911,0.01821055139741541,0.3004740980573543
Other TK inhibitor,KRAS,23,25,0.16598542034626007,-0.3245946764945984,0.021976673056250617,0.35550500532170115
CDK inhibitor,KRAS,23,25,0.1314636766910553,-0.37480592727661133,0.023199500703128283,0.3620387052291084
Retinoic receptor agonist,TERT,11,37,0.1884232610464096,0.5292695760726929,0.02402378035007678,0.3620387052291084
Retinoic receptor agonist,CDKN2A,21,27,0.1884232610464096,0.40857458114624023,0.0247985220085605,0.3620387052291084
Protein synthesis inhibitor,B2M,6,42,0.10040878504514694,-2.23008394241333,0.02518581247363813,0.3620387052291084
Adrenoceptor agonist,TERT,11,37,0.2427297830581665,0.4985366761684418,0.02560050234011448,0.3620387052291084
RAS inhibitor,EP300,7,41,0.09426198154687881,-0.9664407968521118,0.02612427330334953,0.3620387052291084
HDAC inhibitor,APC,10,38,0.13002021610736847,-0.8090828657150269,0.02633008765302607,0.3620387052291084
EGFR/ERBB inhibitor,APC,10,38,0.16686606407165527,-0.4635952115058899,0.02633008765302607,0.3620387052291084
Androgen receptor antagonist,APC,10,38,0.2500787377357483,-0.275762677192688,0.02633008765302607,0.3620387052291084
Glucose transporter inhibitor,B2M,6,42,0.24808049201965332,-0.14730411767959595,0.027556506484286532,0.3656326640922488
EGFR/ERBB inhibitor,PRDM2,6,42,0.16686606407165527,-0.7233591675758362,0.027556506484286532,0.3656326640922488
Glucocorticoid receptor agonist,EP300,7,41,0.1916694939136505,-2.49782133102417,0.028364230911398697,0.3656326640922488
RAS inhibitor,NRAS,7,41,0.09426198154687881,1.6522613763809204,0.028364230911398697,0.3656326640922488
RAS inhibitor,APC,10,38,0.09426198154687881,-0.9781112670898438,0.02996630000464594,0.3747352194200261
Retinoic receptor agonist,ATM,9,39,0.1884232610464096,-0.5306593775749207,0.03031331175287196,0.3747352194200261
MEK inhibitor,ATM,9,39,0.10747472196817398,-1.9205718040466309,0.03239051203104423,0.3747352194200261
MEK inhibitor,ACVR2A,8,40,0.10747472196817398,-1.4551212787628174,0.032425012904632254,0.3747352194200261
JAK/STAT inhibitor,PRDM2,6,42,0.16645890474319458,-0.8468667268753052,0.03283572554058538,0.3747352194200261
MEK inhibitor,CTNNB1,5,43,0.10747472196817398,-1.279701590538025,0.03335505844756539,0.3747352194200261
Glucocorticoid receptor agonist,BRAF,9,39,0.1916694939136505,-2.568610906600952,0.034588478487382085,0.3747352194200261
RAS inhibitor,ACVR2A,8,40,0.09426198154687881,-1.0232162475585938,0.034917379427278926,0.3747352194200261
RAF inhibitor,KRAS,23,25,0.10904422402381897,0.17675770819187164,0.03528846771113008,0.3747352194200261
JAK/STAT inhibitor,KRAS,23,25,0.16645890474319458,-0.82722008228302,0.03528846771113008,0.3747352194200261
