drug,n_lines,pc1_var_frac,r2_state,r2_genotype_top5
Adrenoceptor agonist,48,0.2427297830581665,0.07379586472378785,0.4467333178497003
Androgen receptor antagonist,48,0.2500787377357483,0.05424681425922073,0.39809794876365223
CDK inhibitor,48,0.1314636766910553,0.051508800983076974,0.47577950446984907
Cyclooxygenase inhibitor,48,0.22759361565113068,0.10498337407629477,0.4310480363109588
DNA methyltransferase inhibitor,48,0.3076403737068176,0.053864329179143855,0.39071061312969635
DNA synthesis/repair inhibitor,49,0.7910102605819702,0.28012723446869225,0.23770857664149347
EGFR/ERBB inhibitor,48,0.16686606407165527,0.08066632936857254,0.4180328529412174
GSK3 inhibitor,48,0.10202720761299133,0.12860323658821526,0.3377767233248069
Glucocorticoid receptor agonist,48,0.1916694939136505,0.39603840445883365,0.3609790749322934
Glucose transporter inhibitor,48,0.24808049201965332,0.04910828667772105,0.34774392646815055
HDAC inhibitor,48,0.13002021610736847,0.22162494338299787,0.4410778353943484
JAK/STAT inhibitor,48,0.16645890474319458,0.12499043231537343,0.40710416631349333
MEK inhibitor,48,0.10747472196817398,0.29781394649158033,0.4727668800015915
MTOR inhibitor,48,0.09767735749483109,0.12274714844773904,0.40437752779283487
Microtubule inhibitor,48,0.146376833319664,0.06102207759385714,0.4085429628070274
Multi-TK inhibitor,48,0.21858257055282593,0.08253752601398545,0.4060135977893369
Other MAPK inhibitor,48,0.11851197481155396,0.08267656892167696,0.37022643524649523
Other TK inhibitor,48,0.16598542034626007,0.0780440720483837,0.4270162005953536
PI3K/AKT inhibitor,48,0.1041974425315857,0.15766033292542214,0.4027084316037116
Proteasome inhibitor,48,0.11658956110477448,0.41574597723449824,0.43765759634236345
Protein synthesis inhibitor,48,0.10040878504514694,0.10878258046048894,0.23213490526228908
RAF inhibitor,48,0.10904422402381897,0.0888955196556982,0.2203419551136736
RAS inhibitor,48,0.09426198154687881,0.2099215904153272,0.31677909003444205
Retinoic receptor agonist,48,0.1884232610464096,0.09685651601781131,0.41757402614554406
Sonic inhibitor,48,0.27196261286735535,0.04819608329996572,0.3585806367281348
