component,model,n_cancer_types,z,p
C1,unadjusted,25,-0.05979624231596223,0.9523179184209121
C1,adjusted,6,1.5137717787795641,0.13008373262639683
C2,unadjusted,25,-1.7150854556824027,0.08632956049000938
C2,adjusted,6,-0.49232490065660967,0.6224896798174995
C5,unadjusted,25,-2.0589552416371073,0.03949852636774215
C5,adjusted,6,0.7608575042187611,0.44674218322539117
C6,unadjusted,25,3.62663060997486,0.00028714360787498707
C6,adjusted,6,-1.008486282211544,0.31322106994593235
C7,unadjusted,25,-2.18783518507836,0.02868160992216324
C7,adjusted,6,-0.6354457287216424,0.5251377518244562
C10,unadjusted,25,0.33774254269346216,0.735557212202341
C10,adjusted,6,2.3201363268818707,0.02033350373743523
