moa-fine,median,size
Glucocorticoid receptor agonist,0.3634632680025068,5
Proteasome inhibitor,0.33359745809153507,3
MEK inhibitor,0.32359944100579874,5
Retinoic receptor agonist,0.2319545400762496,4
HDAC inhibitor,0.2300947209456999,4
MTOR inhibitor,0.22982438673397906,7
JAK/STAT inhibitor,0.22961896036972132,6
Protein synthesis inhibitor,0.20582351335238527,6
CDK inhibitor,0.20040849826401863,4
Microtubule inhibitor,0.19404108456645228,7
RAS inhibitor,0.1860490671600486,4
PI3K/AKT inhibitor,0.1859798391035781,6
EGFR/ERBB inhibitor,0.17950322818296374,12
Cyclooxygenase inhibitor,0.17699449537311535,12
Adrenoceptor agonist,0.1606582656874037,8
DNA methyltransferase inhibitor,0.156444953594961,4
Multi-TK inhibitor,0.14903731086990946,10
DNA synthesis/repair inhibitor,0.14255933140427743,27
GSK3 inhibitor,0.13918334490241435,4
Androgen receptor antagonist,0.13865509671990134,4
Other TK inhibitor,0.12205223169006127,13
RAF inhibitor,0.11864808587662717,3
Other MAPK inhibitor,0.10910488460054066,11
Glucose transporter inhibitor,0.08740784085479919,4
