drug,n_lines,n_conditions,n_pairs,conserved,context,cdi,total_effect,moa-fine,targets,human-approved
Budesonide,48,144,144,0.062005834033091865,0.046427948477988444,0.42816867034260475,0.10843378251108031,Glucocorticoid receptor agonist,NR3C1,yes
Ouabain (Octahydrate),48,143,142,0.1423306526629241,0.08870688093249017,0.38395008617011506,0.2310375335954143,unclear,,no
Vinblastine (sulfate),48,143,142,0.0687855456571479,0.0417758550185015,0.37785207824074196,0.1105614006756494,Microtubule inhibitor,,yes
Dexamethasone,48,142,141,0.06160744263882369,0.03714617311373247,0.3761500055533002,0.09875361575255616,Glucocorticoid receptor agonist,NR3C1,yes
18β-Glycyrrhetinic acid,48,144,144,0.04310931886235873,0.025301845509299408,0.36984965453652824,0.06841116437165813,unclear,,no
Betamethasone dipropionate,48,141,139,0.050477394292540584,0.028822655107812595,0.3634632680025068,0.07930004940035318,Glucocorticoid receptor agonist,NR3C1,yes
Clobetasol propionate,47,141,141,0.06892092029253642,0.03867024395793201,0.3594183985955301,0.10759116425046844,unclear,"CYP3A5,CYP3A4",yes
Selinexor,48,144,144,0.06498533735672633,0.03618481779833221,0.3576629663449019,0.10117015515505853,unclear,XPO1,yes
Rapamycin,48,144,144,0.053816614051659904,0.02936269542422249,0.3530047990207964,0.0831793094758824,MTOR inhibitor,"MTOR, FKBP1A",yes
Bortezomib,48,137,131,0.1802506037872203,0.09433087179053376,0.3435441942762152,0.27458147557775403,Proteasome inhibitor,PSMB5,yes
Almonertinib (hydrochloride),48,144,144,0.03849548101425171,0.020056738319302287,0.342544459417417,0.05855221933355399,EGFR/ERBB inhibitor,EGFR,yes
Triamcinolone,48,144,144,0.08287272105614345,0.043056433845777065,0.3419099721530841,0.12592915490192053,Glucocorticoid receptor agonist,NR3C1,yes
Acetohexamide,48,143,142,0.03546397742274758,0.018225002390312845,0.3394551815618485,0.05368897981306042,unclear,,yes
Dinaciclib,47,126,116,0.4144069469637341,0.2124028884131333,0.3388633624190449,0.6268098353768674,CDK inhibitor,"CDK1, CDK2, CDK5, CDK9",no
Panobinostat,48,144,144,0.30881952742735547,0.15720534288427895,0.33733251785286594,0.4660248703116344,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8, HDAC10, HDAC11",yes
Trametinib (DMSO_TF solvate),48,143,142,0.07262373866734805,0.03689376105108416,0.33687548698552694,0.1095174997184322,MEK inhibitor,"MAP2K1, MAP2K2",yes
Azithromycin (hydrate),48,144,144,0.03842818240324656,0.01945646451875089,0.33612478529875944,0.05788464692199745,unclear,,yes
Binimetinib,48,285,705,0.059198126275288435,0.029872560264057223,0.33538037512331803,0.08907068653934566,MEK inhibitor,"MAP2K1, MAP2K2",no
Ixazomib citrate,48,142,141,0.10914504499187772,0.054637410998318,0.33359745809153507,0.16378245599019572,Proteasome inhibitor,"PSMB1, PSMB2, PSMB5",yes
Cobimetinib,47,141,141,0.0651747112472852,0.031180488908372765,0.32359944100579874,0.09635520015565796,MEK inhibitor,MAP2K1,yes
Homoharringtonine,48,140,137,0.4051635893327849,0.18764503652834924,0.3165356041433601,0.5928086258611341,Protein synthesis inhibitor,,yes
Medroxyprogesterone acetate,48,144,144,0.0674462653696537,0.031187792029009467,0.3161969896762269,0.09863405739866317,unclear,PGR,yes
Hexylresorcinol,48,144,144,0.03868786742289861,0.01787644344019807,0.3160375008097359,0.056564310863096684,unclear,,yes
Trimetrexate,48,144,144,0.051879228403170906,0.02396270226098649,0.3159558578103441,0.0758419306641574,DNA synthesis/repair inhibitor,DHFR,yes
Digitoxin,48,142,141,0.1895759829228193,0.0866379594720953,0.3136625136330931,0.2762139423949146,unclear,,no
Tofacitinib (citrate),48,144,144,0.05376222605506579,0.02431632530351635,0.31143412474242305,0.07807855135858213,JAK/STAT inhibitor,"JAK1, JAK2, JAK3",yes
Gemfibrozil,48,144,144,0.04166416202982267,0.018826642443855235,0.3112314773735155,0.060490804473677905,unclear,"PPARA, CYP2C9, CYP2C19, CYP2C8, CYP1A2",yes
Bergenin,48,144,144,0.03354027681052685,0.01507399535815542,0.31007345550400356,0.04861427216868227,unclear,,no
Ponatinib,48,144,144,0.0493956133723259,0.022051012664127886,0.3086361650286597,0.07144662603645378,Multi-TK inhibitor,"ABL1, PDGFRA, KDR, FGFR1, SRC, KIT",yes
Sinomenine,48,144,144,0.0347527340054512,0.015342907963107185,0.3062723095301759,0.05009564196855839,unclear,OPRM1,no
Triclosan,48,144,144,0.04189078385631243,0.018264118624049135,0.3036181237266858,0.060154902480361566,unclear,,no
4EGI-1,48,141,139,0.04468487578292265,0.019353978965672657,0.30222244044889307,0.0640388547485953,Protein synthesis inhibitor,EIF4E,no
Tofacitinib,48,143,142,0.059632238521650956,0.02576409160113618,0.30170022018617515,0.08539633012278713,JAK/STAT inhibitor,"JAK1, JAK2, JAK3",yes
Ciclopirox,48,144,144,0.04699229076504707,0.020141690635783662,0.30002228700731315,0.06713398140083074,unclear,,yes
Neratinib (maleate),48,144,144,0.06681368499994278,0.028394249717823387,0.2982340684313249,0.09520793471776617,EGFR/ERBB inhibitor,"EGFR, ERBB2",yes
Saquinavir,48,142,140,0.06242708801488641,0.0262457845433216,0.29598437251587784,0.08867287255820801,unclear,,yes
Aliskiren,48,144,144,0.03568610921502113,0.014953672127578303,0.2952949584519415,0.05063978134259944,unclear,REN,yes
Clotrimazole,48,144,144,0.05206499993801117,0.021812990821975593,0.2952569580951541,0.07387799075998676,unclear,"CYP2A6, CYP51A1",yes
Cysteamine (hydrochloride),48,143,142,0.030584622591317116,0.01263554505167634,0.29235298567206564,0.043220167642993454,unclear,,yes
Lenalidomide (hemihydrate),48,143,142,0.042340775652156847,0.017464132593579026,0.2920183828695069,0.05980490824573587,unclear,"CRBN, IKZF1, IKZF3",yes
Bimatoprost,48,144,144,0.06645549833774567,0.027245112882357918,0.2907677178151901,0.09370061122010359,unclear,,yes
Thymol,48,142,140,0.04351307383515465,0.017769758017051832,0.28996306926394155,0.06128283185220648,unclear,TRPA1,no
Resveratrol,48,143,142,0.050348805172460064,0.019747045325626895,0.28171489732000365,0.07009585049808696,unclear,SIRT1,no
