key,cell_line_id,n_conditions,additive_var,context_var,line_cdi,cell_name,total_cells,beta_genomewide,beta_promoter,beta_cgi,beta_cpg_shore,pdr_genomewide,pdr_promoter,pdr_cgi,pdr_cpg_shore,me_genomewide,me_promoter,me_cgi,me_cpg_shore,mhl_genomewide,mhl_promoter,mhl_cgi,mhl_cpg_shore,lpmd_genomewide,lpmd_promoter,lpmd_cgi,lpmd_cpg_shore
A549,CVCL_0023,1200,0.05946297571063042,0.010256327848770352,0.14710886834995376,A549,2664482,0.479336,0.124721,0.216271,0.56856,0.1632104358417131,0.1080164705708149,0.1434736975778646,0.2280402472297159,0.1295822386149908,0.0897403039892979,0.1168101386061265,0.1854616228932137,0.190694159242765,0.0499701674062296,0.1309324685779901,0.3761951402994975,0.08816038,0.04805462,0.062374163,0.12645026
AN3CA,CVCL_0028,1194,0.05741756409406662,0.011605431596877686,0.16813862511621322,AN3 CA,634931,0.489975,0.122026,0.224367,0.579689,0.112191510919521,0.061794260284984,0.0950494985141388,0.1821498154407685,0.0713085860480756,0.0407093710967514,0.0609677041393761,0.1136687933216434,0.1992184534627828,0.0543736730577834,0.1393336059529586,0.3732372540015854,0.059456892,0.026258508,0.039236043,0.101958245
SKMEL2,CVCL_0069,1198,0.05902634561061859,0.012090785984413661,0.1700122841464298,SK-MEL-2,1613877,0.315787,0.0892062,0.161622,0.421626,0.1606566855372943,0.0965165546324993,0.1406557844031842,0.2332745437601206,0.1252166100318764,0.0772354666520017,0.1105820330032234,0.18563367729658,0.1289756565173543,0.0334503485844694,0.090274292727403,0.2735443432934412,0.08392793,0.04281717,0.061618783,0.12116093
SNU1,CVCL_0099,1198,0.05870550498366356,0.008736756033012312,0.12954423385734426,SNU-1,1343339,0.610029,0.260142,0.38502,0.692891,0.1447456887319201,0.1108655431631472,0.1359402463172448,0.1896044517464868,0.1038638612739614,0.0788976023478088,0.0977179241747043,0.144348408559116,0.3336489827204323,0.1636815997560279,0.2765257823330264,0.5109483706718793,0.07138682,0.046242308,0.0571092,0.09966215
A172,CVCL_0131,1200,0.059429656714200974,0.012283436690907345,0.17128582951397775,A-172,2352722,0.558071,0.22309,0.350492,0.655791,0.1191810815484388,0.0838607870651933,0.1067324351370158,0.1602543725418414,0.1147788308789907,0.0832229944101563,0.104960587715385,0.1571604799589406,0.3210254084715948,0.1421095750426417,0.2634509308756925,0.5005319853095034,0.06326333,0.037447564,0.046575755,0.08789758
ASPC1,CVCL_0152,1201,0.059746064245700836,0.00998902007420659,0.1432423889871888,AsPC-1,2474241,0.49814,0.176322,0.280268,0.555433,0.1327927146902306,0.0889769979958422,0.1148723720976956,0.1904565881141821,0.0816577055596282,0.056561625618582,0.072421501310227,0.1244399065343421,0.2456973276964937,0.1110150323802785,0.1949702331060475,0.3862011061899443,0.07482357,0.039606377,0.051080875,0.10531886
BT474,CVCL_0179,1199,0.059256892651319504,0.02032310160801386,0.2553795309633402,BT-474,1322285,0.527026,0.131904,0.227494,0.619759,0.1194162972701348,0.0719754545594618,0.1050402099730573,0.1863177820738676,0.08725386366823,0.0536281177669033,0.0775122897836632,0.1414787302233817,0.2061779493841632,0.0580724703700681,0.1412135829174106,0.3969654189696417,0.06449934,0.033310223,0.046203382,0.10181565
HCT15,CVCL_0292,1202,0.0597735233604908,0.010784515971783237,0.15284602681483922,HCT15,1682550,0.535797,0.217379,0.329244,0.602413,0.12943289800942,0.0829820010715295,0.112233778916661,0.1913379579179718,0.1032195838800141,0.0697684013539601,0.091843301134716,0.158469332195414,0.2901227088746415,0.1389655142240948,0.2364462817050193,0.4389454628366898,0.072612666,0.036654834,0.04912042,0.10844269
HEC1A,CVCL_0293,1202,0.06001058220863342,0.010160911068933083,0.14480112356653352,HEC-1-A,2766680,0.608355,0.234562,0.34361,0.668902,0.1667470604609026,0.1274325254785072,0.1597699598106522,0.1984173627275387,0.1104785150815783,0.0831261444430455,0.1035322088488843,0.1397358945651304,0.2958379798553884,0.1292928462448432,0.2301564194815148,0.4651146269100314,0.07853776,0.0519086,0.065620475,0.10586659
HT29,CVCL_0320,1201,0.05977673456072807,0.011148520164383583,0.15718688931879662,HT-29,2252219,0.432376,0.150688,0.230409,0.467067,0.1310025745151651,0.0757562413576751,0.1075306365128908,0.2216053117824438,0.0032332149310522,0.002304174611339,0.0025944963088279,0.0047312775229437,0.208190819344556,0.0964141490632641,0.1647620334562373,0.3154921236162918,0.07586276,0.034708854,0.049140308,0.122497775
