variant,n_compounds,median_cdi,n_shared_with_lincs,rho_vs_lincs,p_vs_lincs
"full (all genes, all doses, 47 lines)",367,0.19139219675761376,24,-0.08567080002480286,0.6906098923408885
landmark genes only,367,0.14924252174297795,24,-0.036964558386336256,0.8638466873055861
"random genes, size-matched",367,0.18537610136716826,24,-0.14916286501780399,0.48665239095336166
top dose only (5.0 uM),15,0.0,3,,
landmark genes + top dose,15,0.0,3,,
random 30-line panel #1,367,0.1833874881856561,24,-0.05262013605584338,0.8070818849204244
random 30-line panel #2,367,0.18154165612494258,24,-0.02826701523661008,0.8956861115145716
random 30-line panel #3,367,0.1876305909484354,24,-0.04218308427617197,0.8448381184600497
random 30-line panel #4,367,0.1761864410928894,24,-0.08654055433977548,0.6876224817347903
random 30-line panel #5,367,0.17684927989782212,24,-0.08132202844993978,0.7056134750215136
random 30-line panel #6,367,0.18240612292298372,24,-0.09523809748950167,0.6580038118761686
