perturbation,n_contexts,n_pairs,shared,context_specific,index,estimable,pert_iname,key,moa-fine
BRD-K09951645,21,4734,0.3156392147143682,1.0963169479662636,0.7764525393514203,True,dabrafenib,dabrafenib,RAF inhibitor
BRD-K05804044,24,4830,0.30124043156589125,0.6887147700859507,0.6957029660905456,True,AZ-628,az628,RAF inhibitor
BRD-K42728290,22,2293,0.26527350718580833,0.5525007886459037,0.675615254064676,True,NVP-BGJ398,nvpbgj398,FGFR inhibitor
BRD-K49865102,30,77595,0.5279029589978164,0.9635808712764966,0.6460551912917992,True,PD-0325901,pd0325901,MEK inhibitor
BRD-A10523515,19,2283,0.15069740568829137,0.27313063572243756,0.6444373874208773,True,GSK-429286A,gsk429286a,rho associated kinase inhibitor
BRD-K66847579,22,2544,0.1212993710861539,0.19507197131065368,0.6165917868312655,True,WZ-7043,wz7043,
BRD-K56343971,16,6829,0.22403830042538128,0.35543828206201217,0.6133781636805742,True,vemurafenib,vemurafenib,RAF inhibitor
BRD-K76401790,19,2442,0.36933024502333317,0.5614764644760145,0.6032148874152566,True,JNK-IN-5A,jnkin5a,
BRD-A61304759,21,740,1.5695970058441162,2.3740999624304586,0.6019985768503816,True,tanespimycin,tanespimycin,HSP inhibitor
BRD-K57080016,18,7844,0.3319616904706038,0.4950993174846086,0.5986249052033893,True,selumetinib,selumetinib,MEK inhibitor
BRD-A45540146,19,2472,0.09132667493936411,0.13541617589782878,0.5972235746257818,True,KI-20227,ki20227,c-Fms inhibitor
BRD-K49328571,30,76617,0.26779200995302394,0.3843639303987914,0.589374268662554,True,dasatinib,dasatinib,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor|tyrosine kinase inhibitor
BRD-K66538826,24,4819,0.1202360908741249,0.1702682554121854,0.5861125920793465,True,amuvatinib,amuvatinib,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor
BRD-K55187425,19,2406,0.398019312636953,0.558425511905316,0.5838554379470501,True,rigosertib,rigosertib,cell cycle inhibitor|PLK inhibitor
BRD-A68739437,19,2437,0.10929139448183306,0.14308049854650293,0.5669430808225465,True,NPK76-II-72-1,npk76ii721,
BRD-K05104363,15,6774,0.40500799274825033,0.5253244213131735,0.5646631390814786,True,PD-184352,pd184352,MEK inhibitor
