cell_name,plate,drug,drugname_drugconc,phase,log2_or,n_treated,n_control,moa-fine
A-172,plate1,Paclitaxel,"[('Paclitaxel', 0.05, 'uM')]",G1,0.020171882343770365,2021,4780,Microtubule inhibitor
A-172,plate1,Paclitaxel,"[('Paclitaxel', 0.05, 'uM')]",S,0.3613767006113409,2021,4780,Microtubule inhibitor
A-172,plate1,Paclitaxel,"[('Paclitaxel', 0.05, 'uM')]",G2M,-0.17283999453363422,2021,4780,Microtubule inhibitor
A-172,plate1,Tubulin inhibitor 6,"[('Tubulin inhibitor 6', 0.05, 'uM')]",G1,-0.44189391497577274,1364,4780,Microtubule inhibitor
A-172,plate1,Tubulin inhibitor 6,"[('Tubulin inhibitor 6', 0.05, 'uM')]",S,0.615463277064916,1364,4780,Microtubule inhibitor
A-172,plate1,Tubulin inhibitor 6,"[('Tubulin inhibitor 6', 0.05, 'uM')]",G2M,0.22164129740445151,1364,4780,Microtubule inhibitor
A-172,plate1,palbociclib,"[('palbociclib', 0.05, 'uM')]",G1,0.06011133075726902,1080,4780,CDK inhibitor
A-172,plate1,palbociclib,"[('palbociclib', 0.05, 'uM')]",S,0.25661003448890646,1080,4780,CDK inhibitor
A-172,plate1,palbociclib,"[('palbociclib', 0.05, 'uM')]",G2M,-0.16917033764846082,1080,4780,CDK inhibitor
A-172,plate1,vincristine,"[('vincristine', 0.05, 'uM')]",G1,-0.15390446839353644,1341,4780,Microtubule inhibitor
A-172,plate1,vincristine,"[('vincristine', 0.05, 'uM')]",S,-0.006572543629083499,1341,4780,Microtubule inhibitor
A-172,plate1,vincristine,"[('vincristine', 0.05, 'uM')]",G2M,0.17188466206785397,1341,4780,Microtubule inhibitor
A-172,plate10,Belinostat,"[('Belinostat', 0.05, 'uM')]",G1,0.012210291366791496,1165,3730,HDAC inhibitor
A-172,plate10,Belinostat,"[('Belinostat', 0.05, 'uM')]",S,-0.7472995982058747,1165,3730,HDAC inhibitor
A-172,plate10,Belinostat,"[('Belinostat', 0.05, 'uM')]",G2M,0.1921165844808516,1165,3730,HDAC inhibitor
A-172,plate10,Carbamazepine,"[('Carbamazepine', 0.05, 'uM')]",G1,-0.06814344580415298,1208,3730,HDAC inhibitor
A-172,plate10,Carbamazepine,"[('Carbamazepine', 0.05, 'uM')]",S,-0.41188324701018764,1208,3730,HDAC inhibitor
A-172,plate10,Carbamazepine,"[('Carbamazepine', 0.05, 'uM')]",G2M,0.2085110227315203,1208,3730,HDAC inhibitor
A-172,plate10,Panobinostat,"[('Panobinostat', 0.05, 'uM')]",G1,-0.15943998809073287,1384,3730,HDAC inhibitor
