drug,cdi,moa,n_targets,target_mut_freq,target_expr_var,target_expr_mean
Budesonide,0.4281686703426047,,1,0.0,0.0948668203865954,4.5468175314673065
Dexamethasone,0.3761500055533002,,1,0.0,0.0948668203865954,4.5468175314673065
Betamethasone dipropionate,0.3634632680025068,,1,0.0,0.0948668203865954,4.5468175314673065
Clobetasol propionate,0.3594183985955301,,2,0.0,0.16800820853874188,2.441259138976081
Selinexor,0.3576629663449019,,1,0.0,0.005841679805870087,4.711912128540899
Rapamycin,0.3530047990207964,,2,0.02,0.0088393540601923,4.374775195559964
Bortezomib,0.3435441942762152,,1,0.0,0.004943497848039448,4.278076033571266
Almonertinib (hydrochloride),0.342544459417417,,1,0.08,0.03938794441741245,4.73702816613291
Triamcinolone,0.3419099721530841,,1,0.0,0.0948668203865954,4.5468175314673065
Dinaciclib,0.3388633624190449,,4,0.0,0.05026379820626266,3.8548389019341203
Panobinostat,0.3373325178528659,,7,0.0,0.0263969201903542,4.2130539748264715
Trametinib (DMSO_TF solvate),0.3368754869855269,,2,0.02,0.009788219305853848,4.39545176283465
Binimetinib,0.335380375123318,,2,0.02,0.009788219305853848,4.39545176283465
Ixazomib citrate,0.333597458091535,,3,0.0,0.0052781141295274205,4.3695116440697035
Cobimetinib,0.3235994410057987,,1,0.04,0.012313400207734453,4.623030025800821
Medroxyprogesterone acetate,0.3161969896762269,,1,0.0,0.4511017412945027,2.1055645937208105
Trimetrexate,0.3159558578103441,,1,0.0,0.0032197503390806303,4.346988212980816
Tofacitinib (citrate),0.311434124742423,,3,0.013333333333333334,0.1840955720809573,4.053394109750031
Gemfibrozil,0.3112314773735155,,5,0.0,0.2205016051730176,1.5895661206925213
Ponatinib,0.3086361650286597,,6,0.006666666666666667,0.38036740935370233,3.203071801078577
Sinomenine,0.3062723095301759,,1,0.0,0.045218696666245874,2.354027827459877
4EGI-1,0.302222440448893,,1,0.0,0.01059473601340443,4.36422658009025
Tofacitinib,0.3017002201861751,,3,0.013333333333333334,0.1840955720809573,4.053394109750031
Neratinib (maleate),0.2982340684313249,,2,0.07,0.04934680323550705,4.429522107752083
Aliskiren,0.2952949584519415,,1,0.0,0.31426775806424684,1.679434085083827
Clotrimazole,0.2952569580951541,,2,0.0,0.039080744795602466,2.3692090477232637
Lenalidomide (hemihydrate),0.2920183828695069,,3,0.0,0.25245594809029637,2.8757643579946026
Thymol,0.2899630692639415,,1,0.0,0.38925099119007994,3.0276978016492877
Resveratrol,0.2817148973200036,,1,0.0,0.010907455333862701,4.407691623773235
Norepinephrine (hydrochloride),0.2808339032349999,,7,0.0,0.5705713018598063,1.7855067757320424
