cell_name,plate,drug,drugname_drugconc,phase,log2_or,n_treated,n_control,moa-fine
A-172,plate1,4EGI-1,"[('4EGI-1', 0.05, 'uM')]",G1,0.0058600679567402175,1306,4780,Protein synthesis inhibitor
A-172,plate1,4EGI-1,"[('4EGI-1', 0.05, 'uM')]",S,0.00855678836962918,1306,4780,Protein synthesis inhibitor
A-172,plate1,4EGI-1,"[('4EGI-1', 0.05, 'uM')]",G2M,-0.007816890174150316,1306,4780,Protein synthesis inhibitor
A-172,plate1,9-ING-41,"[('9-ING-41', 0.05, 'uM')]",G1,0.052679425496842625,2185,4780,GSK3 inhibitor
A-172,plate1,9-ING-41,"[('9-ING-41', 0.05, 'uM')]",S,0.26348051792615684,2185,4780,GSK3 inhibitor
A-172,plate1,9-ING-41,"[('9-ING-41', 0.05, 'uM')]",G2M,-0.16533158989895078,2185,4780,GSK3 inhibitor
A-172,plate1,APTO-253,"[('APTO-253', 0.05, 'uM')]",G1,-0.38410602351691,1535,4780,unclear
A-172,plate1,APTO-253,"[('APTO-253', 0.05, 'uM')]",S,0.6041802122090316,1535,4780,unclear
A-172,plate1,APTO-253,"[('APTO-253', 0.05, 'uM')]",G2M,0.1641552005215394,1535,4780,unclear
A-172,plate1,AT7519,"[('AT7519', 0.05, 'uM')]",G1,-0.1177153393686439,2153,4780,CDK inhibitor
A-172,plate1,AT7519,"[('AT7519', 0.05, 'uM')]",S,0.3762228179545953,2153,4780,CDK inhibitor
A-172,plate1,AT7519,"[('AT7519', 0.05, 'uM')]",G2M,-0.023185066411002646,2153,4780,CDK inhibitor
A-172,plate1,AZD-7648,"[('AZD-7648', 0.05, 'uM')]",G1,-0.04892814630332448,1712,4780,DNA synthesis/repair inhibitor
A-172,plate1,AZD-7648,"[('AZD-7648', 0.05, 'uM')]",S,0.30649811014447564,1712,4780,DNA synthesis/repair inhibitor
A-172,plate1,AZD-7648,"[('AZD-7648', 0.05, 'uM')]",G2M,-0.06871151254136791,1712,4780,DNA synthesis/repair inhibitor
A-172,plate1,AZD-8055,"[('AZD-8055', 0.05, 'uM')]",G1,0.03811225692342292,2262,4780,MTOR inhibitor
A-172,plate1,AZD-8055,"[('AZD-8055', 0.05, 'uM')]",S,0.24910131152231874,2262,4780,MTOR inhibitor
A-172,plate1,AZD-8055,"[('AZD-8055', 0.05, 'uM')]",G2M,-0.1423966623376598,2262,4780,MTOR inhibitor
A-172,plate1,AZD1390,"[('AZD1390', 0.05, 'uM')]",G1,0.11208841655973,1615,4780,unclear
A-172,plate1,AZD1390,"[('AZD1390', 0.05, 'uM')]",S,0.16730976122930152,1615,4780,unclear
A-172,plate1,AZD1390,"[('AZD1390', 0.05, 'uM')]",G2M,-0.1907257463272608,1615,4780,unclear
A-172,plate1,AZD2858,"[('AZD2858', 0.05, 'uM')]",G1,-0.49869192785287036,1846,4780,GSK3 inhibitor
A-172,plate1,AZD2858,"[('AZD2858', 0.05, 'uM')]",S,0.7545410664010156,1846,4780,GSK3 inhibitor
A-172,plate1,AZD2858,"[('AZD2858', 0.05, 'uM')]",G2M,0.2116065908600041,1846,4780,GSK3 inhibitor
A-172,plate1,Adagrasib,"[('Adagrasib', 0.05, 'uM')]",G1,-0.1178087411144796,1689,4780,RAS inhibitor
A-172,plate1,Adagrasib,"[('Adagrasib', 0.05, 'uM')]",S,0.41375701385902214,1689,4780,RAS inhibitor
A-172,plate1,Adagrasib,"[('Adagrasib', 0.05, 'uM')]",G2M,-0.040031237063217776,1689,4780,RAS inhibitor
A-172,plate1,Afatinib,"[('Afatinib', 0.05, 'uM')]",G1,-0.2504187567168601,1032,4780,EGFR/ERBB inhibitor
A-172,plate1,Afatinib,"[('Afatinib', 0.05, 'uM')]",S,0.06950125125479906,1032,4780,EGFR/ERBB inhibitor
A-172,plate1,Afatinib,"[('Afatinib', 0.05, 'uM')]",G2M,0.24885491714458366,1032,4780,EGFR/ERBB inhibitor
A-172,plate1,Alpelisib,"[('Alpelisib', 0.05, 'uM')]",G1,-0.3944426061519396,1383,4780,PI3K/AKT inhibitor
A-172,plate1,Alpelisib,"[('Alpelisib', 0.05, 'uM')]",S,0.6383959628425604,1383,4780,PI3K/AKT inhibitor
A-172,plate1,Alpelisib,"[('Alpelisib', 0.05, 'uM')]",G2M,0.1586073975069745,1383,4780,PI3K/AKT inhibitor
A-172,plate1,Anastrozole,"[('Anastrozole', 0.05, 'uM')]",G1,-0.15409583781155742,2400,4780,unclear
