cell_line,cell_name,drug,plate,n_cells
CVCL_0023,A549,5-Azacytidine,plate10,1752
CVCL_0023,A549,5-Fluorouracil,plate10,1548
CVCL_0023,A549,Abiraterone acetate,plate10,2549
CVCL_0023,A549,Acetazolamide,plate10,1527
CVCL_0023,A549,Adagrasib,plate10,2824
CVCL_0023,A549,Allopurinol,plate10,3515
CVCL_0023,A549,Aprepitant,plate10,1887
CVCL_0023,A549,Artemether,plate10,2829
CVCL_0023,A549,Asciminib,plate10,1330
CVCL_0023,A549,Aspirin,plate10,2215
CVCL_0023,A549,Ataluren,plate10,2535
CVCL_0023,A549,Atazanavir (sulfate),plate10,2501
CVCL_0023,A549,Auranofin,plate10,1519
CVCL_0023,A549,Belinostat,plate10,1888
CVCL_0023,A549,Benztropine (mesylate),plate10,1915
CVCL_0023,A549,Bestatin (hydrochloride),plate10,1445
CVCL_0023,A549,Bexarotene,plate10,1852
CVCL_0023,A549,Bicalutamide,plate10,2385
CVCL_0023,A549,Binimetinib,plate10,3672
CVCL_0023,A549,Brimonidine,plate10,2650
CVCL_0023,A549,Budesonide,plate10,1688
CVCL_0023,A549,Cabozantinib (S-malate),plate10,1457
CVCL_0023,A549,Canagliflozin (hemihydrate),plate10,1824
CVCL_0023,A549,Captopril,plate10,1160
CVCL_0023,A549,Carbamazepine,plate10,1552
CVCL_0023,A549,Cinacalcet,plate10,1091
CVCL_0023,A549,Citalopram (hydrobromide),plate10,3488
CVCL_0023,A549,Clobetasol propionate,plate10,1397
CVCL_0023,A549,Clopidogrel,plate10,3241
CVCL_0023,A549,Crizotinib (hydrochloride),plate10,1687
CVCL_0023,A549,Cyclosporin A,plate10,3262
CVCL_0023,A549,DMSO_TF,plate10,5068
CVCL_0023,A549,Dapagliflozin,plate10,2303
CVCL_0023,A549,Darolutamide,plate10,2972
CVCL_0023,A549,Delamanid,plate10,1654
CVCL_0023,A549,Dexamethasone,plate10,1550
CVCL_0023,A549,Digitoxin,plate10,916
CVCL_0023,A549,Dihydroartemisinin,plate10,1385
CVCL_0023,A549,Drospirenone,plate10,1762
CVCL_0023,A549,Econazole,plate10,1986
CVCL_0023,A549,Entrectinib,plate10,1769
CVCL_0023,A549,Erythromycin,plate10,1449
CVCL_0023,A549,Esmolol (hydrochloride),plate10,3178
CVCL_0023,A549,Estrone sulfate (potassium),plate10,1909
CVCL_0023,A549,Fedratinib (hydrochloride hydrate),plate10,2081
CVCL_0023,A549,Filgotinib,plate10,1909
CVCL_0023,A549,Fingolimod (hydrochloride),plate10,1882
CVCL_0023,A549,Flutamide,plate10,2095
CVCL_0023,A549,Fulvestrant,plate10,1626
CVCL_0023,A549,Gefitinib,plate10,2710
CVCL_0023,A549,Idoxuridine,plate10,1969
CVCL_0023,A549,Imiquimod (hydrochloride),plate10,1589
CVCL_0023,A549,Indacaterol (maleate),plate10,1995
CVCL_0023,A549,Ivermectin,plate10,1870
CVCL_0023,A549,Ixazomib citrate,plate10,1592
CVCL_0023,A549,L-Eflornithine (monohydrochloride),plate10,2553
CVCL_0023,A549,Lactate (calcium),plate10,2192
CVCL_0023,A549,Loperamide (hydrochloride),plate10,1619
CVCL_0023,A549,Lopinavir,plate10,1498
CVCL_0023,A549,Malotilate,plate10,2165
CVCL_0023,A549,Meloxicam,plate10,1835
