drug,n_lines,cdi,r_cross,r_replicate,transfer,n_pairs,moa-fine
Adagrasib,48,0.14297732489247186,0.14949914067983627,0.1857328712940216,0.8049148200760539,4879,RAS inhibitor
Afatinib,48,0.0,0.012029794044792652,0.00985598610714078,,1569,EGFR/ERBB inhibitor
Almonertinib (mesylate),48,0.0,-0.00495143374428153,0.0010299538262188435,,566,EGFR/ERBB inhibitor
Belumosudil,48,0.0,0.007197989383712411,0.02202274091541767,,564,unclear
Berbamine,48,0.0,-0.054646143689751625,-0.10284702479839325,,288,unclear
Berbamine (dihydrochloride),48,0.0,0.037296757102012634,0.05175718106329441,0.7206102870324802,563,unclear
Binimetinib,48,0.33538037512331803,0.16671302914619446,0.3223169147968292,0.5172332617147355,705,MEK inhibitor
Captopril,48,0.0747604490218718,0.0013496497995220125,-0.01418596412986517,,283,unclear
Chlorhexidine (diacetate),48,0.0,-0.024572080932557583,-0.05535438284277916,,288,unclear
Cytarabine,48,0.0,0.024407722055912018,0.02555866539478302,,566,DNA synthesis/repair inhibitor
Daidzin,48,0.0,-0.025044914335012436,-0.019054600037634373,,564,unclear
Flumatinib (mesylate),48,0.0,0.022623679600656033,0.046269262209534645,,565,Other TK inhibitor
Fumaric acid,48,0.0,-0.022611428052186966,-0.00846546608954668,,571,unclear
Irinotecan (hydrochloride),48,0.0,-0.06403463333845139,-0.06822790578007698,,569,DNA synthesis/repair inhibitor
Malotilate,48,0.08313264276530907,-0.030146146193146706,-0.03350293077528477,,288,unclear
Naproxen,48,0.0,-0.04901513084769249,-0.05420573242008686,,566,Cyclooxygenase inhibitor
Pentamidine (isethionate),48,0.10469882560540551,0.021915866062045097,0.01731955073773861,,279,unclear
Pralsetinib,48,0.06744738994898307,0.054730286821722984,0.03435791656374931,,280,Other TK inhibitor
Pravastatin (sodium),48,0.0,0.0058843104634433985,0.015503924805670977,,569,unclear
Regorafenib,48,0.0,0.005716756219044328,-0.019812235608696938,,568,Multi-TK inhibitor
Sulfisoxazole,48,0.2332722555674985,0.06015970557928085,0.08996081352233887,0.6687323427143322,285,unclear
Terfenadine,48,0.09329029382886017,0.02396264113485813,0.007555064279586077,,279,unclear
Topotecan (hydrochloride),48,0.0,-0.04853212460875511,-0.05848312750458717,,554,DNA synthesis/repair inhibitor
Trametinib,48,0.28035566984584864,0.20549093186855316,0.3477890193462372,0.590849395575595,710,MEK inhibitor
