test,kind,r
within_line_across_drug,same_plate,0.4115581
within_line_across_drug,same_plate,0.22811334
within_line_across_drug,same_plate,0.48149353
within_line_across_drug,same_plate,0.42965892
within_line_across_drug,same_plate,0.40504116
within_line_across_drug,same_plate,0.35587636
within_line_across_drug,same_plate,0.31792933
within_line_across_drug,same_plate,0.1917925
within_line_across_drug,same_plate,0.37456957
within_line_across_drug,same_plate,0.34461597
within_line_across_drug,same_plate,0.42554814
within_line_across_drug,same_plate,0.33121884
within_line_across_drug,same_plate,0.6454394
within_line_across_drug,same_plate,0.39408183
within_line_across_drug,same_plate,0.4071597
within_line_across_drug,same_plate,0.4062125
within_line_across_drug,same_plate,0.4804568
within_line_across_drug,same_plate,0.3951735
within_line_across_drug,same_plate,0.41470775
within_line_across_drug,same_plate,0.3711502
within_line_across_drug,same_plate,0.5195402
within_line_across_drug,same_plate,0.29373243
within_line_across_drug,same_plate,0.33366558
within_line_across_drug,same_plate,0.3314419
within_line_across_drug,same_plate,0.31100732
within_line_across_drug,same_plate,0.2227905
within_line_across_drug,same_plate,0.21860534
within_line_across_drug,same_plate,0.3570519
within_line_across_drug,same_plate,0.20548336
within_line_across_drug,same_plate,0.21181084
within_line_across_drug,same_plate,0.32519034
within_line_across_drug,same_plate,0.46100006
within_line_across_drug,same_plate,0.35484427
within_line_across_drug,same_plate,0.31595007
within_line_across_drug,same_plate,0.4455199
within_line_across_drug,same_plate,0.2936983
within_line_across_drug,same_plate,0.5098569
within_line_across_drug,same_plate,0.29711547
within_line_across_drug,same_plate,0.1771212
within_line_across_drug,same_plate,0.30504358
within_line_across_drug,same_plate,0.18628477
within_line_across_drug,same_plate,0.35864767
within_line_across_drug,same_plate,0.27577463
within_line_across_drug,same_plate,0.28354296
within_line_across_drug,same_plate,0.42230204
within_line_across_drug,same_plate,0.3177055
within_line_across_drug,same_plate,0.4206646
within_line_across_drug,same_plate,0.20745333
within_line_across_drug,same_plate,0.45974666
within_line_across_drug,same_plate,0.27090585
within_line_across_drug,same_plate,0.42446977
within_line_across_drug,same_plate,0.37323233
within_line_across_drug,same_plate,0.47798958
within_line_across_drug,same_plate,0.21427917
within_line_across_drug,same_plate,0.3441877
within_line_across_drug,same_plate,0.44473615
within_line_across_drug,same_plate,0.37312648
within_line_across_drug,same_plate,0.2943322
within_line_across_drug,same_plate,0.41373554
within_line_across_drug,same_plate,0.27522528
within_line_across_drug,same_plate,0.48342115
within_line_across_drug,same_plate,0.2184499
within_line_across_drug,same_plate,0.24726248
within_line_across_drug,same_plate,0.26894087
within_line_across_drug,same_plate,0.28714538
within_line_across_drug,same_plate,0.36342704
within_line_across_drug,same_plate,0.30890808
within_line_across_drug,same_plate,0.24043664
within_line_across_drug,same_plate,0.50055987
within_line_across_drug,same_plate,0.35741824
within_line_across_drug,same_plate,0.29194495
within_line_across_drug,same_plate,0.38824221
within_line_across_drug,same_plate,0.43062612
within_line_across_drug,same_plate,0.3323127
within_line_across_drug,same_plate,0.26269212
within_line_across_drug,same_plate,0.3711602
within_line_across_drug,same_plate,0.3201631
within_line_across_drug,same_plate,0.33052105
within_line_across_drug,same_plate,0.47447968
within_line_across_drug,same_plate,0.27157873
within_line_across_drug,same_plate,0.28146833
within_line_across_drug,same_plate,0.27086034
within_line_across_drug,same_plate,0.12966914
within_line_across_drug,same_plate,0.3641965
within_line_across_drug,same_plate,0.34839132
within_line_across_drug,same_plate,0.2637637
within_line_across_drug,same_plate,0.0986807
within_line_across_drug,same_plate,0.39943612
within_line_across_drug,same_plate,0.43014342
within_line_across_drug,same_plate,0.21293296
within_line_across_drug,same_plate,0.3740045
within_line_across_drug,same_plate,0.3411337
within_line_across_drug,same_plate,0.43058804
within_line_across_drug,same_plate,0.3912121
within_line_across_drug,same_plate,0.23196806
within_line_across_drug,same_plate,0.14892311
within_line_across_drug,same_plate,0.16721758
within_line_across_drug,same_plate,0.27340487
within_line_across_drug,same_plate,0.48978582
within_line_across_drug,same_plate,0.27686125
within_line_across_drug,same_plate,0.25870118
within_line_across_drug,same_plate,0.38216805
within_line_across_drug,same_plate,0.27377847
within_line_across_drug,same_plate,0.49427193
within_line_across_drug,same_plate,0.37878147
within_line_across_drug,same_plate,0.24361528
within_line_across_drug,same_plate,0.41423467
within_line_across_drug,same_plate,0.3440981
within_line_across_drug,same_plate,0.33226323
within_line_across_drug,same_plate,0.29398593
within_line_across_drug,same_plate,0.33980694
within_line_across_drug,same_plate,0.31942466
within_line_across_drug,same_plate,0.27234215
within_line_across_drug,same_plate,0.4313504
within_line_across_drug,same_plate,0.362205
within_line_across_drug,same_plate,0.5058503
within_line_across_drug,same_plate,0.5901649
within_line_across_drug,same_plate,0.3425384
within_line_across_drug,same_plate,0.34703508
within_line_across_drug,same_plate,0.4369635
within_line_across_drug,same_plate,0.48337626
within_line_across_drug,same_plate,0.53319645
within_line_across_drug,same_plate,0.34865955
within_line_across_drug,same_plate,0.41782194
within_line_across_drug,same_plate,0.3468925
within_line_across_drug,same_plate,0.44224903
within_line_across_drug,same_plate,0.39033598
within_line_across_drug,same_plate,0.5098046
within_line_across_drug,same_plate,0.51862454
within_line_across_drug,same_plate,0.32489547
within_line_across_drug,same_plate,0.4132404
within_line_across_drug,same_plate,0.32973728
within_line_across_drug,cross_plate,0.037447132
within_line_across_drug,cross_plate,-0.04244826
within_line_across_drug,cross_plate,0.081917495
within_line_across_drug,cross_plate,0.060230568
within_line_across_drug,cross_plate,-0.06182698
within_line_across_drug,cross_plate,0.0015589952
within_line_across_drug,cross_plate,1.6697877e-05
within_line_across_drug,cross_plate,0.1503459
within_line_across_drug,cross_plate,0.0748927
within_line_across_drug,cross_plate,-0.0011003708
within_line_across_drug,cross_plate,-0.04785751
within_line_across_drug,cross_plate,0.06847524
within_line_across_drug,cross_plate,-0.001474281
within_line_across_drug,cross_plate,-0.011548883
within_line_across_drug,cross_plate,0.13655366
within_line_across_drug,cross_plate,0.09271083
within_line_across_drug,cross_plate,0.0059741214
within_line_across_drug,cross_plate,-0.039525665
within_line_across_drug,cross_plate,0.025742073
within_line_across_drug,cross_plate,0.12796858
within_line_across_drug,cross_plate,-0.025379656
within_line_across_drug,cross_plate,0.046108093
within_line_across_drug,cross_plate,0.09707287
within_line_across_drug,cross_plate,-0.061857313
within_line_across_drug,cross_plate,0.058793698
within_line_across_drug,cross_plate,-0.0031661477
within_line_across_drug,cross_plate,0.0068373135
within_line_across_drug,cross_plate,0.038514808
within_line_across_drug,cross_plate,-0.002430644
within_line_across_drug,cross_plate,0.039671052
within_line_across_drug,cross_plate,-0.028912356
within_line_across_drug,cross_plate,0.06780916
within_line_across_drug,cross_plate,0.04508026
within_line_across_drug,cross_plate,0.0813868
within_line_across_drug,cross_plate,0.082017265
within_line_across_drug,cross_plate,0.037943542
within_line_across_drug,cross_plate,-0.04686545
within_line_across_drug,cross_plate,0.022861397
within_line_across_drug,cross_plate,0.019720135
within_line_across_drug,cross_plate,0.04372818
within_line_across_drug,cross_plate,-0.0020941335
within_line_across_drug,cross_plate,0.01954141
within_line_across_drug,cross_plate,0.024903169
within_line_across_drug,cross_plate,-0.010511828
within_line_across_drug,cross_plate,0.04523079
within_line_across_drug,cross_plate,0.022704763
within_line_across_drug,cross_plate,0.004496641
within_line_across_drug,cross_plate,0.02598101
within_line_across_drug,cross_plate,0.027394319
within_line_across_drug,cross_plate,0.021375608
within_line_across_drug,cross_plate,0.023120832
within_line_across_drug,cross_plate,-0.026751269
within_line_across_drug,cross_plate,0.021393484
within_line_across_drug,cross_plate,-0.030564481
within_line_across_drug,cross_plate,6.144139e-05
within_line_across_drug,cross_plate,-0.005067372
within_line_across_drug,cross_plate,-0.034110874
within_line_across_drug,cross_plate,0.025584072
within_line_across_drug,cross_plate,-0.0026685689
within_line_across_drug,cross_plate,0.020255998
within_line_across_drug,cross_plate,0.046918284
within_line_across_drug,cross_plate,-0.0025471991
within_line_across_drug,cross_plate,-0.04358294
within_line_across_drug,cross_plate,-0.01291831
within_line_across_drug,cross_plate,0.0064750337
