test,kind,r
across_replicates_same_ctx_pert,observed,0.17480722
across_replicates_same_ctx_pert,observed,0.2662012
across_replicates_same_ctx_pert,observed,0.2662012
across_replicates_same_ctx_pert,observed,0.16749792
across_replicates_same_ctx_pert,observed,0.16749792
across_replicates_same_ctx_pert,observed,0.16749792
across_replicates_same_ctx_pert,observed,0.056648567
across_replicates_same_ctx_pert,observed,0.056648567
across_replicates_same_ctx_pert,observed,0.0725809
across_replicates_same_ctx_pert,observed,0.1337356
across_replicates_same_ctx_pert,observed,0.13360512
across_replicates_same_ctx_pert,observed,0.13360512
across_replicates_same_ctx_pert,observed,0.23743863
across_replicates_same_ctx_pert,observed,0.181515
across_replicates_same_ctx_pert,observed,0.23743863
across_replicates_same_ctx_pert,observed,0.273538
across_replicates_same_ctx_pert,observed,0.32656953
across_replicates_same_ctx_pert,observed,0.32656953
across_replicates_same_ctx_pert,observed,0.1635206
across_replicates_same_ctx_pert,observed,0.1635206
across_replicates_same_ctx_pert,observed,0.1635206
across_replicates_same_ctx_pert,observed,0.1809042
across_replicates_same_ctx_pert,observed,0.1955361
across_replicates_same_ctx_pert,observed,0.1955361
across_replicates_same_ctx_pert,observed,0.23483567
across_replicates_same_ctx_pert,observed,0.23483567
across_replicates_same_ctx_pert,observed,0.17867844
across_replicates_same_ctx_pert,observed,0.13577287
across_replicates_same_ctx_pert,observed,0.061423678
across_replicates_same_ctx_pert,observed,0.07244949
across_replicates_same_ctx_pert,observed,0.15451735
across_replicates_same_ctx_pert,observed,0.15451735
across_replicates_same_ctx_pert,observed,0.15451735
across_replicates_same_ctx_pert,observed,0.11600311
across_replicates_same_ctx_pert,observed,0.18252425
across_replicates_same_ctx_pert,observed,0.08730777
across_replicates_same_ctx_pert,observed,0.20628743
across_replicates_same_ctx_pert,observed,0.20628743
across_replicates_same_ctx_pert,observed,0.08055038
across_replicates_same_ctx_pert,observed,0.08055038
across_replicates_same_ctx_pert,observed,0.0802229
across_replicates_same_ctx_pert,observed,0.10332857
across_replicates_same_ctx_pert,observed,0.10397894
across_replicates_same_ctx_pert,observed,0.14892174
across_replicates_same_ctx_pert,observed,0.17485023
across_replicates_same_ctx_pert,observed,0.1693719
across_replicates_same_ctx_pert,observed,0.10744463
across_replicates_same_ctx_pert,observed,0.13443425
across_replicates_same_ctx_pert,observed,0.097665064
across_replicates_same_ctx_pert,observed,0.13443425
across_replicates_same_ctx_pert,observed,0.22433965
across_replicates_same_ctx_pert,observed,0.17531791
across_replicates_same_ctx_pert,observed,0.17531791
across_replicates_same_ctx_pert,observed,0.1751344
across_replicates_same_ctx_pert,observed,0.023899462
across_replicates_same_ctx_pert,observed,0.1751344
across_replicates_same_ctx_pert,observed,0.21752931
across_replicates_same_ctx_pert,observed,0.21752931
across_replicates_same_ctx_pert,observed,0.13212456
across_replicates_same_ctx_pert,observed,0.14369102
across_replicates_same_ctx_pert,observed,0.32151926
across_replicates_same_ctx_pert,observed,0.14045143
across_replicates_same_ctx_pert,observed,0.23196645
across_replicates_same_ctx_pert,observed,0.23196645
across_replicates_same_ctx_pert,observed,0.23224343
across_replicates_same_ctx_pert,observed,0.08585953
across_replicates_same_ctx_pert,observed,0.21827975
across_replicates_same_ctx_pert,observed,0.08585953
across_replicates_same_ctx_pert,observed,0.15602511
across_replicates_same_ctx_pert,observed,0.16966651
across_replicates_same_ctx_pert,observed,0.16966651
across_replicates_same_ctx_pert,observed,0.24277173
across_replicates_same_ctx_pert,observed,0.20766792
across_replicates_same_ctx_pert,observed,0.2343383
across_replicates_same_ctx_pert,observed,0.14340435
across_replicates_same_ctx_pert,observed,0.21366185
across_replicates_same_ctx_pert,observed,0.17839818
across_replicates_same_ctx_pert,observed,0.17847008
across_replicates_same_ctx_pert,observed,0.14371043
across_replicates_same_ctx_pert,observed,0.06349586
across_replicates_same_ctx_pert,observed,0.22312331
across_replicates_same_ctx_pert,observed,0.20314704
across_replicates_same_ctx_pert,observed,0.273437
across_replicates_same_ctx_pert,observed,0.06644694
across_replicates_same_ctx_pert,observed,0.2557893
