test,kind,r
across_replicates_same_ctx_pert,observed,0.03697361
across_replicates_same_ctx_pert,observed,0.04737857
across_replicates_same_ctx_pert,observed,0.037209094
across_replicates_same_ctx_pert,observed,0.17703255
across_replicates_same_ctx_pert,observed,0.020011555
across_replicates_same_ctx_pert,observed,0.024668783
across_replicates_same_ctx_pert,observed,0.019150773
across_replicates_same_ctx_pert,observed,0.17427994
across_replicates_same_ctx_pert,observed,0.042340595
across_replicates_same_ctx_pert,observed,0.047239732
across_replicates_same_ctx_pert,observed,0.14466481
across_replicates_same_ctx_pert,observed,0.14609334
across_replicates_same_ctx_pert,observed,0.14609334
across_replicates_same_ctx_pert,observed,0.13251363
across_replicates_same_ctx_pert,observed,0.041552294
across_replicates_same_ctx_pert,observed,0.0126396995
across_replicates_same_ctx_pert,observed,0.036067367
across_replicates_same_ctx_pert,observed,0.026066057
across_replicates_same_ctx_pert,observed,0.2009358
across_replicates_same_ctx_pert,observed,0.026066057
across_replicates_same_ctx_pert,observed,0.03433338
across_replicates_same_ctx_pert,observed,0.02221358
across_replicates_same_ctx_pert,observed,0.03418275
across_replicates_same_ctx_pert,observed,0.19045389
across_replicates_same_ctx_pert,observed,0.011575383
across_replicates_same_ctx_pert,observed,0.07321378
across_replicates_same_ctx_pert,observed,0.02650687
across_replicates_same_ctx_pert,observed,0.07288079
across_replicates_same_ctx_pert,observed,0.19045389
across_replicates_same_ctx_pert,observed,0.004086716
across_replicates_same_ctx_pert,observed,0.18568265
across_replicates_same_ctx_pert,observed,0.14543849
across_replicates_same_ctx_pert,observed,0.18568265
across_replicates_same_ctx_pert,observed,0.18568265
across_replicates_same_ctx_pert,observed,0.18568265
across_replicates_same_ctx_pert,observed,0.06822194
across_replicates_same_ctx_pert,observed,0.17574997
across_replicates_same_ctx_pert,observed,0.18929446
across_replicates_same_ctx_pert,observed,0.18929446
across_replicates_same_ctx_pert,observed,-0.015954563
across_replicates_same_ctx_pert,observed,0.100339
across_replicates_same_ctx_pert,observed,0.10263773
across_replicates_same_ctx_pert,observed,0.334379
across_replicates_same_ctx_pert,observed,-0.0010774933
across_replicates_same_ctx_pert,observed,0.06301844
across_replicates_same_ctx_pert,observed,0.0808197
across_replicates_same_ctx_pert,observed,0.030213585
across_replicates_same_ctx_pert,observed,0.030213585
across_replicates_same_ctx_pert,observed,0.040415037
across_replicates_same_ctx_pert,observed,0.054858223
across_replicates_same_ctx_pert,observed,0.21573338
across_replicates_same_ctx_pert,observed,0.006906333
across_replicates_same_ctx_pert,observed,0.18117836
across_replicates_same_ctx_pert,observed,0.040189665
across_replicates_same_ctx_pert,observed,0.24885753
across_replicates_same_ctx_pert,observed,0.24885753
across_replicates_same_ctx_pert,observed,0.15567647
across_replicates_same_ctx_pert,observed,0.04184728
across_replicates_same_ctx_pert,observed,0.053731892
across_replicates_same_ctx_pert,observed,0.053731892
across_replicates_same_ctx_pert,observed,0.0084935045
across_replicates_same_ctx_pert,observed,0.18285792
across_replicates_same_ctx_pert,observed,0.12673256
across_replicates_same_ctx_pert,observed,0.12673256
across_replicates_same_ctx_pert,observed,0.0047414065
across_replicates_same_ctx_pert,observed,0.026019363
across_replicates_same_ctx_pert,observed,0.102039166
across_replicates_same_ctx_pert,observed,0.032012645
across_replicates_same_ctx_pert,observed,0.12412546
across_replicates_same_ctx_pert,observed,0.12412546
across_replicates_same_ctx_pert,observed,0.12412546
across_replicates_same_ctx_pert,observed,-0.002150144
across_replicates_same_ctx_pert,observed,0.013964603
across_replicates_same_ctx_pert,observed,0.08066068
across_replicates_same_ctx_pert,observed,0.077786446
across_replicates_same_ctx_pert,observed,0.20302828
across_replicates_same_ctx_pert,observed,0.11919613
across_replicates_same_ctx_pert,observed,-0.011942938
across_replicates_same_ctx_pert,observed,0.1780038
across_replicates_same_ctx_pert,observed,0.1810401
across_replicates_same_ctx_pert,observed,0.009977127
across_replicates_same_ctx_pert,observed,0.009977127
across_replicates_same_ctx_pert,observed,0.112630114
across_replicates_same_ctx_pert,observed,-0.0045921644
across_replicates_same_ctx_pert,observed,0.023964375
across_replicates_same_ctx_pert,observed,0.023964375
across_replicates_same_ctx_pert,observed,0.22442308
across_replicates_same_ctx_pert,observed,0.045976922
across_replicates_same_ctx_pert,observed,0.007282413
across_replicates_same_ctx_pert,observed,0.041695677
across_replicates_same_ctx_pert,observed,0.03303492
across_replicates_same_ctx_pert,observed,0.17806882
across_replicates_same_ctx_pert,observed,0.013894357
across_replicates_same_ctx_pert,observed,0.12871845
across_replicates_same_ctx_pert,observed,-0.0015960529
across_replicates_same_ctx_pert,observed,0.0019017701
across_replicates_same_ctx_pert,observed,0.054099526
across_replicates_same_ctx_pert,observed,0.042187206
across_replicates_same_ctx_pert,observed,0.04260919
across_replicates_same_ctx_pert,observed,0.047982458
across_replicates_same_ctx_pert,observed,0.054099526
across_replicates_same_ctx_pert,observed,0.06300036
across_replicates_same_ctx_pert,observed,0.0483679
across_replicates_same_ctx_pert,observed,0.06754522
across_replicates_same_ctx_pert,observed,0.06342723
across_replicates_same_ctx_pert,observed,0.0483679
across_replicates_same_ctx_pert,observed,0.06300036
across_replicates_same_ctx_pert,observed,0.032397952
across_replicates_same_ctx_pert,observed,0.07264556
across_replicates_same_ctx_pert,observed,0.0042299735
across_replicates_same_ctx_pert,observed,0.055208728
across_replicates_same_ctx_pert,observed,0.1549529
across_replicates_same_ctx_pert,observed,0.1549529
across_replicates_same_ctx_pert,observed,0.04494147
across_replicates_same_ctx_pert,observed,0.06401058
across_replicates_same_ctx_pert,observed,0.019344086
across_replicates_same_ctx_pert,observed,0.031984314
across_replicates_same_ctx_pert,observed,0.04225787
across_replicates_same_ctx_pert,observed,0.04225787
across_replicates_same_ctx_pert,observed,0.14975265
across_replicates_same_ctx_pert,observed,0.1618285
across_replicates_same_ctx_pert,observed,0.036606185
across_replicates_same_ctx_pert,observed,0.039531905
across_replicates_same_ctx_pert,observed,0.034925755
across_replicates_same_ctx_pert,observed,4.9684495e-05
across_replicates_same_ctx_pert,observed,0.007052527
across_replicates_same_ctx_pert,observed,0.005566939
across_replicates_same_ctx_pert,observed,0.005566939
across_replicates_same_ctx_pert,observed,0.0052115927
across_replicates_same_ctx_pert,observed,-0.012268596
across_replicates_same_ctx_pert,observed,0.15920614
across_replicates_same_ctx_pert,observed,0.038371857
across_replicates_same_ctx_pert,observed,0.16217932
across_replicates_same_ctx_pert,observed,0.15920614
across_replicates_same_ctx_pert,observed,0.15749207
across_replicates_same_ctx_pert,observed,0.03286504
across_replicates_same_ctx_pert,observed,-0.0070980764
across_replicates_same_ctx_pert,observed,0.05973457
across_replicates_same_ctx_pert,observed,0.05973457
across_replicates_same_ctx_pert,observed,0.04463078
across_replicates_same_ctx_pert,observed,0.08360314
across_replicates_same_ctx_pert,observed,0.0370982
across_replicates_same_ctx_pert,observed,0.0266254
across_replicates_same_ctx_pert,observed,0.0266254
across_replicates_same_ctx_pert,observed,0.04320699
across_replicates_same_ctx_pert,observed,0.010234255
across_replicates_same_ctx_pert,observed,0.01845396
across_replicates_same_ctx_pert,observed,0.048017494
across_replicates_same_ctx_pert,observed,0.014155832
across_replicates_same_ctx_pert,observed,0.08721095
across_replicates_same_ctx_pert,observed,0.01749503
across_replicates_same_ctx_pert,observed,0.025987217
across_replicates_same_ctx_pert,observed,0.08721095
across_replicates_same_ctx_pert,observed,0.05984164
across_replicates_same_ctx_pert,observed,0.03698545
across_replicates_same_ctx_pert,observed,0.012408224
across_replicates_same_ctx_pert,observed,0.089932956
across_replicates_same_ctx_pert,observed,0.2289843
across_replicates_same_ctx_pert,observed,0.006215129
across_replicates_same_ctx_pert,observed,0.0563987
across_replicates_same_ctx_pert,observed,0.038991716
across_replicates_same_ctx_pert,observed,0.000493121
across_replicates_same_ctx_pert,observed,0.053508315
across_replicates_same_ctx_pert,observed,0.006215129
across_replicates_same_ctx_pert,observed,0.0357834
across_replicates_same_ctx_pert,observed,0.036058705
across_replicates_same_ctx_pert,observed,-0.00053555716
across_replicates_same_ctx_pert,observed,0.16413285
across_replicates_same_ctx_pert,observed,0.018318089
across_replicates_same_ctx_pert,observed,0.037807412
across_replicates_same_ctx_pert,observed,0.047320623
across_replicates_same_ctx_pert,observed,0.17550336
across_replicates_same_ctx_pert,observed,0.13330826
across_replicates_same_ctx_pert,observed,0.03600163
across_replicates_same_ctx_pert,observed,0.024754116
across_replicates_same_ctx_pert,observed,0.025164621
across_replicates_same_ctx_pert,observed,0.025164621
across_replicates_same_ctx_pert,observed,0.031399205
across_replicates_same_ctx_pert,observed,0.0067837173
across_replicates_same_ctx_pert,observed,0.12665206
across_replicates_same_ctx_pert,observed,0.0067837173
across_replicates_same_ctx_pert,observed,0.044604853
across_replicates_same_ctx_pert,observed,0.017863309
across_replicates_same_ctx_pert,observed,0.004296678
across_replicates_same_ctx_pert,observed,0.044604853
across_replicates_same_ctx_pert,observed,0.04169532
across_replicates_same_ctx_pert,observed,-0.02887318
across_replicates_same_ctx_pert,observed,0.12369914
across_replicates_same_ctx_pert,observed,0.01273463
across_replicates_same_ctx_pert,observed,0.18773325
across_replicates_same_ctx_pert,observed,0.08228156
across_replicates_same_ctx_pert,observed,0.01824127
across_replicates_same_ctx_pert,observed,0.13854446
across_replicates_same_ctx_pert,observed,0.0023355223
across_replicates_same_ctx_pert,observed,0.12353293
across_replicates_same_ctx_pert,observed,0.011722066
across_replicates_same_ctx_pert,observed,0.062143628
across_replicates_same_ctx_pert,observed,0.16110183
across_replicates_same_ctx_pert,observed,0.12353293
across_replicates_same_ctx_pert,observed,0.30095938
across_replicates_same_ctx_pert,observed,0.11402202
across_replicates_same_ctx_pert,observed,0.15543897
across_replicates_same_ctx_pert,observed,0.005533023
across_replicates_same_ctx_pert,observed,0.15543897
across_replicates_same_ctx_pert,observed,0.05693855
across_replicates_same_ctx_pert,observed,0.17210728
across_replicates_same_ctx_pert,observed,0.02813045
across_replicates_same_ctx_pert,observed,0.040700156
across_replicates_same_ctx_pert,observed,0.14537106
across_replicates_same_ctx_pert,observed,0.06856512
across_replicates_same_ctx_pert,observed,0.0074809664
across_replicates_same_ctx_pert,observed,0.011384328
across_replicates_same_ctx_pert,observed,0.20815872
across_replicates_same_ctx_pert,observed,0.003053743
across_replicates_same_ctx_pert,observed,0.01803926
across_replicates_same_ctx_pert,observed,0.020888645
across_replicates_same_ctx_pert,observed,0.20815872
across_replicates_same_ctx_pert,observed,0.1308779
across_replicates_same_ctx_pert,observed,0.01858626
across_replicates_same_ctx_pert,observed,0.00935988
across_replicates_same_ctx_pert,observed,0.0386902
across_replicates_same_ctx_pert,observed,0.05903893
across_replicates_same_ctx_pert,observed,0.11391452
across_replicates_same_ctx_pert,observed,0.15733986
across_replicates_same_ctx_pert,observed,0.15980527
across_replicates_same_ctx_pert,observed,0.16769862
across_replicates_same_ctx_pert,observed,0.030137455
across_replicates_same_ctx_pert,observed,0.037492912
across_replicates_same_ctx_pert,observed,0.037492912
across_replicates_same_ctx_pert,observed,0.058882874
across_replicates_same_ctx_pert,observed,0.21875224
across_replicates_same_ctx_pert,observed,0.021546839
across_replicates_same_ctx_pert,observed,0.17587784
across_replicates_same_ctx_pert,observed,0.0870853
across_replicates_same_ctx_pert,observed,0.0870853
across_replicates_same_ctx_pert,observed,0.17005959
across_replicates_same_ctx_pert,observed,0.080284454
across_replicates_same_ctx_pert,observed,0.20471431
across_replicates_same_ctx_pert,observed,-0.0161699
across_replicates_same_ctx_pert,observed,0.16859627
across_replicates_same_ctx_pert,observed,0.16613324
across_replicates_same_ctx_pert,observed,0.03855249
across_replicates_same_ctx_pert,observed,0.1761891
across_replicates_same_ctx_pert,observed,0.026260057
across_replicates_same_ctx_pert,observed,0.1761891
across_replicates_same_ctx_pert,observed,0.03989788
across_replicates_same_ctx_pert,observed,0.0030803664
across_replicates_same_ctx_pert,observed,0.0075948206
across_replicates_same_ctx_pert,observed,-0.027184436
across_replicates_same_ctx_pert,observed,0.09038163
across_replicates_same_ctx_pert,observed,0.0027550785
across_replicates_same_ctx_pert,observed,0.0027550785
across_replicates_same_ctx_pert,observed,0.04662245
across_replicates_same_ctx_pert,observed,-0.009706713
across_replicates_same_ctx_pert,observed,0.023150725
across_replicates_same_ctx_pert,observed,0.0027550785
across_replicates_same_ctx_pert,observed,0.14836052
across_replicates_same_ctx_pert,observed,0.14836052
across_replicates_same_ctx_pert,observed,0.03863305
across_replicates_same_ctx_pert,observed,0.031700138
across_replicates_same_ctx_pert,observed,0.15244284
across_replicates_same_ctx_pert,observed,0.026156567
across_replicates_same_ctx_pert,observed,0.047850754
across_replicates_same_ctx_pert,observed,0.03713415
across_replicates_same_ctx_pert,observed,0.046766903
across_replicates_same_ctx_pert,observed,0.10265608
across_replicates_same_ctx_pert,observed,0.046662603
across_replicates_same_ctx_pert,observed,0.17577012
across_replicates_same_ctx_pert,observed,0.008278561
across_replicates_same_ctx_pert,observed,0.014431185
across_replicates_same_ctx_pert,observed,0.014431185
across_replicates_same_ctx_pert,observed,0.0016703566
across_replicates_same_ctx_pert,observed,0.056674756
across_replicates_same_ctx_pert,observed,0.008278561
across_replicates_same_ctx_pert,observed,0.04848493
across_replicates_same_ctx_pert,observed,0.12374002
across_replicates_same_ctx_pert,observed,0.0032388368
across_replicates_same_ctx_pert,observed,0.16652083
across_replicates_same_ctx_pert,observed,-0.0020001517
across_replicates_same_ctx_pert,observed,0.00916359
across_replicates_same_ctx_pert,observed,0.07874978
across_replicates_same_ctx_pert,observed,-0.0020001517
across_replicates_same_ctx_pert,observed,-0.0020001517
across_replicates_same_ctx_pert,observed,0.037278473
across_replicates_same_ctx_pert,observed,0.011366885
across_replicates_same_ctx_pert,observed,0.0106231095
across_replicates_same_ctx_pert,observed,0.15880205
across_replicates_same_ctx_pert,observed,0.024690676
across_replicates_same_ctx_pert,observed,0.10814304
across_replicates_same_ctx_pert,observed,0.040278994
across_replicates_same_ctx_pert,observed,0.17819928
across_replicates_same_ctx_pert,observed,0.057822548
across_replicates_same_ctx_pert,observed,0.12056199
across_replicates_same_ctx_pert,observed,0.06661846
across_replicates_same_ctx_pert,observed,0.039243806
across_replicates_same_ctx_pert,observed,0.20040807
across_replicates_same_ctx_pert,observed,0.049506243
across_replicates_same_ctx_pert,observed,0.060029812
across_replicates_same_ctx_pert,observed,0.03135977
across_replicates_same_ctx_pert,observed,0.036750622
across_replicates_same_ctx_pert,observed,0.13063143
across_replicates_same_ctx_pert,observed,-7.322104e-05
across_replicates_same_ctx_pert,observed,0.0021387436
across_replicates_same_ctx_pert,observed,0.0047320486
across_replicates_same_ctx_pert,observed,0.04346828
across_replicates_same_ctx_pert,observed,0.190827
across_replicates_same_ctx_pert,observed,0.18549699
across_replicates_same_ctx_pert,observed,0.26411313
