drug,n_contexts,n_pairs,conserved,context,cdi,total_effect,key,moa-fine
5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,6,18,0.19004510343074799,0.0,0.0,0.19004510343074799,59isopropyl8methyl2morpholino9hpurin6ylpyrimidin2amine,
ABT-199 (GDC-0199),6,18,0.07055728137493134,0.01012492172109584,0.1254913888388156,0.08068220309602718,abt199gdc0199,
ABT737,6,18,0.15180781483650208,0.03002096971289979,0.16510570527816104,0.18182878454940188,abt737,
AMD-070 (hydrochloride),6,18,0.06786924600601196,0.0,0.0,0.06786924600601196,amd070hydrochloride,
AT 7867,6,18,0.07077153027057648,0.0,0.0,0.07077153027057648,at7867,
AT13387,6,16,0.7970777750015259,0.19719112943857908,0.19832776481089068,0.994268904440105,at13387,
AVL-292,6,18,0.08994942903518677,0.0,0.0,0.08994942903518677,avl292,
AZ628,6,18,0.07765550166368484,0.0,0.0,0.07765550166368484,az628,
AZD-8330,6,18,0.06994647532701492,0.0,0.0,0.06994647532701492,azd8330,
AZD3514,6,18,0.06151933595538139,0.0,0.0,0.06151933595538139,azd3514,
AZD4547,6,18,0.05148422345519066,0.0,0.0,0.05148422345519066,azd4547,
Alogliptin,6,18,0.05293600261211395,0.0,0.0,0.05293600261211395,alogliptin,
Alvocidib,5,8,3.06219482421875,0.02852690441068262,0.009229852091321322,3.0907217286294326,alvocidib,
Amiodarone,6,18,0.061255134642124176,0.0,0.0,0.061255134642124176,amiodarone,
Atorvastatin,6,18,0.04741474986076355,0.0,0.0,0.04741474986076355,atorvastatin,
Azacitidine,6,18,0.04760296270251274,0.0,0.0,0.04760296270251274,azacitidine,
BAY 61-3606,6,18,0.3201817274093628,0.09075885353538776,0.22085639078704167,0.41094058094475056,bay613606,
BAY 87-2243,6,18,0.10811839252710342,0.0,0.0,0.10811839252710342,bay872243,
BI-D1870,6,18,0.07368055731058121,0.0,0.0,0.07368055731058121,bid1870,
BMS-265246,6,18,0.09255372732877731,0.0,0.0,0.09255372732877731,bms265246,
BMS-387032,5,15,1.1073609590530396,0.30946446806192396,0.21842102925275458,1.4168254271149636,bms387032,
BMS-536924,6,18,0.20996367931365967,0.01947019999432895,0.08486192210607416,0.22943387930798861,bms536924,
BMS-777607,6,18,0.05477110296487808,0.0,0.0,0.05477110296487808,bms777607,
BX 912,6,18,0.10736464709043503,0.04333122607527508,0.28754089388782833,0.1506958731657101,bx912,
Belinostat,6,3233,0.24489173293113708,0.0904273585683287,0.2696755444611264,0.3353190914994658,belinostat,HDAC inhibitor
Bosutinib,6,18,0.15057899057865143,0.011262997732652972,0.0695925566052025,0.1618419883113044,bosutinib,
Buspirone,6,18,0.040628381073474884,0.0,0.0,0.040628381073474884,buspirone,
CC-401,6,18,0.054673369973897934,0.0,0.0,0.054673369973897934,cc401,
CEP-18770 (Delanzomib),5,5,1.6156665086746216,0.0676627516746521,0.040195791321665,1.6833292603492738,cep18770delanzomib,
CEP-37440,6,18,0.050445809960365295,0.0,0.0,0.050445809960365295,cep37440,
CGM-097,6,18,0.1440427005290985,0.0,0.0,0.1440427005290985,cgm097,
CHIR-99021,6,18,0.08230400085449219,0.0,0.0,0.08230400085449219,chir99021,
Cabozantinib,6,18,0.05027022585272789,0.0,0.0,0.05027022585272789,cabozantinib,
Canertinib,6,18,0.04766455665230751,0.0,0.0,0.04766455665230751,canertinib,
Ceritinib,6,18,0.057285550981760025,0.0,0.0,0.057285550981760025,ceritinib,
Chlorpheniramine,6,18,0.05718882009387016,0.0,0.0,0.05718882009387016,chlorpheniramine,
Clemastine,6,18,0.048755891621112823,0.0,0.0,0.048755891621112823,clemastine,
Clomipramine,6,18,0.05211568623781204,0.0,0.0,0.05211568623781204,clomipramine,
Clotrimazole,6,18,0.057574525475502014,0.0,0.0,0.057574525475502014,clotrimazole,unclear
Colchicine,6,18,0.11909288913011551,0.012139216324107515,0.09250187888162756,0.13123210545422304,colchicine,
Colforsin,6,18,0.05382721871137619,0.0,0.0,0.05382721871137619,colforsin,
Crizotinib,6,18,0.11166074872016907,0.0,0.0,0.11166074872016907,crizotinib,Multi-TK inhibitor
Dabrafenib,6,4608,0.012455686926841736,0.00473858434086034,0.2755908794902726,0.017194271267702076,dabrafenib,RAF inhibitor
Dactolisib,6,18,0.23415601253509521,0.010070467678209146,0.041234135092205096,0.24422648021330437,dactolisib,
Dasatinib,6,18,0.2312096208333969,0.0,0.0,0.2312096208333969,dasatinib,
Decitabine,6,18,0.06171678379178047,0.0,0.0,0.06171678379178047,decitabine,DNA methyltransferase inhibitor
Defactinib,6,18,0.055649783462285995,0.0,0.0,0.055649783462285995,defactinib,
Desloratadine,6,18,0.05706444010138512,0.0,0.0,0.05706444010138512,desloratadine,
Disulfiram,6,18,0.075537770986557,0.0,0.0,0.075537770986557,disulfiram,
Dovitinib,6,18,0.07369175553321838,0.0,0.0,0.07369175553321838,dovitinib,
Doxorubicin,6,18,0.18488970398902893,0.0007367715136044555,0.003969107917442538,0.1856264755026334,doxorubicin,
FK 866,6,18,0.08923187851905823,0.0,0.0,0.08923187851905823,fk866,
Flutamide,6,18,0.05913010239601135,0.0,0.0,0.05913010239601135,flutamide,Androgen receptor antagonist
Foretinib,6,18,0.11523288488388062,0.0,0.0,0.11523288488388062,foretinib,
GLPG0634,6,18,0.11857893317937851,0.012422792794596817,0.09482922993751026,0.13100172597397533,glpg0634,
GO-6976,6,16,0.07408022880554199,0.0,0.0,0.07408022880554199,go6976,
GSK-1070916,6,18,0.05131315067410469,0.0,0.0,0.05131315067410469,gsk1070916,
GSK256066,6,18,0.05629460886120796,0.0,0.0,0.05629460886120796,gsk256066,
GW843682X,6,18,0.04551161080598831,0.0,0.0,0.04551161080598831,gw843682x,
Ganetespib (STA-9090),6,11,0.6537509560585022,0.09357002665373412,0.12520727882434451,0.7473209827122363,ganetespibsta9090,
HMN-214,6,18,0.05909091979265213,0.0,0.0,0.05909091979265213,hmn214,
HYDROXYUREA,6,18,0.05179749056696892,0.0,0.0,0.05179749056696892,hydroxyurea,DNA synthesis/repair inhibitor
I-BET151,6,18,0.32478758692741394,0.0,0.0,0.32478758692741394,ibet151,
IKK Inhibitor VII,6,18,0.19916251301765442,0.024895485205989745,0.11111178981943881,0.22405799822364417,ikkinhibitorvii,
IMD-0354,6,18,0.1978156417608261,0.0,0.0,0.1978156417608261,imd0354,
IN1451,6,13,1.0504755973815918,0.5265638656341113,0.3338939056269311,1.5770394630157032,in1451,
Idelalisib,6,18,0.0866977721452713,0.0,0.0,0.0866977721452713,idelalisib,
Imatinib,6,18,0.05245667323470116,0.0,0.0,0.05245667323470116,imatinib,
Isoniazid,6,18,0.05308328941464424,0.0,0.0,0.05308328941464424,isoniazid,
Ixabepilone,6,18,0.03968048095703125,0.0,0.0,0.03968048095703125,ixabepilone,
K-02288,6,18,0.05546889081597328,0.0,0.0,0.05546889081597328,k02288,
Ketoconazole,6,16,0.14178989827632904,0.0,0.0,0.14178989827632904,ketoconazole,
LDN 193189,6,18,0.041371092200279236,0.0,0.0,0.041371092200279236,ldn193189,
LY2090314,6,15,0.15086859464645386,0.025460181897506116,0.144390396148179,0.17632877654395998,ly2090314,GSK3 inhibitor
Lamivudine,6,18,0.06271614879369736,0.0,0.0,0.06271614879369736,lamivudine,
Lapatinib,6,18,0.03664226457476616,0.0,0.0,0.03664226457476616,lapatinib,
Linagliptin,6,18,0.04332272708415985,0.0,0.0,0.04332272708415985,linagliptin,
MGCD-265,6,18,0.04717810079455376,0.0,0.0,0.04717810079455376,mgcd265,
MK-5108,6,18,0.04732454940676689,0.0,0.0,0.04732454940676689,mk5108,
MLN 2238,6,6,1.7194020748138428,0.45723724737763405,0.21006569288534213,2.176639322191477,mln2238,
Masitinib,6,18,0.05380052328109741,0.0,0.0,0.05380052328109741,masitinib,
Methotrexate,6,18,0.046066105365753174,0.0,0.0,0.046066105365753174,methotrexate,DNA synthesis/repair inhibitor
Midostaurin,6,18,0.10616032779216766,0.0,0.0,0.10616032779216766,midostaurin,
Mometasone Furoate,6,18,0.16040025651454926,0.0,0.0,0.16040025651454926,mometasonefuroate,
Mubritinib (TAK 165),6,18,0.09433439373970032,0.0,0.0,0.09433439373970032,mubritinibtak165,
Navitoclax,6,18,0.07921649515628815,0.0,0.0,0.07921649515628815,navitoclax,
Nefazodone,6,18,0.05627761408686638,0.0,0.0,0.05627761408686638,nefazodone,
Nilotinib,6,18,0.11204472184181213,0.0,0.0,0.11204472184181213,nilotinib,
O-Demethylated Adapalene,6,18,0.05223030596971512,0.0,0.0,0.05223030596971512,odemethylatedadapalene,
OSI-930,6,18,0.04044166952371597,0.0,0.0,0.04044166952371597,osi930,
Oprozomib (ONX 0912),5,5,1.8070595264434814,0.0,0.0,1.8070595264434814,oprozomibonx0912,
Oxybenzone,6,18,0.04702059179544449,0.0,0.0,0.04702059179544449,oxybenzone,
PD-0325901,6,18,0.0746295303106308,0.0,0.0,0.0746295303106308,pd0325901,
PF-03814735,6,18,0.18505512177944183,0.058603043047090374,0.24051335644266916,0.24365816482653221,pf03814735,
PF-04691502,6,18,0.31718146800994873,0.03424014151096344,0.09743322716449485,0.35142160952091217,pf04691502,
PRT-062607,6,18,0.15240956842899323,0.0653773672464821,0.3001895730968042,0.21778693567547533,prt062607,
Palbociclib,6,18,0.059119489043951035,0.0,0.0,0.059119489043951035,palbociclib,CDK inhibitor
Penfluridol,6,18,0.04817298799753189,0.0,0.0,0.04817298799753189,penfluridol,unclear
Perhexiline,6,18,0.15019243955612183,0.0,0.0,0.15019243955612183,perhexiline,
Phenylbutazone,6,18,0.04232979938387871,0.0,0.0,0.04232979938387871,phenylbutazone,
Pitavastatin Calcium,6,16,0.14512892067432404,0.0,0.0,0.14512892067432404,pitavastatincalcium,unclear
Pomalidomide,6,18,0.07577946782112122,0.0,0.0,0.07577946782112122,pomalidomide,
Porcn Inhibitor III,6,18,0.05813164263963699,0.0,0.0,0.05813164263963699,porcninhibitoriii,
Prednisolone,6,18,0.09771385043859482,0.0,0.0,0.09771385043859482,prednisolone,
Proscillaridin A;Proscillaridin-A,6,14,0.6102304458618164,0.3738297676401479,0.3798850542994763,0.9840602135019643,proscillaridinaproscillaridina,
Protriptyline,6,18,0.039527881890535355,0.0,0.0,0.039527881890535355,protriptyline,
Quizartinib,6,18,0.06705804169178009,0.0,0.0,0.06705804169178009,quizartinib,
R428,6,18,0.08864904940128326,0.0,0.0,0.08864904940128326,r428,
RG7090,6,18,0.07964764535427094,0.0,0.0,0.07964764535427094,rg7090,
RG7112,6,18,0.052361100912094116,0.0,0.0,0.052361100912094116,rg7112,
RN-486,6,18,0.04710663482546806,0.0,0.0,0.04710663482546806,rn486,
RVX-208,6,18,0.08826792240142822,0.0,0.0,0.08826792240142822,rvx208,
Raloxifene,6,16,0.07854713499546051,0.0,0.0,0.07854713499546051,raloxifene,
Resminostat,5,13,0.2614690065383911,0.044012210403497405,0.1440750133317356,0.3054812169418885,resminostat,
Ricolinostat,6,18,0.07545717060565948,0.0,0.0,0.07545717060565948,ricolinostat,
Riociguat,6,18,0.04427419975399971,0.0,0.0,0.04427419975399971,riociguat,
Ruxolitinib,6,18,0.2075396478176117,0.07498943534058829,0.2654220036476688,0.28252908315819997,ruxolitinib,
SB525334,6,18,0.06832782179117203,0.0,0.0,0.06832782179117203,sb525334,
SCH-58261,6,18,0.04670288786292076,0.0,0.0,0.04670288786292076,sch58261,
SLx-2119,6,18,0.056279778480529785,0.0,0.0,0.056279778480529785,slx2119,
STK219801,6,18,0.043995894491672516,0.0,0.0,0.043995894491672516,stk219801,
Saracatinib,6,18,0.10354699194431305,0.009366910193218954,0.08295621722301139,0.112913902137532,saracatinib,
Scriptaid,6,13,0.34477850794792175,0.21127760585827324,0.3799573471318955,0.556056113806195,scriptaid,
Selumetinib,6,18,0.07559771835803986,0.0,0.0,0.07559771835803986,selumetinib,
Sgc-cbp30,6,18,0.06248015537858009,0.0,0.0,0.06248015537858009,sgccbp30,
Sunitinib,6,18,0.06192208081483841,0.0,0.0,0.06192208081483841,sunitinib,Multi-TK inhibitor
