drug,n_contexts,n_pairs,conserved,context,cdi_ext,total_effect,key,moa-fine_ext,cdi_tahoe,moa-fine_tahoe
Belinostat,6,3233,0.24489173293113708,0.0904273585683287,0.2696755444611264,0.3353190914994658,belinostat,HDAC inhibitor,0.215218994364016,HDAC inhibitor
Clotrimazole,6,18,0.057574525475502014,0.0,0.0,0.057574525475502014,clotrimazole,unclear,0.2952569580951541,unclear
Crizotinib,6,18,0.11166074872016907,0.0,0.0,0.11166074872016907,crizotinib,Multi-TK inhibitor,0.0692913053454316,Multi-TK inhibitor
Dabrafenib,6,4608,0.012455686926841736,0.00473858434086034,0.2755908794902726,0.017194271267702076,dabrafenib,RAF inhibitor,0.1186480858766271,RAF inhibitor
Decitabine,6,18,0.06171678379178047,0.0,0.0,0.06171678379178047,decitabine,DNA methyltransferase inhibitor,0.0953438621932896,DNA methyltransferase inhibitor
Flutamide,6,18,0.05913010239601135,0.0,0.0,0.05913010239601135,flutamide,Androgen receptor antagonist,0.1459915285947699,Androgen receptor antagonist
HYDROXYUREA,6,18,0.05179749056696892,0.0,0.0,0.05179749056696892,hydroxyurea,DNA synthesis/repair inhibitor,0.0977247285911471,DNA synthesis/repair inhibitor
LY2090314,6,15,0.15086859464645386,0.025460181897506116,0.144390396148179,0.17632877654395998,ly2090314,GSK3 inhibitor,0.1603613533084296,GSK3 inhibitor
Methotrexate,6,18,0.046066105365753174,0.0,0.0,0.046066105365753174,methotrexate,DNA synthesis/repair inhibitor,0.1105414684621495,DNA synthesis/repair inhibitor
Palbociclib,6,18,0.059119489043951035,0.0,0.0,0.059119489043951035,palbociclib,CDK inhibitor,0.2144594952350297,CDK inhibitor
Penfluridol,6,18,0.04817298799753189,0.0,0.0,0.04817298799753189,penfluridol,unclear,0.1246763628496313,unclear
Pitavastatin Calcium,6,16,0.14512892067432404,0.0,0.0,0.14512892067432404,pitavastatincalcium,unclear,0.2017127256548722,unclear
Sunitinib,6,18,0.06192208081483841,0.0,0.0,0.06192208081483841,sunitinib,Multi-TK inhibitor,0.1538821824571585,Multi-TK inhibitor
Trametinib,6,18,0.06938104331493378,0.0,0.0,0.06938104331493378,trametinib,MEK inhibitor,0.2803556698458486,MEK inhibitor
Vandetanib,6,18,0.0453006885945797,0.0,0.0,0.0453006885945797,vandetanib,Multi-TK inhibitor,0.2220729142613075,Multi-TK inhibitor
