drug,targets,moa-broad,moa-fine,human-approved,clinical-trials,gpt-notes-approval,canonical_smiles,pubchem_cid
Talc,,unclear,unclear,yes,yes,Talc used in pharma and cosmetics; safety under review for some uses.,[OH-].[OH-].[O-][Si]12O[Si]3(O[Si](O1)(O[Si](O2)(O3)[O-])[O-])[O-].[Mg+2].[Mg+2].[Mg+2],165411828.0
Bortezomib,PSMB5,inhibitor/antagonist,Proteasome inhibitor,yes,yes,Approved for multiple myeloma and mantle cell lymphoma.,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,387447.0
Ixazomib,PSMB5,inhibitor/antagonist,Proteasome inhibitor,yes,yes,Approved for multiple myeloma treatment.,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,25183872.0
Ixazomib citrate,"PSMB1, PSMB2, PSMB5",inhibitor/antagonist,Proteasome inhibitor,yes,yes,Approved for multiple myeloma treatment as part of a combination therapy.,B1(OC(=O)C(O1)(CC(=O)O)CC(=O)O)C(CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl,56844015.0
Lactate (calcium),,unclear,unclear,yes,yes,"Used in medical settings, but not specifically approved as a standalone drug.",C.CC(C(=O)[O-])O.[Ca+2],168311648.0
Bisoprolol (hemifumarate),ADRB1,inhibitor/antagonist,Adrenoceptor agonist,yes,yes,"Approved for hypertension, heart failure, and angina.",C.CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=CC(=O)O)C(=O)O,168312271.0
Fumaric acid,,inhibitor/antagonist,unclear,yes,yes,Used in psoriasis treatment as part of fumaric acid esters.,C(=CC(=O)O)C(=O)O,444972.0
Hydroxyurea,"RRM2, RRM1",inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for sickle cell anemia and certain cancers.,C(=O)(N)NO,3657.0
L-Eflornithine (monohydrochloride),ODC1,inhibitor/antagonist,unclear,yes,yes,Used to treat sleeping sickness. Approved for human use.,C(CC(C(F)F)(C(=O)O)N)CN.Cl,16048568.0
Cysteamine (hydrochloride),,unclear,unclear,yes,yes,FDA-approved for cystinosis treatment.,C(CS)N.Cl,9082.0
Darinaparsin,,unclear,unclear,no,yes,Used in clinical trials for certain cancers only.,C[As](C)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,11683005.0
Entecavir (monohydrate),,unclear,unclear,yes,yes,Approved for treating hepatitis B infection.,C=C1C(CC(C1CO)O)N2C=NC3=C2N=C(NC3=O)N.O,135526609.0
