feature,metric,region,n,rho,p,rho_depth_adj,p_depth_adj,q
pdr_promoter,pdr,promoter,43,-0.2541528239202658,0.10004982718792381,-0.24237390516460286,0.11735562220859477,0.5778154754777585
mhl_promoter,mhl,promoter,43,-0.23301117487163997,0.13265429310026022,-0.1975234068257324,0.20421551357136314,0.5778154754777585
lpmd_promoter,lpmd,promoter,43,-0.2162488674116581,0.1636813245491436,-0.20416792509815768,0.1890985768509807,0.5778154754777585
beta_cgi,beta,cgi,43,-0.20522500755058892,0.18676888122492047,-0.18906674720628208,0.22465291467765028,0.5778154754777585
beta_promoter,beta,promoter,43,-0.19812745394140743,0.20280728796312256,-0.17456961643008156,0.262875173703678,0.5778154754777585
mhl_genomewide,mhl,genomewide,43,-0.1948051948051948,0.21063726543188918,-0.19646632437330114,0.20669636223937785,0.5778154754777585
mhl_cgi,mhl,cgi,43,-0.1880096647538508,0.2273031054470029,-0.16535789791603744,0.28928621532948223,0.5778154754777585
pdr_cgi,pdr,cgi,43,-0.18649954696466323,0.23112619019110336,-0.17019027484143762,0.27522420331012754,0.5778154754777585
me_promoter,me,promoter,43,-0.17230443974630022,0.26921582060132654,-0.19238900634249473,0.21646243545034607,0.598257379114059
lpmd_cgi,lpmd,cgi,43,-0.14104500151011778,0.36697108098979725,-0.1362126245847176,0.383778624287091,0.6833533614509444
pdr_genomewide,pdr,genomewide,43,-0.13847780126849893,0.3758443487980194,-0.13711869525823014,0.3805931416291384,0.6833533614509444
me_cgi,me,cgi,43,-0.11945031712473572,0.4454964090633332,-0.15282392026578073,0.32789323051023345,0.7124741870442618
mhl_cpg_shore,mhl,cpg_shore,43,-0.10782241014799156,0.49131743419648766,-0.11869525823014193,0.44839864550685293,0.7124741870442618
lpmd_genomewide,lpmd,genomewide,43,-0.10072485653881001,0.5204371185213793,-0.07671398369072788,0.6248802928524959,0.7124741870442618
me_genomewide,me,genomewide,43,-0.0974025974025974,0.5343556402831964,-0.13772274237390514,0.37847820226053386,0.7124741870442618
me_cpg_shore,me,cpg_shore,43,-0.079734219269103,0.6112739810642484,-0.1481425551192993,0.34310126929380236,0.7311375515743606
beta_genomewide,beta,genomewide,43,-0.07746904258532165,0.6214669188382065,-0.0957414678344911,0.5413820734183816,0.7311375515743606
pdr_cpg_shore,pdr,cpg_shore,43,-0.05240108728480822,0.7385901589284091,-0.0572334642102084,0.7154511949677462,0.8167746542112373
lpmd_cpg_shore,lpmd,cpg_shore,43,-0.04469948655995167,0.7759359215006755,-0.05089096949562066,0.7458692059529005,0.8167746542112373
beta_cpg_shore,beta,cpg_shore,43,-0.017215342796738142,0.9127503409032748,-0.033373603141045004,0.831751536019184,0.9127503409032748
