unit,driver_gene,n_mut,n_wt,effect,p,q
HDAC inhibitor,TERT,11,37,1.4176435470581055,0.0003418075275821845,0.13415652940492737
Glucocorticoid receptor agonist,CDKN2A,21,27,2.394526481628418,0.0005607507670295813,0.13415652940492737
Proteasome inhibitor,TERT,11,37,2.540163993835449,0.00059434314226836,0.13415652940492737
CDK inhibitor,SETD1B,11,37,1.1236088275909424,0.0006504559001451023,0.13415652940492737
RAS inhibitor,SETD1B,11,37,-0.6122701168060303,0.003510938038797029,0.40459042425326036
Glucocorticoid receptor agonist,BRCA2,9,39,-1.9892120361328125,0.00433435413693397,0.40459042425326036
Glucocorticoid receptor agonist,ATM,9,39,-2.1686298847198486,0.005111602074476712,0.40459042425326036
Glucocorticoid receptor agonist,SETD1B,11,37,-2.004326581954956,0.005573423727060034,0.40459042425326036
RAF inhibitor,KRAS,23,25,0.9130284786224365,0.005684692865771625,0.40459042425326036
RAF inhibitor,TERT,11,37,-1.0905295610427856,0.0060079666012468,0.40459042425326036
CDK inhibitor,KMT2D,14,34,0.9005147218704224,0.006271655040287903,0.40459042425326036
DNA methyltransferase inhibitor,CDKN2A,21,27,-0.36018210649490356,0.006478455035941218,0.40459042425326036
Cyclooxygenase inhibitor,SMARCA4,12,36,0.3390094041824341,0.006884483316483309,0.40459042425326036
Glucocorticoid receptor agonist,CTNNB1,5,43,-1.9710816144943237,0.007094534615348677,0.40459042425326036
HDAC inhibitor,PTEN,9,39,1.2445768117904663,0.007633973995733398,0.40459042425326036
Glucocorticoid receptor agonist,KMT2D,14,34,-1.989072561264038,0.00879767534927056,0.40459042425326036
EGFR/ERBB inhibitor,ATM,9,39,0.408541738986969,0.008922348191359845,0.40459042425326036
Adrenoceptor agonist,APC,10,38,0.4895036816596985,0.009265375040791717,0.40459042425326036
DNA synthesis/repair inhibitor,TERT,11,37,-0.6689363121986389,0.009317840073711451,0.40459042425326036
CDK inhibitor,CDKN2A,21,27,-0.5708141326904297,0.011229203945142348,0.4335963924684532
Sonic inhibitor,PRDM2,6,42,0.7553393840789795,0.011557662983990889,0.4335963924684532
CDK inhibitor,CTNNB1,5,43,0.9533860683441162,0.011624104131042153,0.4335963924684532
Other TK inhibitor,KRAS,23,25,0.2961979806423187,0.013267428825323287,0.4335963924684532
Glucocorticoid receptor agonist,PIK3CA,10,38,-1.945339322090149,0.01331719874228375,0.4335963924684532
CDK inhibitor,BRCA2,9,39,0.9533860683441162,0.014028630694267583,0.4335963924684532
Glucocorticoid receptor agonist,TGFBR2,7,41,-1.9250805377960205,0.014160520724748509,0.4335963924684532
DNA synthesis/repair inhibitor,PRDM2,6,42,1.238898515701294,0.01419042738987665,0.4335963924684532
Other TK inhibitor,STK11,6,42,0.46816831827163696,0.015681686168745955,0.44963875186282015
RAS inhibitor,POLE,8,40,-1.11836838722229,0.01587880740447926,0.44963875186282015
HDAC inhibitor,KRAS,23,25,-0.7441800236701965,0.016667626444841082,0.44963875186282015
Glucose transporter inhibitor,TERT,11,37,-0.7984210848808289,0.017340936193060687,0.44963875186282015
MEK inhibitor,ATM,9,39,-0.9763272404670715,0.017440533405588175,0.44963875186282015
Adrenoceptor agonist,EP300,7,41,0.6361163854598999,0.018559679796045784,0.4545189183059963
Other MAPK inhibitor,BRCA2,9,39,0.4812113046646118,0.02010096196314441,0.4545189183059963
DNA synthesis/repair inhibitor,CDKN2A,21,27,-0.6028867363929749,0.021061798540445095,0.4545189183059963
Other TK inhibitor,TERT,11,37,-0.23270584642887115,0.021121336201559513,0.4545189183059963
EGFR/ERBB inhibitor,PTEN,9,39,-0.291530966758728,0.02155930376220828,0.4545189183059963
Sonic inhibitor,APC,10,38,0.6836949586868286,0.02159211882186604,0.4545189183059963
RAS inhibitor,ARID1A,15,33,-0.5845610499382019,0.021962767140382162,0.4545189183059963
Glucocorticoid receptor agonist,PRDM2,6,42,-1.8043789863586426,0.022984779707667647,0.4545189183059963
Glucocorticoid receptor agonist,APC,10,38,-1.9571462869644165,0.024659546993002553,0.4545189183059963
Sonic inhibitor,TERT,11,37,-0.626252293586731,0.02560050234011448,0.4545189183059963
RAS inhibitor,SMARCA4,12,36,-1.2943919897079468,0.026001425620643764,0.4545189183059963
CDK inhibitor,EP300,7,41,0.9628032445907593,0.02612427330334953,0.4545189183059963
Androgen receptor antagonist,EP300,7,41,0.5468281507492065,0.02612427330334953,0.4545189183059963
Proteasome inhibitor,CDKN2A,21,27,1.6843206882476807,0.02616565859070014,0.4545189183059963
GSK3 inhibitor,CTNNB1,5,43,0.6339772343635559,0.02748460553733449,0.4545189183059963
Retinoic receptor agonist,STK11,6,42,0.5167639255523682,0.027556506484286532,0.4545189183059963
Other TK inhibitor,ACVR2A,8,40,0.4735181927680969,0.027876109827392304,0.4545189183059963
DNA synthesis/repair inhibitor,APC,10,38,1.0670095682144165,0.028097533131643405,0.4545189183059963
DNA methyltransferase inhibitor,APC,10,38,0.6084251403808594,0.028097533131643405,0.4545189183059963
DNA synthesis/repair inhibitor,CDKN2B,12,36,-0.45991694927215576,0.029363520608593784,0.4599711575009394
MEK inhibitor,KRAS,23,25,-0.8475333452224731,0.030239021016148636,0.4599711575009394
Sonic inhibitor,CDKN2A,21,27,-0.5228375196456909,0.03066474383339596,0.4599711575009394
Other TK inhibitor,CDKN2A,21,27,-0.25768738985061646,0.03066474383339596,0.4599711575009394
Glucocorticoid receptor agonist,ACVR2A,8,40,-1.8978694677352905,0.032425012904632254,0.47523835670932807
MEK inhibitor,TERT,11,37,0.881035327911377,0.03283465009991721,0.47523835670932807
Other TK inhibitor,CDKN2B,12,36,-0.25275611877441406,0.035105198377006396,0.48615085562218346
DNA synthesis/repair inhibitor,KRAS,23,25,0.6019498109817505,0.03528846771113008,0.48615085562218346
Protein synthesis inhibitor,NF1,7,41,-1.5466729402542114,0.03603905261769428,0.48615085562218346
Sonic inhibitor,SETD1B,11,37,0.5671118497848511,0.037065707673356284,0.48615085562218346
Androgen receptor antagonist,SETD1B,11,37,0.5607256293296814,0.037065707673356284,0.48615085562218346
Sonic inhibitor,KRAS,23,25,0.6926923990249634,0.0371242471566031,0.48615085562218346
RAF inhibitor,STK11,6,42,1.0560634136199951,0.03889659236775386,0.4963882720783306
MTOR inhibitor,PIK3R1,5,43,-0.6123417615890503,0.04017744512656631,0.4963882720783306
MEK inhibitor,EP300,7,41,-1.3707787990570068,0.04202831729293017,0.4963882720783306
HDAC inhibitor,NF1,7,41,0.7874617576599121,0.04202831729293017,0.4963882720783306
Other MAPK inhibitor,TGFBR2,7,41,0.4812113046646118,0.04202831729293017,0.4963882720783306
Other TK inhibitor,PRDM2,6,42,0.6886259317398071,0.04224287928007567,0.4963882720783306
Multi-TK inhibitor,FBXW7,5,43,0.4633042812347412,0.04397817210028126,0.4963882720783306
MEK inhibitor,CTNNB1,5,43,-1.003820776939392,0.04397817210028126,0.4963882720783306
CDK inhibitor,PRDM2,6,42,0.9778175950050354,0.04581587012260591,0.4963882720783306
Androgen receptor antagonist,CDKN2A,21,27,-0.31079035997390747,0.046028158350889706,0.4963882720783306
Adrenoceptor agonist,CDKN2A,21,27,-0.26959747076034546,0.046028158350889706,0.4963882720783306
CDK inhibitor,POLE,8,40,0.9432731866836548,0.046492923736269454,0.4963882720783306
Multi-TK inhibitor,RNF43,8,40,0.4583875834941864,0.046492923736269454,0.4963882720783306
Cyclooxygenase inhibitor,WNK2,8,40,0.35284143686294556,0.046492923736269454,0.4963882720783306
Glucocorticoid receptor agonist,TERT,11,37,2.1936795711517334,0.046931254814678525,0.4963882720783306
GSK3 inhibitor,CDKN2A,21,27,-0.5091346502304077,0.04834169328578721,0.5048341387439803
Other TK inhibitor,RNF43,8,40,0.5139501094818115,0.04982259473043672,0.5137955081576286
Adrenoceptor agonist,ZFHX3,13,35,0.17363619804382324,0.05131990358807113,0.5222415291330641
Proteasome inhibitor,APC,10,38,-2.227583885192871,0.05213006636585032,0.5222415291330641
Glucocorticoid receptor agonist,WNK2,8,40,-1.6181246042251587,0.05334104057529301,0.5222415291330641
Adrenoceptor agonist,PIK3CA,10,38,0.4403141140937805,0.05527964944315744,0.5222415291330641
Glucose transporter inhibitor,APC,10,38,0.7682703137397766,0.05527964944315744,0.5222415291330641
Androgen receptor antagonist,TERT,11,37,-0.6476113796234131,0.05570576310752683,0.5222415291330641
CDK inhibitor,TERT,11,37,-0.34799057245254517,0.05570576310752683,0.5222415291330641
DNA methyltransferase inhibitor,SETD1B,11,37,0.2519201934337616,0.05570576310752683,0.5222415291330641
Other TK inhibitor,EP300,7,41,0.4335450530052185,0.05639180132543298,0.5227329898144067
Protein synthesis inhibitor,B2M,6,42,-1.7948904037475586,0.05797688174040818,0.531454749287075
DNA synthesis/repair inhibitor,NF1,7,41,1.032216191291809,0.0605279121268838,0.5366013880444355
CDK inhibitor,ARID1A,15,33,0.39678671956062317,0.06170669002831265,0.5366013880444355
EGFR/ERBB inhibitor,STK11,6,42,0.27066177129745483,0.06254828255882404,0.5366013880444355
Glucose transporter inhibitor,PRDM2,6,42,0.828709065914154,0.06254828255882404,0.5366013880444355
Glucose transporter inhibitor,KRAS,23,25,0.5777500867843628,0.06325686343591062,0.5366013880444355
CDK inhibitor,TGFBR2,7,41,0.8998990058898926,0.06489928326137263,0.5366013880444355
CDK inhibitor,NRAS,7,41,0.5418151617050171,0.06489928326137263,0.5366013880444355
CDK inhibitor,SMARCA4,12,36,0.47585529088974,0.06500291114340466,0.5366013880444355
MEK inhibitor,ACVR2A,8,40,-1.3737095594406128,0.06509769574210127,0.5366013880444355
Androgen receptor antagonist,APC,10,38,0.3135308027267456,0.06569301841513694,0.5366013880444355
RAF inhibitor,APC,10,38,0.8105301856994629,0.06569301841513694,0.5366013880444355
Sonic inhibitor,ACVR2A,8,40,0.5852606296539307,0.06944157905983445,0.5562068225666351
CDK inhibitor,ACVR2A,8,40,0.6232187747955322,0.06944157905983445,0.5562068225666351
DNA synthesis/repair inhibitor,SMAD4,6,42,0.7940455675125122,0.07252276655069073,0.5681877789915496
MEK inhibitor,APC,10,38,-1.100515365600586,0.07349574716649691,0.5681877789915496
Adrenoceptor agonist,ACVR2A,8,40,0.6149612665176392,0.07400949371551788,0.5681877789915496
Sonic inhibitor,EP300,7,41,0.6034094095230103,0.07438094561343922,0.5681877789915496
DNA methyltransferase inhibitor,EP300,7,41,0.7140617370605469,0.07438094561343922,0.5681877789915496
Proteasome inhibitor,ATM,9,39,-1.5895943641662598,0.0767675017757617,0.5753881929166584
GSK3 inhibitor,KMT2D,14,34,0.3299255073070526,0.07876683828765972,0.5753881929166584
RAS inhibitor,WNK2,8,40,-0.4868784546852112,0.07880950651215991,0.5753881929166584
Proteasome inhibitor,ACVR2A,8,40,-1.7203929424285889,0.07880950651215991,0.5753881929166584
Microtubule inhibitor,NF1,7,41,-0.5786182284355164,0.07950818665757461,0.5753881929166584
Cyclooxygenase inhibitor,EP300,7,41,0.34704792499542236,0.07950818665757461,0.5753881929166584
Other MAPK inhibitor,ATM,9,39,0.38708335161209106,0.08127363574111607,0.5784911050303363
RAF inhibitor,PIK3CA,10,38,0.6045582294464111,0.08204055671339314,0.5784911050303363
EGFR/ERBB inhibitor,APC,10,38,0.3234104514122009,0.08204055671339314,0.5784911050303363
Other TK inhibitor,NF1,7,41,0.4163421392440796,0.08490464201423048,0.5886246190062198
Glucocorticoid receptor agonist,EP300,7,41,-1.6836776733398438,0.08490464201423048,0.5886246190062198
Adrenoceptor agonist,ATM,9,39,0.45966196060180664,0.0859921127675324,0.5911957752767852
Other MAPK inhibitor,WNK2,8,40,0.39850544929504395,0.08913292611030518,0.6049744509596352
Glucocorticoid receptor agonist,ZFHX3,13,35,-1.357370376586914,0.09034213390047563,0.6049744509596352
Adrenoceptor agonist,TERT,11,37,-0.24690882861614227,0.09053895626323864,0.6049744509596352
DNA synthesis/repair inhibitor,BRAF,9,39,1.0140056610107422,0.09092949323514518,0.6049744509596352
EGFR/ERBB inhibitor,FBXW7,5,43,0.26461178064346313,0.09214485278315064,0.6079656389194573
RAF inhibitor,SMARCA4,12,36,0.8105301856994629,0.09323559877987687,0.6079656389194573
Adrenoceptor agonist,SETD1B,11,37,0.6246620416641235,0.09530944081166284,0.6079656389194573
Glucocorticoid receptor agonist,BRAF,9,39,-1.6836776733398438,0.0960923294556733,0.6079656389194573
RAS inhibitor,PTEN,9,39,-0.5663905739784241,0.0960923294556733,0.6079656389194573
GSK3 inhibitor,BRCA2,9,39,0.2687837779521942,0.0960923294556733,0.6079656389194573
Protein synthesis inhibitor,EP300,7,41,-1.234044075012207,0.09653757417993808,0.6079656389194573
Androgen receptor antagonist,ZFHX3,13,35,0.20092684030532837,0.09951780126515197,0.6107395929000853
GSK3 inhibitor,SETD1B,11,37,0.2687837779521942,0.10027915555614865,0.6107395929000853
Glucose transporter inhibitor,CDKN2A,21,27,-0.3414134979248047,0.10062527295230043,0.6107395929000853
HDAC inhibitor,ATM,9,39,-0.3250734210014343,0.10148715127948635,0.6107395929000853
Other TK inhibitor,PTEN,9,39,-0.41324132680892944,0.10148715127948635,0.6107395929000853
Multi-TK inhibitor,EP300,7,41,0.42428159713745117,0.1027905118782429,0.6107395929000853
Proteasome inhibitor,PRDM2,6,42,-1.7510075569152832,0.10279890530197093,0.6107395929000853
MEK inhibitor,SMARCA4,12,36,-0.781531572341919,0.1029003677734689,0.6107395929000853
CDK inhibitor,WNK2,8,40,0.6363137364387512,0.10653390532160792,0.6257963708154188
Multi-TK inhibitor,APC,10,38,0.3845023512840271,0.10695428883027158,0.6257963708154188
Adrenoceptor agonist,SMARCA4,12,36,0.19118660688400269,0.10802303377184383,0.6275986117026139
HDAC inhibitor,B2M,6,42,0.48246821761131287,0.1098506850663553,0.6293528831926606
Androgen receptor antagonist,STK11,6,42,0.19895942509174347,0.1098506850663553,0.6293528831926606
Proteasome inhibitor,KRAS,23,25,-1.3620197772979736,0.11203933907494001,0.631361861127823
CDK inhibitor,ATM,9,39,0.5830698013305664,0.11299866834966883,0.631361861127823
EGFR/ERBB inhibitor,BRAF,9,39,0.3127882182598114,0.11299866834966883,0.631361861127823
Other MAPK inhibitor,KMT2D,14,34,0.3686244487762451,0.11492739101800871,0.631361861127823
Microtubule inhibitor,TP53,31,17,0.2012195885181427,0.11556671964053755,0.631361861127823
GSK3 inhibitor,TGFBR2,7,41,0.29887253046035767,0.11620985797566485,0.631361861127823
HDAC inhibitor,STK11,6,42,-0.42940008640289307,0.11725352181540465,0.631361861127823
Protein synthesis inhibitor,SMAD4,6,42,0.8987096548080444,0.11725352181540465,0.631361861127823
Multi-TK inhibitor,SMAD4,6,42,0.4218307137489319,0.11725352181540465,0.631361861127823
Other TK inhibitor,APC,10,38,0.2796821594238281,0.11846185146831756,0.631361861127823
EGFR/ERBB inhibitor,POLE,8,40,-0.22423844039440155,0.1194928480450646,0.631361861127823
CDK inhibitor,ZFHX3,13,35,0.4097599983215332,0.12008997195778318,0.631361861127823
Retinoic receptor agonist,MYC,5,43,0.3809061646461487,0.12314051710443938,0.631361861127823
DNA synthesis/repair inhibitor,CTNNB1,5,43,0.7120822668075562,0.12314051710443938,0.631361861127823
MEK inhibitor,TGFBR2,7,41,-1.3382455110549927,0.12339183087897675,0.631361861127823
Other MAPK inhibitor,STK11,6,42,-0.19932503998279572,0.12502240962645841,0.631361861127823
Sonic inhibitor,RNF43,8,40,0.23421330749988556,0.1264000454709043,0.631361861127823
Androgen receptor antagonist,ACVR2A,8,40,0.34270918369293213,0.1264000454709043,0.631361861127823
Glucose transporter inhibitor,SETD1B,11,37,0.3999325931072235,0.12829688092921232,0.631361861127823
Multi-TK inhibitor,SETD1B,11,37,0.22667214274406433,0.12829688092921232,0.631361861127823
EGFR/ERBB inhibitor,CDKN2B,12,36,-0.24337173998355865,0.1305580924714138,0.631361861127823
GSK3 inhibitor,CDKN2B,12,36,-0.3802528381347656,0.1305580924714138,0.631361861127823
RAS inhibitor,TGFBR2,7,41,-0.39316248893737793,0.1308983494997737,0.631361861127823
Adrenoceptor agonist,NF1,7,41,0.6033139228820801,0.1308983494997737,0.631361861127823
Cyclooxygenase inhibitor,BRCA2,9,39,0.33342602849006653,0.13216608222726486,0.631361861127823
Retinoic receptor agonist,PTEN,9,39,0.5282606482505798,0.13216608222726486,0.631361861127823
PI3K/AKT inhibitor,BRCA2,9,39,0.25687626004219055,0.13216608222726486,0.631361861127823
RAS inhibitor,BRCA2,9,39,-0.39316248893737793,0.13216608222726486,0.631361861127823
Other MAPK inhibitor,B2M,6,42,0.4257737398147583,0.13315995616514084,0.631361861127823
Proteasome inhibitor,STK11,6,42,-1.707140326499939,0.13315995616514084,0.631361861127823
MTOR inhibitor,SETD1B,11,37,-0.573756217956543,0.13456962825392862,0.6323652394512911
GSK3 inhibitor,ARID1A,15,33,0.23018771409988403,0.13615341301561001,0.6323652394512911
Glucocorticoid receptor agonist,CDKN2B,12,36,1.3722878694534302,0.13672577912120343,0.6323652394512911
Androgen receptor antagonist,SMARCA4,12,36,0.25127092003822327,0.13672577912120343,0.6323652394512911
RAS inhibitor,KMT2D,14,34,-0.363786518573761,0.13735913946459608,0.6323652394512911
RAS inhibitor,EP300,7,41,-0.519776463508606,0.13873710101901054,0.6323652394512911
Glucose transporter inhibitor,EP300,7,41,0.8342287540435791,0.13873710101901054,0.6323652394512911
Cyclooxygenase inhibitor,CDKN2A,21,27,-0.10782834887504578,0.14005974212499514,0.634886193698467
DNA methyltransferase inhibitor,ACVR2A,8,40,0.43751081824302673,0.1411006544249592,0.6361095076535046
Sonic inhibitor,NF1,7,41,0.5999085307121277,0.14691457743756434,0.6508819082339602
DNA synthesis/repair inhibitor,RNF43,8,40,0.5865505933761597,0.14890616085755354,0.6508819082339602
MTOR inhibitor,SMARCA4,12,36,-0.4301762282848358,0.1497327214777914,0.6508819082339602
Proteasome inhibitor,SMAD4,6,42,-2.431490421295166,0.15058828936483132,0.6508819082339602
GSK3 inhibitor,STK11,6,42,-0.3557577133178711,0.15058828936483132,0.6508819082339602
Sonic inhibitor,B2M,6,42,0.4628239870071411,0.15058828936483132,0.6508819082339602
Multi-TK inhibitor,STK11,6,42,0.33467400074005127,0.15058828936483132,0.6508819082339602
DNA synthesis/repair inhibitor,PIK3R1,5,43,0.6552525758743286,0.150905446696381,0.6508819082339602
Androgen receptor antagonist,PIK3CA,10,38,0.18860097229480743,0.15147797137081256,0.6508819082339602
Other TK inhibitor,SETD1B,11,37,0.30689775943756104,0.15481360180854048,0.6553578053132182
Retinoic receptor agonist,TGFBR2,7,41,-0.32398611307144165,0.1554378955095346,0.6553578053132182
RAS inhibitor,ACVR2A,8,40,-0.4558178782463074,0.15702355363904855,0.6553578053132182
GSK3 inhibitor,APC,10,38,0.2768503427505493,0.15885169320604886,0.6553578053132182
Glucocorticoid receptor agonist,HNF1A,6,42,-1.4436283111572266,0.1598950479777879,0.6553578053132182
Microtubule inhibitor,STK11,6,42,-0.5101351737976074,0.1598950479777879,0.6553578053132182
HDAC inhibitor,SMAD4,6,42,-0.49964872002601624,0.1598950479777879,0.6553578053132182
Cyclooxygenase inhibitor,MYC,5,43,-0.1803152859210968,0.1610730337603603,0.6553578053132182
HDAC inhibitor,CTNNB1,5,43,-0.47764888405799866,0.1610730337603603,0.6553578053132182
Other TK inhibitor,ATM,9,39,0.23178350925445557,0.16152600432588793,0.6553578053132182
Retinoic receptor agonist,BRCA2,9,39,-0.2935584783554077,0.16152600432588793,0.6553578053132182
Protein synthesis inhibitor,TERT,11,37,-1.205742359161377,0.1620521118592685,0.6553578053132182
Cyclooxygenase inhibitor,ZFHX3,13,35,0.1122111976146698,0.16392346581108586,0.659293898157798
HDAC inhibitor,POLE,8,40,0.8007362484931946,0.16545721067961827,0.659293898157798
Microtubule inhibitor,ATM,9,39,0.14241904020309448,0.1695834964924039,0.659293898157798
Protein synthesis inhibitor,ATM,9,39,1.0089197158813477,0.1695834964924039,0.659293898157798
Adrenoceptor agonist,STK11,6,42,0.28036391735076904,0.16960240922227024,0.659293898157798
MTOR inhibitor,CDKN2A,21,27,0.5169304013252258,0.17017076676098064,0.659293898157798
RAF inhibitor,ZFHX3,13,35,0.6013869047164917,0.1710628851370123,0.659293898157798
PI3K/AKT inhibitor,CTNNB1,5,43,0.3248538374900818,0.17171366766648913,0.659293898157798
JAK/STAT inhibitor,CTNNB1,5,43,-0.414154976606369,0.17171366766648913,0.659293898157798
PI3K/AKT inhibitor,TGFBR2,7,41,0.2467380166053772,0.17354615035756527,0.659293898157798
RAF inhibitor,EP300,7,41,0.8106600642204285,0.17354615035756527,0.659293898157798
Androgen receptor antagonist,NF1,7,41,0.5583980679512024,0.17354615035756527,0.659293898157798
MEK inhibitor,RNF43,8,40,-0.8873072266578674,0.1742134179374545,0.659293898157798
JAK/STAT inhibitor,POLE,8,40,-0.3311631679534912,0.1742134179374545,0.659293898157798
Other TK inhibitor,KMT2D,14,34,0.2214876115322113,0.1771433240510788,0.6619301440081012
EGFR/ERBB inhibitor,TERT,11,37,-0.2911250591278076,0.17729095563287411,0.6619301440081012
Proteasome inhibitor,BRAF,9,39,-1.9803009033203125,0.17793867420683107,0.6619301440081012
MTOR inhibitor,ZFHX3,13,35,-0.5514284372329712,0.1784326516203395,0.6619301440081012
RAF inhibitor,PRDM2,6,42,0.8938336372375488,0.17972406334280566,0.6619301440081012
Androgen receptor antagonist,PRDM2,6,42,0.6299154758453369,0.17972406334280566,0.6619301440081012
Multi-TK inhibitor,ACVR2A,8,40,0.4066433906555176,0.18329596500792583,0.6691113766882248
Cyclooxygenase inhibitor,ACVR2A,8,40,0.330116868019104,0.18329596500792583,0.6691113766882248
Retinoic receptor agonist,ATM,9,39,-0.2935584783554077,0.1865964930708104,0.675184678874643
Proteasome inhibitor,BRCA2,9,39,-1.299248218536377,0.1865964930708104,0.675184678874643
Cyclooxygenase inhibitor,SMAD4,6,42,-0.2446681559085846,0.19025919544388661,0.6823442767541864
DNA synthesis/repair inhibitor,HNF1A,6,42,0.37322717905044556,0.19025919544388661,0.6823442767541864
Other MAPK inhibitor,APC,10,38,0.3842910826206207,0.19107737445027972,0.6823442767541864
DNA synthesis/repair inhibitor,ACVR2A,8,40,0.4491037130355835,0.1927105654348187,0.6823442767541864
Microtubule inhibitor,POLE,8,40,-0.28746896982192993,0.1927105654348187,0.6823442767541864
DNA methyltransferase inhibitor,CDKN2B,12,36,-0.21163725852966309,0.19441827353741392,0.6843090833887508
Other TK inhibitor,PIK3CA,10,38,0.19097602367401123,0.19983836164800928,0.6843090833887508
Glucose transporter inhibitor,PIK3CA,10,38,0.40910568833351135,0.19983836164800928,0.6843090833887508
PI3K/AKT inhibitor,KRAS,23,25,-0.2393789142370224,0.2007106094285933,0.6843090833887508
DNA methyltransferase inhibitor,PRDM2,6,42,0.6284071207046509,0.2012216587491419,0.6843090833887508
Proteasome inhibitor,POLE,8,40,0.6332717537879944,0.20246030919589522,0.6843090833887508
