gene_symbol,ensembl_id,ctrl_mean_expr,var_total,var_residual,var_interaction,noise,interaction_fraction,additive_fraction,reproducibility
H19,ENSG00000130600,0.61139697,0.4674141,0.39704362,0.11421624,0.28282738,0.2443577,0.15055278,0.28766674
LDHAP4,ENSG00000214110,0.67908925,0.43273377,0.30903867,0.09196468,0.21707399,0.21252023,0.28584573,0.29758307
HLA-H,ENSG00000206341,0.8949304,0.44219467,0.3372943,0.0837033,0.253591,0.18929061,0.23722665,0.24816102
HLA-G,ENSG00000204632,0.59606916,0.3573729,0.290957,0.07755493,0.21340208,0.217014,0.18584482,0.26655117
ENSG00000290574,ENSG00000290574,0.568922,0.30332378,0.27856764,0.074879736,0.2036879,0.24686405,0.0816162,0.2688027
SAA1,ENSG00000173432,0.83061385,0.4704668,0.3452282,0.0645015,0.2807267,0.13710107,0.26620072,0.1868373
MUC5AC,ENSG00000215182,0.6923489,0.44408956,0.35668015,0.05503037,0.30164978,0.123917274,0.19682834,0.15428492
ENSG00000290514,ENSG00000290514,0.48769718,0.22810294,0.21636237,0.054999642,0.16136274,0.24111764,0.05147047,0.2542015
SAA2,ENSG00000134339,0.7624706,0.39502692,0.3238947,0.052914098,0.2709806,0.1339506,0.18006928,0.16336821
ADAMTS6,ENSG00000049192,1.5722427,0.1815711,0.15247563,0.05192739,0.10054824,0.2859893,0.16024286,0.34056193
POTEE,ENSG00000188219,0.318967,0.23080984,0.2120829,0.05149329,0.1605896,0.22309834,0.08113582,0.24279794
ENSG00000223786,ENSG00000223786,0.9194491,0.35745582,0.33405465,0.049000524,0.28505412,0.13708134,0.06546591,0.14668415
MMP1,ENSG00000196611,1.1472244,0.41314602,0.36355487,0.0484473,0.31510755,0.11726435,0.120032996,0.13325994
EVA1A-AS,ENSG00000231172,0.6332853,0.330838,0.2953837,0.04760732,0.24777637,0.1438992,0.10716515,0.16117112
ENSG00000250697,ENSG00000250697,1.3018106,0.262136,0.23617525,0.046461206,0.18971404,0.17724083,0.09903545,0.19672343
ENSG00000278996,ENSG00000278996,1.2703736,0.5878754,0.29433316,0.04585997,0.2484732,0.07800967,0.49932733,0.15580973
UCN2,ENSG00000145040,0.3384059,0.20005414,0.18744206,0.045782268,0.1416598,0.2288494,0.06304331,0.24424757
H4C13,ENSG00000275126,0.26265606,0.1997357,0.15710029,0.045599096,0.111501195,0.22829717,0.21345913,0.29025468
TTC23L,ENSG00000205838,0.9378898,0.31083018,0.29277,0.04528277,0.24748723,0.14568332,0.05810304,0.15467012
PI3,ENSG00000124102,0.60836995,0.32569724,0.29704028,0.044437785,0.2526025,0.13643894,0.0879865,0.14960188
RPSAP52,ENSG00000241749,1.2253913,0.26330036,0.22353154,0.044369396,0.17916214,0.16851248,0.15103973,0.19849277
ENSG00000283573,ENSG00000283573,0.8714912,0.35706368,0.30948815,0.043788567,0.26569957,0.12263518,0.13324103,0.14148706
IL1B,ENSG00000125538,1.0173352,0.3577869,0.31206375,0.043583617,0.26848012,0.12181446,0.12779434,0.13966253
MUC5B,ENSG00000117983,0.43772683,0.24885532,0.22528946,0.043530907,0.18175855,0.17492455,0.09469702,0.19322212
MOCS2-DT,ENSG00000247796,0.75904465,0.35396737,0.3206964,0.043491155,0.27720526,0.122867696,0.09399442,0.13561472
CYP1B1,ENSG00000138061,1.3999691,0.27581143,0.19909586,0.043092366,0.15600349,0.15623851,0.27814502,0.21644029
CYGB,ENSG00000161544,0.71545434,0.28221267,0.27465487,0.043058176,0.2315967,0.1525735,0.026780546,0.15677194
FERMT1,ENSG00000101311,1.3590803,0.25236046,0.22300257,0.042811967,0.1801906,0.1696461,0.11633318,0.1919797
ENSG00000260877,ENSG00000260877,1.3272411,0.3024368,0.24625269,0.042340927,0.20391175,0.13999926,0.18577142,0.17194097
LINC00370,ENSG00000223617,0.47010276,0.23746061,0.22301863,0.042185746,0.1808329,0.17765366,0.06081843,0.18915795
VEPH1,ENSG00000197415,1.0586873,0.28555548,0.27720264,0.042149812,0.23505282,0.14760639,0.02925122,0.15205415
MUC2,ENSG00000198788,0.4012211,0.28007364,0.25114983,0.04176682,0.20938301,0.14912799,0.103272155,0.1663024
SERPINB3,ENSG00000057149,0.30512184,0.18519367,0.18473326,0.04114706,0.14358619,0.22218394,0.0024861328,0.2227377
DKK1,ENSG00000107984,1.1716429,0.28430632,0.250088,0.04106357,0.20902443,0.14443424,0.12035719,0.16419648
IL33,ENSG00000137033,0.5461417,0.28052604,0.2724263,0.04056633,0.23185998,0.14460807,0.028873378,0.14890753
LAMA3,ENSG00000053747,1.7059116,0.13669921,0.12032478,0.040065937,0.08025885,0.2930956,0.119784385,0.3329816
AADACP1,ENSG00000240602,1.2932004,0.30105338,0.25613758,0.039862275,0.2162753,0.13240933,0.14919546,0.15562837
SAA2-SAA4,ENSG00000255071,0.67609286,0.37272105,0.31526405,0.039778676,0.27548537,0.10672506,0.15415551,0.12617575
SH3TC2-DT,ENSG00000250072,0.96242094,0.331054,0.30117965,0.03925999,0.26191965,0.11859089,0.09024013,0.13035406
SORBS2,ENSG00000154556,1.4573964,0.18002035,0.16246857,0.038656227,0.12381234,0.21473254,0.097498864,0.23793049
MANCR,ENSG00000231298,1.312085,0.26593268,0.22619015,0.038601395,0.18758875,0.14515476,0.14944583,0.17065905
CCN2,ENSG00000118523,1.2486249,0.27038518,0.2230642,0.03848392,0.18458028,0.14232999,0.17501321,0.17252398
MMP10,ENSG00000166670,0.4182292,0.2755161,0.2592488,0.038454738,0.22079405,0.13957347,0.059043013,0.1483314
CSF3,ENSG00000108342,0.42280203,0.2822904,0.25063917,0.03837135,0.21226782,0.13592865,0.11212294,0.153094
MGC27382,ENSG00000237413,0.3540636,0.22270785,0.22340845,0.038203616,0.18520483,0.1715414,0.0,0.17100345
RSAD2,ENSG00000134321,1.4365374,0.30741015,0.24215816,0.038012873,0.20414528,0.12365523,0.21226361,0.1569754
SSUH2,ENSG00000125046,0.935172,0.28087902,0.2632765,0.037923526,0.22535296,0.13501729,0.06266945,0.14404449
SERPINB2,ENSG00000197632,0.94928735,0.37888157,0.35648328,0.037787654,0.31869563,0.09973474,0.05911687,0.10600119
RMDN2-AS1,ENSG00000235848,0.6921778,0.33024836,0.31498286,0.037778545,0.2772043,0.114394344,0.046224285,0.11993842
SH3TC2,ENSG00000169247,1.0239512,0.28873342,0.26280308,0.037698302,0.22510478,0.13056439,0.08980722,0.14344695
LINC02516,ENSG00000261083,0.64249706,0.3161404,0.2760025,0.037616313,0.23838618,0.11898609,0.1269623,0.13628976
LINC02813,ENSG00000225334,0.47170332,0.22954558,0.21950014,0.03758302,0.18191712,0.16372792,0.043762285,0.17122094
PTPRB,ENSG00000127329,1.272993,0.22558928,0.20467728,0.037567273,0.16711001,0.16652952,0.09269941,0.18354394
CEMIP,ENSG00000103888,1.6060498,0.22423275,0.18412776,0.03755502,0.14657274,0.16748232,0.17885427,0.20396174
CFB,ENSG00000243649,1.2273215,0.29640388,0.24553065,0.03750299,0.20802766,0.12652664,0.17163484,0.1527426
THBS1,ENSG00000137801,1.4701066,0.16297175,0.13283141,0.03725701,0.0955744,0.22861022,0.18494211,0.28048342
H2BC9,ENSG00000275713,0.5190768,0.28431135,0.23678409,0.03725697,0.19952711,0.13104285,0.16716626,0.15734576
COL21A1,ENSG00000124749,0.70397717,0.31473252,0.30191585,0.037139393,0.26477647,0.11800304,0.04072241,0.1230124
ENSG00000286966,ENSG00000286966,0.28511834,0.14915329,0.13863531,0.037099697,0.10153561,0.24873535,0.07051795,0.2676064
SAMD3,ENSG00000164483,1.0340015,0.34745175,0.32692644,0.037016034,0.2899104,0.106535755,0.059073832,0.11322435
ENSG00000214955,ENSG00000214955,1.0652058,0.31535837,0.25321007,0.036947556,0.21626252,0.11716054,0.197072,0.14591661
BMPER,ENSG00000164619,1.0429318,0.2462717,0.23947608,0.036924325,0.20255175,0.14993328,0.027593974,0.15418795
SEMA4A,ENSG00000196189,1.1519158,0.3070095,0.25573698,0.036827,0.21890998,0.11995395,0.16700627,0.14400344
ZBTB16,ENSG00000109906,0.2038944,0.24918985,0.1828444,0.03671372,0.14613068,0.14733233,0.2662446,0.20079215
ENSG00000273118,ENSG00000273118,1.0496594,0.3047897,0.2715882,0.03667353,0.23491468,0.12032405,0.10893244,0.1350336
CXCL8,ENSG00000169429,1.7568818,0.19196579,0.1151546,0.03626971,0.07888489,0.18893841,0.40012956,0.31496534
ADGRL4,ENSG00000162618,0.7169649,0.28703514,0.2774407,0.036163654,0.24127704,0.12599035,0.033426013,0.13034733
NAV3,ENSG00000067798,1.5870459,0.13308826,0.11338939,0.03606361,0.077325776,0.27097514,0.1480136,0.31805104
ENSG00000254303,ENSG00000254303,0.7621645,0.36879006,0.34968573,0.03600013,0.3136856,0.097616866,0.05180273,0.102949955
SEMA5A,ENSG00000112902,1.3448721,0.23082393,0.20966864,0.035873923,0.17379472,0.15541683,0.09165123,0.17109819
HAP1,ENSG00000173805,0.8835103,0.3231965,0.28255585,0.03581233,0.24674352,0.110806674,0.12574595,0.12674426
NRIR,ENSG00000225964,0.7169701,0.28021678,0.26054358,0.035730887,0.2248127,0.12751159,0.07020707,0.13713977
NPTX1,ENSG00000171246,0.8881515,0.358076,0.30917084,0.03535141,0.27381945,0.098726,0.1365776,0.11434264
ENSG00000235495,ENSG00000235495,0.5597032,0.2891838,0.2805497,0.035324186,0.24522552,0.12215133,0.029856758,0.12591061
RIPOR2,ENSG00000111913,0.7198456,0.28862876,0.28060147,0.035226684,0.24537478,0.12204842,0.027811801,0.12553991
CCL26,ENSG00000006606,0.41082725,0.25313917,0.24522802,0.035201486,0.21002653,0.13905981,0.03125216,0.14354594
IQCJ,ENSG00000214216,1.1324832,0.26829994,0.22104317,0.035132892,0.18591028,0.13094634,0.1761341,0.15894131
NTSR1,ENSG00000101188,1.3602469,0.21628137,0.16826656,0.035126943,0.13313963,0.16241316,0.22200158,0.20875771
F3,ENSG00000117525,1.5722678,0.17244053,0.14326283,0.034975324,0.10828751,0.20282543,0.1692044,0.24413396
FKBP5,ENSG00000096060,1.3274366,0.2384746,0.15689027,0.03494675,0.12194352,0.14654286,0.34210905,0.22274645
LINC02320,ENSG00000258404,1.1518176,0.30580115,0.25924668,0.034909938,0.22433674,0.11415894,0.15223774,0.13465916
ABI3BP,ENSG00000154175,1.2809681,0.23714028,0.20609851,0.034882914,0.1712156,0.14709823,0.13090046,0.1692536
MUC16,ENSG00000181143,0.71570873,0.32865316,0.31082302,0.034819044,0.276004,0.10594465,0.05425213,0.11202209
CLMP,ENSG00000166250,1.401875,0.20983768,0.16963431,0.034794517,0.1348398,0.16581635,0.19159268,0.20511486
IGFBP3,ENSG00000146674,1.8485311,0.17112988,0.10267853,0.034679964,0.067998566,0.20265289,0.3999965,0.33775282
COL19A1,ENSG00000082293,0.8613784,0.34964827,0.3386619,0.03442856,0.30423334,0.09846626,0.03142117,0.10166056
ENSG00000285190,ENSG00000285190,0.77877694,0.33642805,0.29007012,0.034426957,0.25564316,0.10233082,0.13779448,0.11868495
ENSG00000225751,ENSG00000225751,0.8531383,0.2857965,0.25043944,0.03434658,0.21609285,0.12017845,0.123714104,0.13714525
