sample,plate,mean_gene_count,mean_tscp_count,mean_mread_count,mean_pcnt_mito,drug,drugname_drugconc
smp_1495,plate1,1354.1697678060448,2027.1159403784006,2444.032416041456,0.033955593,Infigratinib,"[('Infigratinib', 0.05, 'uM')]"
smp_1496,plate1,1404.4541568965005,2226.2827906562584,2690.6859695467633,0.07172286,Erdafitinib ,"[('Erdafitinib ', 0.05, 'uM')]"
smp_1497,plate1,1205.267794458878,1859.3758205580787,2246.200126926204,0.084852844,Everolimus,"[('Everolimus', 0.05, 'uM')]"
smp_1498,plate1,1225.5108215254463,1906.4945655266602,2298.90762343747,0.0882623,Pemigatinib,"[('Pemigatinib', 0.05, 'uM')]"
smp_1499,plate1,1231.3728813559321,1861.3050847457628,2245.3728813559323,0.05080187,Abemaciclib,"[('Abemaciclib', 0.05, 'uM')]"
smp_1500,plate1,1418.4781164695178,2277.2685471640884,2752.3942220200183,0.086404316,Capivasertib,"[('Capivasertib', 0.05, 'uM')]"
smp_1501,plate1,1600.7972136021917,2587.0065180414713,3127.6773179947286,0.047632642,Gemcitabine,"[('Gemcitabine', 0.05, 'uM')]"
smp_1502,plate1,1782.4600452679633,3102.050638738635,3754.0376977276505,0.08800996,Irinotecan,"[('Irinotecan', 0.05, 'uM')]"
smp_1503,plate1,1478.1256385762347,2400.0615386745303,2899.158574573244,0.08067314,Oxaliplatin,"[('Oxaliplatin', 0.05, 'uM')]"
smp_1504,plate1,1268.831338648098,1935.1842100057368,2336.830626496014,0.056497857,Alpelisib,"[('Alpelisib', 0.05, 'uM')]"
smp_1505,plate1,1421.7392386333065,2288.3764124293784,2764.282334543987,0.08167361,Lapatinib ditosylate,"[('Lapatinib ditosylate', 0.05, 'uM')]"
smp_1506,plate1,1366.0011928339936,2138.8931850918257,2580.1641159524665,0.071180314,palbociclib,"[('palbociclib', 0.05, 'uM')]"
smp_1507,plate1,1423.6599323943663,2237.519785915493,2690.94036056338,0.067701764,Lonafarnib,"[('Lonafarnib', 0.05, 'uM')]"
smp_1508,plate1,1653.8504421027133,2776.2746184593025,3348.656870760659,0.07629,Volasertib,"[('Volasertib', 0.05, 'uM')]"
smp_1509,plate1,1332.8035714285713,2048.4285714285716,2464.5,0.050184403,c-Kit-IN-1,"[('c-Kit-IN-1', 0.05, 'uM')]"
smp_1510,plate1,1391.6599510346998,2228.750550517692,2697.1218798298523,0.087272085,venetoclax,"[('venetoclax', 0.05, 'uM')]"
smp_1511,plate1,1385.099362306786,2235.4900533721493,2700.650689679074,0.091729805,Capmatinib,"[('Capmatinib', 0.05, 'uM')]"
smp_1512,plate1,1349.5256759962049,2111.6812292457307,2547.5703421489566,0.057973642,MK-8353,"[('MK-8353', 0.05, 'uM')]"
smp_1513,plate1,1611.2144198427602,2664.8225583458866,3227.620313241576,0.06829527,Regorafenib,"[('Regorafenib', 0.05, 'uM')]"
smp_1514,plate1,1369.3404957080952,2208.498357759929,2663.5505644337723,0.081739776,Tucatinib,"[('Tucatinib', 0.05, 'uM')]"
smp_1515,plate1,1749.8215683816052,2978.219779607417,3594.622058762068,0.070943795,Vemurafenib,"[('Vemurafenib', 0.05, 'uM')]"
smp_1516,plate1,1372.3727909398224,2154.719679356431,2600.232951546877,0.059517466,BI-3406,"[('BI-3406', 0.05, 'uM')]"
smp_1517,plate1,1453.6930795109931,2336.031155231236,2826.190876137225,0.06807586,AZD-8055,"[('AZD-8055', 0.05, 'uM')]"
smp_1518,plate1,1221.4696285889893,1799.902590218632,2173.913126701203,0.050080027,Binimetinib,"[('Binimetinib', 0.05, 'uM')]"
smp_1519,plate1,1697.7978041937629,2862.763423771143,3456.8487585748344,0.065297775,Temuterkib,"[('Temuterkib', 0.05, 'uM')]"
smp_1520,plate1,1519.24317105966,2532.930762004752,3054.8797406568306,0.07788985,ML264,"[('ML264', 0.05, 'uM')]"
smp_1521,plate1,1469.3367571970675,2349.435181689945,2834.553036775078,0.056436483,BI-78D3,"[('BI-78D3', 0.05, 'uM')]"
smp_1522,plate1,1309.739983833824,2104.10129786942,2537.20639326511,0.09184722,Tomivosertib,"[('Tomivosertib', 0.05, 'uM')]"
smp_1523,plate1,1275.7655218855218,1960.8576879910213,2335.9605237560795,0.06802915,Brivudine,"[('Brivudine', 0.05, 'uM')]"
smp_1524,plate1,1346.2323801180569,2131.0712304194562,2572.492668377031,0.085798524,Bentamapimod,"[('Bentamapimod', 0.05, 'uM')]"
smp_1525,plate1,1480.9038415759092,2413.1464470630244,2920.147890257692,0.07177812,Dabrafenib,"[('Dabrafenib', 0.05, 'uM')]"
smp_1526,plate1,1274.3192687201401,2006.6716923150793,2417.9914892084603,0.08274185,Encorafenib,"[('Encorafenib', 0.05, 'uM')]"
smp_1527,plate1,1734.5549047330505,2986.790614690635,3603.5928095334275,0.06985133,Paclitaxel,"[('Paclitaxel', 0.05, 'uM')]"
smp_1528,plate1,1590.201922727438,2708.0240976992695,3278.489441354996,0.08149218,RMC-6236,"[('RMC-6236', 0.05, 'uM')]"
smp_1529,plate1,1440.1755311166849,2427.752459965271,2934.933221857783,0.10589357,Trametinib,"[('Trametinib', 0.05, 'uM')]"
smp_1530,plate1,1553.413412024736,2582.440005643208,3117.667709092619,0.08602698,Afatinib,"[('Afatinib', 0.05, 'uM')]"
smp_1531,plate1,1756.5249148049982,3005.623274012369,3626.252177205604,0.06265128,NVP-BHG712,"[('NVP-BHG712', 0.05, 'uM')]"
smp_1532,plate1,1620.5483870967741,2666.516129032258,3213.2903225806454,0.06076979,Ralimetinib dimesylate,"[('Ralimetinib dimesylate', 0.05, 'uM')]"
smp_1533,plate1,1799.778350515464,3067.5746074544013,3714.448897700238,0.06239011,ERK5-IN-2,"[('ERK5-IN-2', 0.05, 'uM')]"
smp_1534,plate1,1476.7627899998636,2425.6044135899288,2930.523193169574,0.07784715,PH-797804,"[('PH-797804', 0.05, 'uM')]"
smp_1535,plate1,1803.4438689336787,3133.1620538227676,3783.4398378560973,0.07143774,TAK-901,"[('TAK-901', 0.05, 'uM')]"
smp_1536,plate1,1264.965822016539,1962.4112738032015,2371.525718837721,0.08840826,Ipatasertib,"[('Ipatasertib', 0.05, 'uM')]"
smp_1537,plate1,1555.212437026956,2562.4451686841917,3096.348996012702,0.05829475,Sapanisertib,"[('Sapanisertib', 0.05, 'uM')]"
smp_1538,plate1,1513.02279228691,2511.3152116332044,3039.538048948456,0.08169483,BAY1125976,"[('BAY1125976', 0.05, 'uM')]"
smp_1539,plate1,1488.540955504211,2492.3348239795287,3006.56424685101,0.08500972,9-ING-41,"[('9-ING-41', 0.05, 'uM')]"
smp_1540,plate1,1419.2606838953673,2352.4990230066182,2837.3667822250236,0.09499188,XRK3F2,"[('XRK3F2', 0.05, 'uM')]"
smp_1541,plate1,1570.361660715536,2627.047693061682,3173.2632640201637,0.078543164,Bimiralisib,"[('Bimiralisib', 0.05, 'uM')]"
smp_1542,plate1,1367.3340500975464,2166.731099497316,2614.548965438674,0.070710525,GSK1059615,"[('GSK1059615', 0.05, 'uM')]"
smp_1543,plate1,1465.8475002070509,2314.8950942771166,2798.8079535102006,0.056343805,AZD2858,"[('AZD2858', 0.05, 'uM')]"
smp_1544,plate1,1534.061403508772,2573.9824561403507,3118.035087719298,0.086899325,PF-06260933,"[('PF-06260933', 0.05, 'uM')]"
smp_1545,plate1,1568.493058574223,2637.91929743534,3190.7534095848728,0.10734571,SBI-0640756,"[('SBI-0640756', 0.05, 'uM')]"
smp_1546,plate1,1154.3444553004397,1718.1299788308093,2077.7661944308743,0.07078494,LJI308,"[('LJI308', 0.05, 'uM')]"
smp_1547,plate1,1305.6680742879303,2054.1200715301416,2483.272547076313,0.07537491,LY-2584702 (tosylate salt),"[('LY-2584702 (tosylate salt)', 0.05, 'uM')]"
smp_1548,plate1,1041.3399503722085,1511.1612903225807,1829.7841191066998,0.07042248,Sonidegib,"[('Sonidegib', 0.05, 'uM')]"
smp_1549,plate1,1520.6348498062998,2507.9280571162,3025.923290671967,0.06831447,EX229,"[('EX229', 0.05, 'uM')]"
smp_1550,plate1,1609.5600291594235,2698.7481261331986,3261.1727695844784,0.065423764,MK-3903,"[('MK-3903', 0.05, 'uM')]"
smp_1551,plate1,1692.138183288608,2879.6175238025216,3487.3825680991067,0.08547817,Everolimus,"[('Everolimus', 0.05, 'uM')]"
smp_1552,plate1,1214.0057505839054,1858.6219123787953,2234.2748425224713,0.051342234,ULK-101,"[('ULK-101', 0.05, 'uM')]"
smp_1553,plate1,1334.5786187956326,2129.8320852032957,2568.305325205975,0.08218106,IQ 1,"[('IQ 1', 0.05, 'uM')]"
smp_1554,plate1,1431.8633430991147,2288.7358596289005,2761.853353185086,0.07005918,CP21R7,"[('CP21R7', 0.05, 'uM')]"
smp_1555,plate1,1552.2273975265448,2628.962849576014,3170.3032533955343,0.06551864,Bortezomib,"[('Bortezomib', 0.05, 'uM')]"
smp_1556,plate1,1709.6397205588823,3006.1437125748503,3634.3423153692615,0.07049953,Hydroxyfasudil,"[('Hydroxyfasudil', 0.05, 'uM')]"
smp_1557,plate1,1610.5112551579725,2720.2077354191047,3283.9251401120896,0.075796634,Belumosudil (mesylate),"[('Belumosudil (mesylate)', 0.05, 'uM')]"
