drug,n_targets,n_lines,rho,null_mean,z,moa-fine
(R)-Verapamil (hydrochloride),1,48,0.028658271819366043,-0.009360073816760748,0.23015151607138296,unclear
(S)-Crizotinib,1,48,-0.1717325227963526,-0.026924120712114634,-0.8999290680987252,unclear
4EGI-1,1,48,-0.051237516283108984,0.008887863656100744,-0.35177940386574946,Protein synthesis inhibitor
5-Azacytidine,1,48,0.1279852366478506,0.04030612244897959,0.7202237437172928,DNA methyltransferase inhibitor
5-Fluorouracil,1,48,0.015523230568823274,0.05345201910551454,-0.25064649373587355,DNA synthesis/repair inhibitor
9-ING-41,1,48,-0.12092922275293096,0.0279716673903604,-0.9240694030151432,GSK3 inhibitor
APTO-253,2,48,-0.11376465479808943,0.011463308727746417,-0.8398097839805277,unclear
AT7519,8,48,-0.07066869300911854,-0.006993595310464613,-0.40476150924088605,CDK inhibitor
AZD-7648,1,47,0.07273358001850139,0.006313598519888991,0.3621272336645858,DNA synthesis/repair inhibitor
AZD-8055,1,48,0.009769865392965696,0.03549174989144594,-0.1227997388825494,MTOR inhibitor
AZD1390,1,48,0.35822839774207554,0.0033271819366044266,2.6399732038397237,unclear
AZD2858,2,48,-0.06372123317412072,-0.018218085106382974,-0.25721457258891145,GSK3 inhibitor
Abemaciclib,2,48,-0.10681719496309162,0.051579461571862786,-1.0202750164603132,CDK inhibitor
Abiraterone acetate,1,48,-0.2270829612474025,-0.15777828834321045,-0.42951275841642506,unclear
Adagrasib,1,48,-0.0547112462006079,0.027065240990013024,-0.4422424929620094,RAS inhibitor
Adenosine,4,48,-0.02116804168475901,-0.046957772470690405,0.13231543449893382,unclear
Afatinib,2,48,0.026812852800694748,0.02815620929222753,-0.008449805521860212,EGFR/ERBB inhibitor
Aliskiren,1,48,-0.3444420321320017,-0.03300043421623969,-1.744959467298596,unclear
Allopurinol,1,48,-0.20440729483282674,-0.01907837603126357,-0.9434661080578568,unclear
Almonertinib (hydrochloride),1,48,-0.07142857142857142,0.006258141554494135,-0.5820857114047784,EGFR/ERBB inhibitor
Almonertinib (mesylate),1,48,0.007598784194528876,0.020052648719062097,-0.09599551542190961,EGFR/ERBB inhibitor
Alpelisib,1,48,-0.011506730351715153,0.024962006079027352,-0.2136092155022456,PI3K/AKT inhibitor
Amsacrine,1,48,0.08651758575770734,-0.016451367781155007,0.6975205933055971,DNA synthesis/repair inhibitor
Anastrozole,1,48,0.161202778983934,-0.029887646547980894,1.3920458249163843,unclear
Apalutamide,1,48,0.12223187147199306,-0.012890794615718631,0.8708743340773203,Androgen receptor antagonist
Aprepitant,1,48,-0.1295049934867564,0.01681773773339123,-0.8182740050078735,unclear
Arbutin,2,48,-0.23284845853234912,0.02780340859748155,-1.84342957428567,unclear
Asciminib,1,48,0.2359965262700825,0.08361105080330003,1.1437866143885276,Other TK inhibitor
Aspirin,2,48,-0.14014329135909684,0.006798198002605298,-1.077731365979523,Cyclooxygenase inhibitor
Ataluren,1,48,0.07283977420755536,0.0073871037776812865,0.38635943982216914,unclear
Atazanavir (sulfate),1,48,-0.12386354388907597,-0.06521376209218924,-0.335232805633887,unclear
Auranofin,2,48,-0.2637863656100738,-0.06896439426834564,-0.9625633723578547,unclear
BAY1125976,3,48,0.11333043855840208,0.0076747720364741655,0.6641962028316769,PI3K/AKT inhibitor
