gene,component,n_mut,n_wt,effect,p,q
KRAS,C7,649,8043,-0.10752612352371216,9.014530103156451e-20,9.63617209907012e-15
BRAF,C7,729,7963,-0.0817905142903328,7.214211874816258e-18,3.8558519628517936e-13
KRAS,C5,649,8043,0.0884406715631485,9.142421316795154e-14,2.7507024236972182e-09
PLEC,C1,469,8223,0.09326974675059319,1.02930041299851e-13,2.7507024236972182e-09
IDH1,C10,505,8187,-0.09250134229660034,6.699032924521889e-12,1.4321996469993838e-07
KRAS,C1,649,8043,0.06358528137207031,4.210466635702251e-11,7.501367358167131e-07
TP53,C1,3125,5567,0.04443064332008362,5.223869730485897e-11,7.977296838714577e-07
CTNNB1,C1,364,8328,0.09757167845964432,6.343522674379e-11,8.408114839898252e-07
BRAF,C1,729,7963,0.0688285306096077,7.079126773600909e-11,8.408114839898252e-07
XIRP2,C1,789,7903,0.06355434656143188,1.0949539024721607e-10,1.170461923586641e-06
MYCBP2,C1,421,8271,0.07096529938280582,1.367794922746111e-10,1.3291982369260754e-06
KRAS,C10,649,8043,0.07081806659698486,4.669834795835067e-10,4.030945296088752e-06
CSMD3,C1,1193,7499,0.05263960361480713,5.217520598291491e-10,4.030945296088752e-06
KIF20B,C1,193,8499,0.11342517286539078,5.279265280762847e-10,4.030945296088752e-06
OBSCN,C1,842,7850,0.06489486992359161,7.101854602449313e-10,5.061065663889479e-06
KRAS,C6,649,8043,-0.06330760568380356,9.376739892738447e-10,6.264599922338557e-06
RNF43,C1,222,8470,0.09071653708815575,1.6770032669494346e-09,1.0544996542578044e-05
TTN,C1,2714,5978,0.03878169320523739,1.93477332186896e-09,1.148997383413913e-05
COL11A1,C1,591,8101,0.07334498688578606,2.5169082675137847e-09,1.4160390850744922e-05
IDH1,C7,505,8187,0.09406541287899017,2.984367911319174e-09,1.5950849612418723e-05
LRP1B,C1,1140,7552,0.053761199582368135,3.4089622733944342e-09,1.735259196079864e-05
ARID1A,C2,703,7989,0.04035687446594238,5.333258087243786e-09,2.5913816204273257e-05
CACNA1E,C1,557,8135,0.0686081051826477,5.717219527188912e-09,2.5915607541820995e-05
VCAN,C1,434,8258,0.07502553705126047,5.818501917786483e-09,2.5915607541820995e-05
COL22A1,C1,474,8218,0.07006640452891588,6.858104648750779e-09,2.932415818131453e-05
MDN1,C1,446,8246,0.0697313891723752,7.98028605104644e-09,3.281002529664078e-05
NRAS,C7,259,8433,0.13316106796264648,9.638670906949727e-09,3.8160569084048074e-05
THSD7A,C1,357,8335,0.0955447182059288,1.4784520420743331e-08,5.6443074817706394e-05
KIDINS220,C1,220,8472,0.10345326736569405,2.0644193660604498e-08,7.6095921570482e-05
PTEN,C7,685,8007,-0.07043307274580002,3.3321220034466533e-08,0.00011873017122681116
CIC,C7,323,8369,0.09620644152164459,3.49965898043265e-08,0.0001206772730233318
NUMA1,C1,197,8495,0.10716983675956726,4.720353677335989e-08,0.00015768341459140872
FBXW7,C2,389,8303,0.052136294543743134,5.742406972772489e-08,0.00018601222295802668
EPHA5,C1,327,8365,0.07105953246355057,5.991701398111045e-08,0.0001863548532705391
ZBTB20,C2,208,8484,0.05492504616267979,6.137607649849815e-08,0.0001863548532705391
NR4A2,C1,110,8582,0.13347750157117844,6.275982934571365e-08,0.0001863548532705391
SYNE1,C1,1061,7631,0.05346476286649704,6.822046246878268e-08,0.0001922192090729859
KIF26B,C1,276,8416,0.10914244502782822,6.94453375274576e-08,0.0001922192090729859
SOX9,C1,137,8555,0.13752904534339905,7.012937017144187e-08,0.0001922192090729859
HERC2,C1,517,8175,0.06621497496962547,7.743444402065507e-08,0.00020693580820079863
SPATA6,C1,65,8627,0.14919867366552353,8.449525325128295e-08,0.0002202976729646132
FRYL,C1,270,8422,0.08168770000338554,8.85710061325157e-08,0.00022542586360812855
AHNAK,C1,553,8139,0.0635905098170042,1.0367076047824787e-07,0.000257720688653088
ZFHX3,C1,429,8263,0.07228260487318039,1.086796166088158e-07,0.00025991024469163287
WDR17,C1,254,8438,0.07808298524469137,1.0941439353318626e-07,0.00025991024469163287
