,C1,C2,C5,C6,C7,C10,cancer_type
TCGA-OR-A5J1-01,-0.018306590616703033,-0.13249193131923676,0.08921529352664948,0.11430634558200836,0.13119402527809143,0.06853781640529633,ACC
TCGA-OR-A5J2-01,0.1677672564983368,-0.19604969024658203,-0.10489657521247864,-0.07797316461801529,0.024473540484905243,-0.14247825741767883,ACC
TCGA-OR-A5J3-01,-0.09563158452510834,0.09044191241264343,0.053506672382354736,-0.12733995914459229,-0.04144146293401718,0.18183466792106628,ACC
TCGA-OR-A5J5-01,-0.41734927892684937,0.07840085029602051,-0.34820300340652466,0.1479286551475525,0.5066401958465576,-0.03473055362701416,ACC
TCGA-OR-A5J6-01,0.008338682353496552,0.01904734969139099,0.36125582456588745,-0.219552680850029,-0.04086276888847351,0.3677406311035156,ACC
TCGA-OR-A5J7-01,0.042066797614097595,-0.014508932828903198,-0.156351700425148,-0.05161294341087341,0.4301847815513611,0.24395088851451874,ACC
TCGA-OR-A5J8-01,0.2609524130821228,-0.30470576882362366,-0.3480527400970459,-0.02684071660041809,-0.5236180424690247,-0.09003506600856781,ACC
TCGA-OR-A5J9-01,-0.4217614233493805,-0.04876450076699257,-0.08438599109649658,0.4933090806007385,0.3172624409198761,-0.3679450452327728,ACC
TCGA-OR-A5JA-01,-0.07689690589904785,-0.03959548473358154,-0.026553303003311157,-0.0637626051902771,0.022251039743423462,0.07919232547283173,ACC
TCGA-OR-A5JB-01,0.9578957557678223,0.3083954155445099,0.6944741010665894,-0.8664664030075073,-1.293137788772583,0.5245214700698853,ACC
TCGA-OR-A5JC-01,-0.04599977657198906,-0.00035684555768966675,-0.0699995681643486,0.14538916945457458,0.12903225421905518,-0.02250857651233673,ACC
TCGA-OR-A5JD-01,0.10650705546140671,-0.08243829011917114,0.26528459787368774,-0.07736357301473618,0.022869452834129333,-0.1811389923095703,ACC
TCGA-OR-A5JE-01,0.11928614974021912,0.08656562864780426,0.0642581433057785,-0.18778982758522034,0.10698488354682922,0.10196737945079803,ACC
